count,storyText,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,order of stories,order of perspectives,key_resp_3.keys,key_resp_3.rt,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,frameRate,
0,31,,0,0,0,0,0,0,0,0,,,,,[31 33 24 44 13 42 11 22 41 34 43 23 32 14 12 21],"['Location' 'Social' 'Location' 'Social' 'Location' 'Location' 'Social'
 'Social' 'Social' 'Location' 'Location' 'Social' 'Social' 'Social'
 'Location' 'Location']",space,0.7199323850218207,1,3.568829160067253,,,,001,2019_Jan_04_1448,body_behavioural,60.16638291673902,
0,Restaurant Business Deal,,0,0,0,0,0,1,1,1,,,,,,,,,1,0.35174214793369174,,,,001,2019_Jan_04_1448,body_behavioural,60.16638291673902,
0,,,0,0,0,0,,,,,,,,,,,,,,,,,,001,2019_Jan_04_1448,body_behavioural,60.16638291673902,
1,33,,0,1,1,1,0,0,0,0,,,,,,,space,0.3020960959838703,1,0.26826852397061884,,,,001,2019_Jan_04_1448,body_behavioural,60.16638291673902,
1,Grocery Shopping Business Deal,,0,1,1,1,0,1,1,1,,,,,,,,,1,0.1684017610969022,,,,001,2019_Jan_04_1448,body_behavioural,60.16638291673902,
1,,,0,1,1,1,,,,,,,,,,,,,,,,,,001,2019_Jan_04_1448,body_behavioural,60.16638291673902,
2,24,,0,2,2,2,0,0,0,0,,,,,,,space,0.21817951404955238,1,0.20050371706020087,,,,001,2019_Jan_04_1448,body_behavioural,60.16638291673902,
2,Attending a Lecture Proposal,,0,2,2,2,0,1,1,1,,,,,,,,,1,0.4019643709762022,,,,001,2019_Jan_04_1448,body_behavioural,60.16638291673902,
2,,,0,2,2,2,,,,,,,,,,,,,,,,,,001,2019_Jan_04_1448,body_behavioural,60.16638291673902,
3,44,,0,3,3,3,0,0,0,0,,,,,,,space,0.28576682403218,1,0.30079961789306253,,,,001,2019_Jan_04_1448,body_behavioural,60.16638291673902,
3,Attending a Lecture Meet Cute,,0,3,3,3,0,1,1,1,,,,,,,,,1,0.1856073880335316,,,,001,2019_Jan_04_1448,body_behavioural,60.16638291673902,
3,,,0,3,3,3,,,,,,,,,,,,,,,,,,001,2019_Jan_04_1448,body_behavioural,60.16638291673902,
4,13,,0,4,4,4,0,0,0,0,,,,,,,space,0.2680580399464816,1,0.23523977305740118,,,,001,2019_Jan_04_1448,body_behavioural,60.16638291673902,
4,Grocery Shopping Breakup,,0,4,4,4,0,1,1,1,,,,,,,,,1,0.2008628649637103,,,,001,2019_Jan_04_1448,body_behavioural,60.16638291673902,
4,,,0,4,4,4,,,,,,,,,,,,,,,,,,001,2019_Jan_04_1448,body_behavioural,60.16638291673902,
5,42,,0,5,5,5,0,0,0,0,,,,,,,space,0.25110952788963914,1,0.2017039880156517,,,,001,2019_Jan_04_1448,body_behavioural,60.16638291673902,
5,Airport Meet Cute,,0,5,5,5,0,1,1,1,,,,,,,,,1,0.20088386593852192,,,,001,2019_Jan_04_1448,body_behavioural,60.16638291673902,
