count,storyText,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,order of stories,order of perspectives,key_resp_3.keys,key_resp_3.rt,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,frameRate,
0,23,,0,0,0,0,0,0,0,0,,,,,,,,,[23 11 44 42 13 32 21 34 12 41 14 33 22 24 43 31],"['Social' 'Social' 'Location' 'Social' 'Location' 'Location' 'Location'
 'Social' 'Location' 'Location' 'Social' 'Location' 'Social' 'Location'
 'Social' 'Social']",space,0.8532275119796395,1,4.58644510502927,,,,001,2019_Jan_10_1340,body_behavioural,59.968518940702126,
0,Grocery shopping Proposal,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,1,0.5026379389455542,,,,001,2019_Jan_10_1340,body_behavioural,59.968518940702126,
0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_10_1340,body_behavioural,59.968518940702126,
1,11,,0,1,1,1,0,0,0,0,,,,,,,,,,,space,0.8187374830013141,1,0.28519537893589586,,,,001,2019_Jan_10_1340,body_behavioural,59.968518940702126,
1,Restaurant- Breakup,,0,1,1,1,0,1,1,1,,,,,,,,,,,,,1,0.20214524096809328,,,,001,2019_Jan_10_1340,body_behavioural,59.968518940702126,
1,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_10_1340,body_behavioural,59.968518940702126,
2,44,,0,2,2,2,0,0,0,0,,,,,,,,,,,space,0.001957051921635866,1,0.26717556396033615,,,,001,2019_Jan_10_1340,body_behavioural,59.968518940702126,
2,Attending a Lecture Meet Cute,,0,2,2,2,0,1,1,1,,,,,,,,,,,,,1,1.3014789090957493,,,,001,2019_Jan_10_1340,body_behavioural,59.968518940702126,
2,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_10_1340,body_behavioural,59.968518940702126,
3,42,,0,3,3,3,0,0,0,0,,,,,,,,,,,space,0.5182363169733435,1,0.28547529701609164,,,,001,2019_Jan_10_1340,body_behavioural,59.968518940702126,
3,Airport Meet Cute,,0,3,3,3,0,1,1,1,,,,,,,,,,,,,1,0.15255833696573973,,,,001,2019_Jan_10_1340,body_behavioural,59.968518940702126,
3,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_10_1340,body_behavioural,59.968518940702126,
4,13,,0,4,4,4,0,0,0,0,,,,,,,,,,,space,0.500282209017314,1,0.01851587393321097,,,,001,2019_Jan_10_1340,body_behavioural,59.968518940702126,
4,Grocery Shopping Breakup,,0,4,4,4,0,1,1,1,,,,,,,,,,,,,1,0.2526837600162253,,,,001,2019_Jan_10_1340,body_behavioural,59.968518940702126,
4,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_10_1340,body_behavioural,59.968518940702126,
5,32,,0,5,5,5,0,0,0,0,,,,,,,,,,,space,0.2188491449924186,1,0.15168446896132082,,,,001,2019_Jan_10_1340,body_behavioural,59.968518940702126,
5,Airport Business Deal,,0,5,5,5,0,1,1,1,,,,,,,,,,,,,1,0.28413308796007186,,,,001,2019_Jan_10_1340,body_behavioural,59.968518940702126,
5,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_10_1340,body_behavioural,59.968518940702126,
6,21,,0,6,6,6,0,0,0,0,,,,,,,,,,,space,0.4858823179965839,1,0.1357101530302316,,,,001,2019_Jan_10_1340,body_behavioural,59.968518940702126,
6,Restaurant Proposal,,0,6,6,6,0,1,1,1,,,,,,,,,,,,,1,0.21909940894693136,,,,001,2019_Jan_10_1340,body_behavioural,59.968518940702126,
6,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_10_1340,body_behavioural,59.968518940702126,
7,34,,0,7,7,7,0,0,0,0,,,,,,,,,,,space,0.26768374303355813,1,0.20861209905706346,,,,001,2019_Jan_10_1340,body_behavioural,59.968518940702126,
7,Attending a Lecture Business Deal,,0,7,7,7,0,1,1,1,,,,,,,,,,,,,1,0.23536817799322307,,,,001,2019_Jan_10_1340,body_behavioural,59.968518940702126,
7,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_10_1340,body_behavioural,59.968518940702126,
8,12,,0,8,8,8,0,0,0,0,,,,,,,,,,,space,0.518143150024116,1,0.22513133799657226,,,,001,2019_Jan_10_1340,body_behavioural,59.968518940702126,
8,Airport Breakup,,0,8,8,8,0,1,1,1,,,,,,,,,,,,,1,0.20154294301755726,,,,001,2019_Jan_10_1340,body_behavioural,59.968518940702126,
8,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_10_1340,body_behavioural,59.968518940702126,
9,41,,0,9,9,9,0,0,0,0,,,,,,,,,,,space,0.36873630399350077,1,0.21868765400722623,,,,001,2019_Jan_10_1340,body_behavioural,59.968518940702126,
9,Restaurant Meet Cute,,0,9,9,9,0,1,1,1,,,,,,,,,,,,,1,0.21835314796771854,,,,001,2019_Jan_10_1340,body_behavioural,59.968518940702126,
9,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_10_1340,body_behavioural,59.968518940702126,
10,14,,0,10,10,10,0,0,0,0,,,,,,,,,,,space,0.28539221605751663,1,0.23505580297205597,,,,001,2019_Jan_10_1340,body_behavioural,59.968518940702126,
10,Attending a Lecture Breakup,,0,10,10,10,0,1,1,1,,,,,,,,,,,,,1,0.2678380610886961,,,,001,2019_Jan_10_1340,body_behavioural,59.968518940702126,
10,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_10_1340,body_behavioural,59.968518940702126,
11,33,,0,11,11,11,0,0,0,0,,,,,,,,,,,space,0.26635503699071705,1,0.23511173704173416,,,,001,2019_Jan_10_1340,body_behavioural,59.968518940702126,
11,Grocery Shopping Business Deal,,0,11,11,11,0,1,1,1,,,,,,,,,,,,,1,0.23373527394142002,,,,001,2019_Jan_10_1340,body_behavioural,59.968518940702126,
11,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_10_1340,body_behavioural,59.968518940702126,
12,22,,0,12,12,12,0,0,0,0,,,,,,,,,,,space,0.18427497893571854,1,0.20725561096332967,,,,001,2019_Jan_10_1340,body_behavioural,59.968518940702126,
12,Airport Proposal,,0,12,12,12,0,1,1,1,,,,,,,,,,,,,1,0.20148690999485552,,,,001,2019_Jan_10_1340,body_behavioural,59.968518940702126,
12,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_10_1340,body_behavioural,59.968518940702126,
13,24,,0,13,13,13,0,0,0,0,,,,,,,,,,,space,0.20164975803345442,1,0.2673747839871794,,,,001,2019_Jan_10_1340,body_behavioural,59.968518940702126,
13,Attending a Lecture Proposal,,0,13,13,13,0,1,1,1,,,,,,,,,,,,,1,0.21892164193559438,,,,001,2019_Jan_10_1340,body_behavioural,59.968518940702126,
13,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_10_1340,body_behavioural,59.968518940702126,
14,43,,0,14,14,14,0,0,0,0,,,,,,,,,,,space,0.23471164202783257,1,0.2024187439819798,,,,001,2019_Jan_10_1340,body_behavioural,59.968518940702126,
14,Grocery Shopping Meet Cute,,0,14,14,14,0,1,1,1,,,,,,,,,,,,,1,0.2188207149738446,,,,001,2019_Jan_10_1340,body_behavioural,59.968518940702126,
14,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_10_1340,body_behavioural,59.968518940702126,
15,31,,0,15,15,15,0,0,0,0,,,,,,,,,,,space,0.23345462803263217,1,0.15191170398611575,,,,001,2019_Jan_10_1340,body_behavioural,59.968518940702126,
15,Restaurant Business Deal,,0,15,15,15,0,1,1,1,,,,,,,,,,,,,1,0.18277807300910354,,,,001,2019_Jan_10_1340,body_behavioural,59.968518940702126,
15,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_10_1340,body_behavioural,59.968518940702126,
,,The next part of the experiment is to recall each story to the best of your ability.,,,,,,,,,0,0,0,0,,,,,,,,,,,space,0.1854045420186594,,001,2019_Jan_10_1340,body_behavioural,59.968518940702126,
,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,0,1,1,1,,,,,,,,,,,space,0.9692821149947122,,001,2019_Jan_10_1340,body_behavioural,59.968518940702126,
,,Describe the story with as many details as you can remember in the space provided. ,,,,,,,,,0,2,2,2,,,,,,,,,,,space,0.8352843520697206,,001,2019_Jan_10_1340,body_behavioural,59.968518940702126,
,,"When you are finished recalling one story, to move onto the next one hit ‘return’. ",,,,,,,,,0,3,3,3,,,,,,,,,,,space,6.186368596041575,,001,2019_Jan_10_1340,body_behavioural,59.968518940702126,
,,There is no time limit for your responses. ,,,,,,,,,0,4,4,4,,,,,,,,,,,space,1.5350714540109038,,001,2019_Jan_10_1340,body_behavioural,59.968518940702126,
