count,storyText,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,recall,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,frameRate,
0,11,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,[11 23 21 42 32 44 13 34 24 31 43 22 33 14 41 12],"['Location' 'Location' 'Social' 'Social' 'Location' 'Location' 'Social'
 'Social' 'Social' 'Social' 'Social' 'Location' 'Location' 'Location'
 'Location' 'Social']",1,0.7198328439844772,,,,,,,001,2019_Jan_10_1444,body_behavioural,None,
0,Restaurant- Breakup,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,9,0.8522000719094649,,,,,,,001,2019_Jan_10_1444,body_behavioural,None,
0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_10_1444,body_behavioural,None,
,,The next part of the experiment is to recall each story to the best of your ability.,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,space,0.6513323510298505,,,,,001,2019_Jan_10_1444,body_behavioural,None,
,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,space,0.1686351289972663,,,,,001,2019_Jan_10_1444,body_behavioural,None,
,,Describe the story with as many details as you can remember in the space provided. ,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,space,0.13415431906469166,,,,,001,2019_Jan_10_1444,body_behavioural,None,
,,"When you are finished recalling one story, to move onto the next one hit ‘return’. ",,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,space,0.11873914999887347,,,,,001,2019_Jan_10_1444,body_behavioural,None,
,,There is no time limit for your responses. ,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,space,0.3361261560348794,,,,,001,2019_Jan_10_1444,body_behavioural,None,
0,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,Skjflksj,,,,001,2019_Jan_10_1444,body_behavioural,None,
1,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,001,2019_Jan_10_1444,body_behavioural,None,
,,The next part of the task is to answer specific questions about each story.,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,space,1.6515726880170405,,001,2019_Jan_10_1444,body_behavioural,None,
,,The next part of the task is to answer specific questions about each story.,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,001,2019_Jan_10_1444,body_behavioural,None,
,,Hit enter to submit your answer and move onto the next question. ,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,space,2.1353845309931785,,001,2019_Jan_10_1444,body_behavioural,None,
,,Hit enter to submit your answer and move onto the next question. ,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,001,2019_Jan_10_1444,body_behavioural,None,
0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,Lsdkjflks,,,,001,2019_Jan_10_1444,body_behavioural,None,
1,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,Ksjdflkjsflk,,,,001,2019_Jan_10_1444,body_behavioural,None,
2,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,Sldkjflskjdf,,,,001,2019_Jan_10_1444,body_behavioural,None,
3,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,Skdfjlskdjf,,,,001,2019_Jan_10_1444,body_behavioural,None,
