count,storyText,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,recall,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,question1_correct_perspective,question2_correct_perspective,question3_correct_perspective,question4_correct_perspective,participant,session,date,expName,frameRate,
0,23,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,[23 12 43 34 14 21 32 41 44 33 31 13 42 24 22 11],"['Social' 'Location' 'Location' 'Location' 'Social' 'Location' 'Social'
 'Social' 'Location' 'Location' 'Social' 'Social' 'Social' 'Social'
 'Location' 'Location']",1,2.8851633690064773,,,,,,,,,,,,,001,2019_Jan_15_1215,body_behavioural,59.726570567917804,
0,Grocery shopping Proposal,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,9,0.2694978789659217,,,,,,,,,,,,,001,2019_Jan_15_1215,body_behavioural,59.726570567917804,
0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_15_1215,body_behavioural,59.726570567917804,
1,12,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,1,0.3853169559733942,,,,,,,,,,,,,001,2019_Jan_15_1215,body_behavioural,59.726570567917804,
1,Airport Breakup,,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,9,0.21792025107424706,,,,,,,,,,,,,001,2019_Jan_15_1215,body_behavioural,59.726570567917804,
1,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_15_1215,body_behavioural,59.726570567917804,
,,The next task in the experiment is to recall each story to the best of your ability.,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,space,0.7681945529766381,,,,,,,,,,,001,2019_Jan_15_1215,body_behavioural,59.726570567917804,
,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,space,0.3344081469113007,,,,,,,,,,,001,2019_Jan_15_1215,body_behavioural,59.726570567917804,
,,Describe the story with as many details as you can remember in the space provided. ,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,space,0.36848383489996195,,,,,,,,,,,001,2019_Jan_15_1215,body_behavioural,59.726570567917804,
,,"When you are finished recalling one story, to move onto the next one hit ‘return’. ",,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,space,0.36825119401328266,,,,,,,,,,,001,2019_Jan_15_1215,body_behavioural,59.726570567917804,
,,There is no time limit for your responses. ,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,space,0.5516046000411734,,,,,,,,,,,001,2019_Jan_15_1215,body_behavioural,59.726570567917804,
0,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,F,,,,,,,,,,001,2019_Jan_15_1215,body_behavioural,59.726570567917804,
1,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_15_1215,body_behavioural,59.726570567917804,
2,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_15_1215,body_behavioural,59.726570567917804,
,,The next part of the task is to answer specific questions about each story.,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,space,0.9676404499914497,,,,,,,,001,2019_Jan_15_1215,body_behavioural,59.726570567917804,
,,The next part of the task is to answer specific questions about each story.,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_15_1215,body_behavioural,59.726570567917804,
,,Hit enter to submit your answer and move onto the next question. ,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,space,0.4668963900767267,,,,,,,,001,2019_Jan_15_1215,body_behavioural,59.726570567917804,
,,Hit enter to submit your answer and move onto the next question. ,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_15_1215,body_behavioural,59.726570567917804,
0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,space,0.6686282189330086,Fjsk,Jk,,,,001,2019_Jan_15_1215,body_behavioural,59.726570567917804,
1,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,space,0.45220744994003326,,,,,,001,2019_Jan_15_1215,body_behavioural,59.726570567917804,
2,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,space,0.5184212590102106,Kjdf,,,,,001,2019_Jan_15_1215,body_behavioural,59.726570567917804,
3,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,space,0.4022681900532916,,,,,,001,2019_Jan_15_1215,body_behavioural,59.726570567917804,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   ,,,space,0.5675202689599246,,   ,,,,,,,,
