count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,recall,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,participant,session,date,expName,frameRate,
0,"Thomas got to Annika’s Finer Diner early, dreading the conversation he was about to have.",1,1,None,None,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,[11 13 22 42 31 33 44 24 32 43 12 21 23 41 34 14],"['Location' 'Social' 'Location' 'Social' 'Social' 'Location' 'Location'
 'Social' 'Social' 'Location' 'Location' 'Location' 'Social' 'Social'
 'Location' 'Social']",1,2.7689868829911575,,,,,,,,,,,,,,,,,,001,2019_Jan_22_1317,body_behavioural,59.979609207512404,
0,The restaurant had a kitschy charm and was reminiscent of a diner from the 70’s. ,1,1,None,None,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,1,0.5684392920229584,,,,,,,,,,,,,,,,,,001,2019_Jan_22_1317,body_behavioural,59.979609207512404,
0,"A bell chimed as the door swung open, and Sadie entered to find him deep in thought on a bench by the door.",1,1,None,None,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,001,2019_Jan_22_1317,body_behavioural,59.979609207512404,
0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_22_1317,body_behavioural,59.979609207512404,
1,"The grocery store was not the place Emmanuella and Liam wanted to be as they had been fighting beforehand, to the point where Emmanuella was thinking of breaking up with Liam.",1,1,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,001,2019_Jan_22_1317,body_behavioural,59.979609207512404,
1,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_22_1317,body_behavioural,59.979609207512404,
,,,,,,The next task in the experiment is to recall each story to the best of your ability.,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,space,2.0030700970673934,,,,,,,,,,,,,,,,001,2019_Jan_22_1317,body_behavioural,59.979609207512404,
,,,,,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,space,0.7181493589887396,,,,,,,,,,,,,,,,001,2019_Jan_22_1317,body_behavioural,59.979609207512404,
,,,,,,Describe the story with as many details as you can remember in the space provided. ,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,space,0.600344741018489,,,,,,,,,,,,,,,,001,2019_Jan_22_1317,body_behavioural,59.979609207512404,
,,,,,,"When you are finished recalling one story, to move onto the next one hit ‘return’. ",,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,space,0.4508546539582312,,,,,,,,,,,,,,,,001,2019_Jan_22_1317,body_behavioural,59.979609207512404,
,,,,,,There is no time limit for your responses. ,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,space,1.15111680701375,,,,,,,,,,,,,,,,001,2019_Jan_22_1317,body_behavioural,59.979609207512404,
0,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,Kdjslkfj skjfa kj,,,,,,,,,,,,,,,001,2019_Jan_22_1317,body_behavioural,59.979609207512404,
1,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,001,2019_Jan_22_1317,body_behavioural,59.979609207512404,
2,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_22_1317,body_behavioural,59.979609207512404,
3,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,Ksjld sjldkfj ,,,,,,,,,,,,,,,001,2019_Jan_22_1317,body_behavioural,59.979609207512404,
4,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,Kj kjs flkjsd k jk. then there was a small jumping sound in the sound.,,,,,,,,,,,,,,,001,2019_Jan_22_1317,body_behavioural,59.979609207512404,
5,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,Kdjlfsk,,,,,,,,,,,,,,,001,2019_Jan_22_1317,body_behavioural,59.979609207512404,
6,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,Kjlskdjf,,,,,,,,,,,,,,,001,2019_Jan_22_1317,body_behavioural,59.979609207512404,
7,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,Lkdjfslkfj,,,,,,,,,,,,,,,001,2019_Jan_22_1317,body_behavioural,59.979609207512404,
8,,,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,Lkjfslkdj,,,,,,,,,,,,,,,001,2019_Jan_22_1317,body_behavioural,59.979609207512404,
9,,,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,Kjfskj ,,,,,,,,,,,,,,,001,2019_Jan_22_1317,body_behavioural,59.979609207512404,
10,,,,,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,Lkfjsdklj,,,,,,,,,,,,,,,001,2019_Jan_22_1317,body_behavioural,59.979609207512404,
11,,,,,,,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,Lskfjklsj ,,,,,,,,,,,,,,,001,2019_Jan_22_1317,body_behavioural,59.979609207512404,
12,,,,,,,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_22_1317,body_behavioural,59.979609207512404,
13,,,,,,,,,,,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_22_1317,body_behavioural,59.979609207512404,
