count,storyText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,order of stories,order of perspectives,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,frameRate,
0,22,0,0,0,0,0,0,0,0,[22 12 31 34 44 13 23 41 21 32 14 24 42 33 11 43],"['Social' 'Location' 'Social' 'Location' 'Social' 'Social' 'Location'
 'Location' 'Social' 'Social' 'Social' 'Location' 'Location' 'Location'
 'Location' 'Social']",space,0.7211299650371075,space,3.8030942369950935,,001,2019_Jan_04_1238,body_updated,59.93598069840752,
0,Airport Proposal,0,0,0,0,0,1,1,1,,,,,space,0.7847409551031888,,001,2019_Jan_04_1238,body_updated,59.93598069840752,
0,,0,0,0,0,,,,,,,,,,,,001,2019_Jan_04_1238,body_updated,59.93598069840752,
1,12,0,1,1,1,0,0,0,0,,,space,1.0200917449546978,space,1.5021569629898295,,001,2019_Jan_04_1238,body_updated,59.93598069840752,
1,Airport Breakup,0,1,1,1,0,1,1,1,,,,,space,0.7178756509674713,,001,2019_Jan_04_1238,body_updated,59.93598069840752,
1,,0,1,1,1,,,,,,,,,,,,001,2019_Jan_04_1238,body_updated,59.93598069840752,
2,31,0,2,2,2,0,0,0,0,,,space,0.618440969963558,space,0.9676095249596983,,001,2019_Jan_04_1238,body_updated,59.93598069840752,
2,Restaurant Business Deal,0,2,2,2,0,1,1,1,,,,,space,1.11927182902582,,001,2019_Jan_04_1238,body_updated,59.93598069840752,
2,,0,2,2,2,,,,,,,,,,,,001,2019_Jan_04_1238,body_updated,59.93598069840752,
3,34,0,3,3,3,0,0,0,0,,,space,0.7355205799685791,space,0.4025067350594327,,001,2019_Jan_04_1238,body_updated,59.93598069840752,
3,Attending a Lecture Business Deal,0,3,3,3,0,1,1,1,,,,,space,1.2344859149307013,,001,2019_Jan_04_1238,body_updated,59.93598069840752,
3,,0,3,3,3,,,,,,,,,,,,001,2019_Jan_04_1238,body_updated,59.93598069840752,
4,44,0,4,4,4,0,0,0,0,,,space,0.6690807390259579,space,0.3520500509766862,,001,2019_Jan_04_1238,body_updated,59.93598069840752,
4,Attending a Lecture Meet Cute,0,4,4,4,0,1,1,1,,,,,space,0.3689914629794657,,001,2019_Jan_04_1238,body_updated,59.93598069840752,
4,,0,4,4,4,,,,,,,,,,,,001,2019_Jan_04_1238,body_updated,59.93598069840752,
5,13,0,5,5,5,0,0,0,0,,,space,0.41881975799333304,space,0.31953733798582107,,001,2019_Jan_04_1238,body_updated,59.93598069840752,
5,Grocery Shopping Breakup,0,5,5,5,0,1,1,1,,,,,space,0.2664549630135298,,001,2019_Jan_04_1238,body_updated,59.93598069840752,
5,,0,5,5,5,,,,,,,,,,,,001,2019_Jan_04_1238,body_updated,59.93598069840752,
6,23,0,6,6,6,0,0,0,0,,,space,0.4188487590290606,space,0.21729374106507748,,001,2019_Jan_04_1238,body_updated,59.93598069840752,
6,Grocery shopping Proposal,0,6,6,6,0,1,1,1,,,,,space,0.2523533559869975,,001,2019_Jan_04_1238,body_updated,59.93598069840752,
6,,0,6,6,6,,,,,,,,,,,,001,2019_Jan_04_1238,body_updated,59.93598069840752,
7,41,0,7,7,7,0,0,0,0,,,space,0.3848553450079635,space,0.25160161207895726,,001,2019_Jan_04_1238,body_updated,59.93598069840752,
7,Restaurant Meet Cute,0,7,7,7,0,1,1,1,,,,,space,0.20082458900287747,,001,2019_Jan_04_1238,body_updated,59.93598069840752,
7,,0,7,7,7,,,,,,,,,,,,001,2019_Jan_04_1238,body_updated,59.93598069840752,
8,21,0,8,8,8,0,0,0,0,,,space,0.3521919110789895,space,0.28510152106173337,,001,2019_Jan_04_1238,body_updated,59.93598069840752,
8,Restaurant Proposal,0,8,8,8,0,1,1,1,,,,,space,0.0855763420695439,,001,2019_Jan_04_1238,body_updated,59.93598069840752,
8,,0,8,8,8,,,,,,,,,,,,001,2019_Jan_04_1238,body_updated,59.93598069840752,
9,32,0,9,9,9,0,0,0,0,,,space,0.4357290599728003,space,0.2025599000044167,,001,2019_Jan_04_1238,body_updated,59.93598069840752,
9,Airport Business Deal,0,9,9,9,0,1,1,1,,,,,space,0.20265918294899166,,001,2019_Jan_04_1238,body_updated,59.93598069840752,
9,,0,9,9,9,,,,,,,,,,,,001,2019_Jan_04_1238,body_updated,59.93598069840752,
10,14,0,10,10,10,0,0,0,0,,,space,0.36795938096474856,space,0.4358003030065447,,001,2019_Jan_04_1238,body_updated,59.93598069840752,
10,Attending a Lecture Breakup,0,10,10,10,0,1,1,1,,,,,space,0.18460005102679133,,001,2019_Jan_04_1238,body_updated,59.93598069840752,
10,,0,10,10,10,,,,,,,,,,,,001,2019_Jan_04_1238,body_updated,59.93598069840752,
11,24,0,11,11,11,0,0,0,0,,,space,0.4681611630367115,space,0.41782781307119876,,001,2019_Jan_04_1238,body_updated,59.93598069840752,
11,Attending a Lecture Proposal,0,11,11,11,0,1,1,1,,,,,space,0.23328661697451025,,001,2019_Jan_04_1238,body_updated,59.93598069840752,
11,,0,11,11,11,,,,,,,,,,,,001,2019_Jan_04_1238,body_updated,59.93598069840752,
12,42,0,12,12,12,0,0,0,0,,,space,0.6176501050358638,space,0.31753865198697895,,001,2019_Jan_04_1238,body_updated,59.93598069840752,
12,Airport Meet Cute,0,12,12,12,0,1,1,1,,,,,space,0.2361427639843896,,001,2019_Jan_04_1238,body_updated,59.93598069840752,
12,,0,12,12,12,,,,,,,,,,,,001,2019_Jan_04_1238,body_updated,59.93598069840752,
13,33,0,13,13,13,0,0,0,0,,,space,0.4514830280095339,space,0.31895956106018275,,001,2019_Jan_04_1238,body_updated,59.93598069840752,
13,Grocery Shopping Business Deal,0,13,13,13,0,1,1,1,,,,,space,0.15026281494647264,,001,2019_Jan_04_1238,body_updated,59.93598069840752,
13,,0,13,13,13,,,,,,,,,,,,001,2019_Jan_04_1238,body_updated,59.93598069840752,
14,11,0,14,14,14,0,0,0,0,,,space,0.4857988259755075,space,0.21832923602778465,,001,2019_Jan_04_1238,body_updated,59.93598069840752,
14,Restaurant- Breakup,0,14,14,14,0,1,1,1,,,,,space,0.43573856400325894,,001,2019_Jan_04_1238,body_updated,59.93598069840752,
14,,0,14,14,14,,,,,,,,,,,,001,2019_Jan_04_1238,body_updated,59.93598069840752,
15,43,0,15,15,15,0,0,0,0,,,space,0.38425690901931375,space,0.20138436707202345,,001,2019_Jan_04_1238,body_updated,59.93598069840752,
15,Grocery Shopping Meet Cute,0,15,15,15,0,1,1,1,,,,,space,0.2517400219803676,,001,2019_Jan_04_1238,body_updated,59.93598069840752,
15,,0,15,15,15,,,,,,,,,,,,001,2019_Jan_04_1238,body_updated,59.93598069840752,
