count,storyText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,order of stories,order of perspectives,key_resp_3.keys,key_resp_3.rt,story_presses.keys,story_presses.rt,participant,session,date,expName,frameRate,
0,24,0,0,0,0,0,0,0,0,[24 42 31 22 13 11 44 33 21 34 12 14 43 32 41 23],"['Location' 'Location' 'Social' 'Social' 'Social' 'Location' 'Social'
 'Location' 'Social' 'Location' 'Location' 'Social' 'Social' 'Social'
 'Location' 'Location']",space,2.339743944001384,1,6.086310753948055,,001,2019_Jan_04_1301,body_updated,59.94766806485327,
0,Attending a Lecture Proposal,0,0,0,0,0,1,1,1,,,,,9,0.7862841020105407,,001,2019_Jan_04_1301,body_updated,59.94766806485327,
0,,0,0,0,0,,,,,,,,,,,,001,2019_Jan_04_1301,body_updated,59.94766806485327,
1,42,0,1,1,1,0,0,0,0,,,space,1.0517549799988046,1,0.4020482710329816,,001,2019_Jan_04_1301,body_updated,59.94766806485327,
1,Airport Meet Cute,0,1,1,1,0,1,1,1,,,,,9,0.7006478561088443,,001,2019_Jan_04_1301,body_updated,59.94766806485327,
1,,0,1,1,1,,,,,,,,,,,,001,2019_Jan_04_1301,body_updated,59.94766806485327,
2,31,0,2,2,2,0,0,0,0,,,space,0.8352713939966634,9,0.5338907539844513,,001,2019_Jan_04_1301,body_updated,59.94766806485327,
2,Restaurant Business Deal,0,2,2,2,0,1,1,1,,,,,9,0.518111162004061,,001,2019_Jan_04_1301,body_updated,59.94766806485327,
2,,0,2,2,2,,,,,,,,,,,,001,2019_Jan_04_1301,body_updated,59.94766806485327,
3,22,0,3,3,3,0,0,0,0,,,space,0.7362359350081533,9,0.6520504649961367,,001,2019_Jan_04_1301,body_updated,59.94766806485327,
3,Airport Proposal,0,3,3,3,0,1,1,1,,,,,9,0.15205329796299338,,001,2019_Jan_04_1301,body_updated,59.94766806485327,
3,,0,3,3,3,,,,,,,,,,,,001,2019_Jan_04_1301,body_updated,59.94766806485327,
4,13,0,4,4,4,0,0,0,0,,,space,0.6510304909897968,9,0.26736347808036953,,001,2019_Jan_04_1301,body_updated,59.94766806485327,
4,Grocery Shopping Breakup,0,4,4,4,0,1,1,1,,,,,9,0.13448840589262545,,001,2019_Jan_04_1301,body_updated,59.94766806485327,
4,,0,4,4,4,,,,,,,,,,,,001,2019_Jan_04_1301,body_updated,59.94766806485327,
5,11,0,5,5,5,0,0,0,0,,,space,0.4858327161055058,9,0.3361541150370613,,001,2019_Jan_04_1301,body_updated,59.94766806485327,
5,Restaurant- Breakup,0,5,5,5,0,1,1,1,,,,,9,0.23538539605215192,,001,2019_Jan_04_1301,body_updated,59.94766806485327,
5,,0,5,5,5,,,,,,,,,,,,001,2019_Jan_04_1301,body_updated,59.94766806485327,
6,44,0,6,6,6,0,0,0,0,,,space,0.3181345579214394,9,0.1843419080832973,,001,2019_Jan_04_1301,body_updated,59.94766806485327,
6,Attending a Lecture Meet Cute,0,6,6,6,0,1,1,1,,,,,9,0.15230908303055912,,001,2019_Jan_04_1301,body_updated,59.94766806485327,
