instruct_text,instruct_text2,rolePic,job,Q1,Q2,Q3,Q4,D1,D2,roleName,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,loop3.thisRepN,loop3.thisTrialN,loop3.thisN,loop3.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_14.keys,key_resp_14.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_4.keys,key_resp_4.rt,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,frameRate,
Welcome to the Job Simulator Task!,(press the space bar to continue),,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3198883270379156,,,,,,,,,,,,,,,,,,001,2018_Dec_13_1227,part1,60.00996670441455,
"In this task, you will read 16 stories.",None,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3010573770152405,,,,,,,,,,,,,,,,,,001,2018_Dec_13_1227,part1,60.00996670441455,
"Before each story you will be assigned a perspective of a particular career to assume while reading that story.
",None,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3360164240002632,,,,,,,,,,,,,,,,,,001,2018_Dec_13_1227,part1,60.00996670441455,
You should read the story according to the designated perspective.,None,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,space,0.28657708899118006,,,,,,,,,,,,,,,,,,001,2018_Dec_13_1227,part1,60.00996670441455,
The perspectives are as follows:,None,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3513741410570219,,,,,,,,,,,,,,,,,,001,2018_Dec_13_1227,part1,60.00996670441455,
,,business_reporter.jpg,Business Reporter,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,space,0.6531954569509253,,,,,,,,,,,,,,,,001,2018_Dec_13_1227,part1,60.00996670441455,
,,weddingplanner.jpg,Wedding Planner,,,,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,space,1.0686845349846408,,,,,,,,,,,,,,,,001,2018_Dec_13_1227,part1,60.00996670441455,
,,dean.jpg,Dean of Academic Studies,,,,,,,,,,,,0,2,2,6,,,,,,,,,,,,,,,,,,,,,,,space,0.7186474479967728,,,,,,,,,,,,,,,,001,2018_Dec_13_1227,part1,60.00996670441455,
,,matchmaker.jpg,Matchmaker,,,,,,,,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,space,0.7189109470928088,,,,,,,,,,,,,,,,001,2018_Dec_13_1227,part1,60.00996670441455,
,,couples.jpeg,"Couples Therapist
",,,,,,,,,,,,0,4,4,7,,,,,,,,,,,,,,,,,,,,,,,space,0.518744190922007,,,,,,,,,,,,,,,,001,2018_Dec_13_1227,part1,60.00996670441455,
,,gscem.jpg,"Grocery Store Customer Experience Manager
",,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,space,0.5522535970667377,,,,,,,,,,,,,,,,001,2018_Dec_13_1227,part1,60.00996670441455,
,,acem.jpg,Airport Customer Experience Manager,,,,,,,,,,,,0,6,6,4,,,,,,,,,,,,,,,,,,,,,,,space,0.7517724359640852,,,,,,,,,,,,,,,,001,2018_Dec_13_1227,part1,60.00996670441455,
,,restaurant_critic.jpg,Restaurant Critic,,,,,,,,,,,,0,7,7,1,,,,,,,,,,,,,,,,,,,,,,,space,0.4858837079955265,,,,,,,,,,,,,,,,001,2018_Dec_13_1227,part1,60.00996670441455,
"In addition to reading all 16 stories, your task will be to answer perspective-related questions about each story.
",(press the space bar to continue),,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,space,0.6850027400068939,,,,,,,,,,,,,,,,,,001,2018_Dec_13_1227,part1,60.00996670441455,
You will answer the questions about each story after reading all 16 stories. ,None,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,space,0.4160292709711939,,,,,,,,,,,,,,,,,,001,2018_Dec_13_1227,part1,60.00996670441455,
There will be four questions to answer per story.,None,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,space,0.3357949679484591,,,,,,,,,,,,,,,,,,001,2018_Dec_13_1227,part1,60.00996670441455,
