instruct_text,instruct_text2,rolePic,job,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,loop3.thisRepN,loop3.thisTrialN,loop3.thisN,loop3.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Q1,Q2,Q3,Q4,D1,D2,roleName,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_14.keys,key_resp_14.rt,participant,session,date,expName,frameRate,
Welcome to the Job Simulator Task!,(press the space bar to continue),,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,space,0.30299057997763157,,,,,,001,2018_Dec_13_1229,part1,60.34146435371272,
"In this task, you will read 16 stories.",None,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,space,0.15180861100088805,,,,,,001,2018_Dec_13_1229,part1,60.34146435371272,
"Before each story you will be assigned a perspective of a particular career to assume while reading that story.
",None,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,space,0.1351634319871664,,,,,,001,2018_Dec_13_1229,part1,60.34146435371272,
You should read the story according to the designated perspective.,None,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,space,0.1353148209163919,,,,,,001,2018_Dec_13_1229,part1,60.34146435371272,
The perspectives are as follows:,None,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,space,0.13490232592448592,,,,,,001,2018_Dec_13_1229,part1,60.34146435371272,
,,couples.jpeg,"Couples Therapist
",,,,,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,space,0.26871818501967937,,,,001,2018_Dec_13_1229,part1,60.34146435371272,
,,weddingplanner.jpg,Wedding Planner,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,space,0.5001931169535965,,,,001,2018_Dec_13_1229,part1,60.34146435371272,
,,dean.jpg,Dean of Academic Studies,,,,,0,2,2,6,,,,,,,,,,,,,,,,,,,,,,space,0.15142361307516694,,,,001,2018_Dec_13_1229,part1,60.34146435371272,
,,gscem.jpg,"Grocery Store Customer Experience Manager
",,,,,0,3,3,5,,,,,,,,,,,,,,,,,,,,,,space,0.418033976922743,,,,001,2018_Dec_13_1229,part1,60.34146435371272,
,,acem.jpg,Airport Customer Experience Manager,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,space,0.3514441499719396,,,,001,2018_Dec_13_1229,part1,60.34146435371272,
,,restaurant_critic.jpg,Restaurant Critic,,,,,0,5,5,1,,,,,,,,,,,,,,,,,,,,,,space,0.386103666969575,,,,001,2018_Dec_13_1229,part1,60.34146435371272,
,,business_reporter.jpg,Business Reporter,,,,,0,6,6,0,,,,,,,,,,,,,,,,,,,,,,space,0.3681900380179286,,,,001,2018_Dec_13_1229,part1,60.34146435371272,
,,matchmaker.jpg,Matchmaker,,,,,0,7,7,2,,,,,,,,,,,,,,,,,,,,,,space,0.46842449496034533,,,,001,2018_Dec_13_1229,part1,60.34146435371272,
"In addition to reading all 16 stories, your task will be to answer perspective-related questions about each story.
",(press the space bar to continue),,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,space,0.4521782450610772,,,,,,001,2018_Dec_13_1229,part1,60.34146435371272,
You will answer the questions about each story after reading all 16 stories. ,None,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,space,0.1344003960257396,,,,,,001,2018_Dec_13_1229,part1,60.34146435371272,
There will be four questions to answer per story.,None,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,space,0.31819823395926505,,,,,,001,2018_Dec_13_1229,part1,60.34146435371272,
These questions are determined by the perspective you take during the story. ,None,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,space,0.3355207210406661,,,,,,001,2018_Dec_13_1229,part1,60.34146435371272,
The questions will be the same for the stories read with the same perspective. ,None,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,space,0.3010393240256235,,,,,,001,2018_Dec_13_1229,part1,60.34146435371272,
"Before reading the stories, you will learn the questions associated with each career perspective in order to help you answer them. ",None,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,space,0.16900770098436624,,,,,,001,2018_Dec_13_1229,part1,60.34146435371272,
You will have to try to learn these questions with a series of pre-task quizzes.,None,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,space,0.3682558739092201,,,,,,001,2018_Dec_13_1229,part1,60.34146435371272,
"Once the story-reading task has begun, remember your answers to the questions for each story.",None,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,space,0.20245259092189372,,,,,,001,2018_Dec_13_1229,part1,60.34146435371272,
"Again, you will be asked about the answers to these questions for each story at end of the experiment. ",None,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,space,0.20176958397496492,,,,,,001,2018_Dec_13_1229,part1,60.34146435371272,
Press the space bar to begin learning the perspectives and the questions for each one.,None,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,space,0.43372777197510004,,,,,,001,2018_Dec_13_1229,part1,60.34146435371272,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.16911576001439244,,,,,,
