instruct_text,instruct_text2,rolePic,job,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,loop3.thisRepN,loop3.thisTrialN,loop3.thisN,loop3.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Q1,Q2,Q3,Q4,D1,D2,roleName,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_14.keys,key_resp_14.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,participant,session,date,expName,frameRate,
Welcome to the Job Simulator Task!,(press the space bar to continue),,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,space,0.3386323410086334,,,,,,,,,,,,,,001,2018_Dec_13_1230,part1,59.90254012637421,
"In this task, you will read 16 stories.",None,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,space,0.15076351503375918,,,,,,,,,,,,,,001,2018_Dec_13_1230,part1,59.90254012637421,
"Before each story you will be assigned a perspective of a particular career to assume while reading that story.
",None,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,space,0.13458380696829408,,,,,,,,,,,,,,001,2018_Dec_13_1230,part1,59.90254012637421,
You should read the story according to the designated perspective.,None,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,space,0.18529562500771135,,,,,,,,,,,,,,001,2018_Dec_13_1230,part1,59.90254012637421,
The perspectives are as follows:,None,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,space,0.13543294405099005,,,,,,,,,,,,,,001,2018_Dec_13_1230,part1,59.90254012637421,
,,matchmaker.jpg,Matchmaker,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,space,0.10193040908779949,,,,,,,,,,,,001,2018_Dec_13_1230,part1,59.90254012637421,
,,dean.jpg,Dean of Academic Studies,,,,,0,1,1,6,,,,,,,,,,,,,,,,,,,,,,space,0.3180472570238635,,,,,,,,,,,,001,2018_Dec_13_1230,part1,59.90254012637421,
,,business_reporter.jpg,Business Reporter,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,space,0.11827754508703947,,,,,,,,,,,,001,2018_Dec_13_1230,part1,59.90254012637421,
,,weddingplanner.jpg,Wedding Planner,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,space,0.15164141298737377,,,,,,,,,,,,001,2018_Dec_13_1230,part1,59.90254012637421,
,,gscem.jpg,"Grocery Store Customer Experience Manager
",,,,,0,4,4,5,,,,,,,,,,,,,,,,,,,,,,space,0.10217614297289401,,,,,,,,,,,,001,2018_Dec_13_1230,part1,59.90254012637421,
