instruct_text,instruct_text2,rolePic,job,Q1,Q2,Q3,Q4,D1,D2,roleName,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,loop3.thisRepN,loop3.thisTrialN,loop3.thisN,loop3.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_14.keys,key_resp_14.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_4.keys,key_resp_4.rt,participant,session,date,expName,frameRate,
Welcome to the Job Simulator Task!,(press the space bar to continue),,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,space,0.26865764101967216,,,,,,,,,,,,,,,,001,2018_Dec_13_1422,part1,60.04280056762925,
"In this task, you will read 16 stories.",None,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,space,0.13327078591100872,,,,,,,,,,,,,,,,001,2018_Dec_13_1422,part1,60.04280056762925,
"Before each story you will be assigned a perspective of a particular career to assume while reading that story.
",None,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,space,0.11835204693488777,,,,,,,,,,,,,,,,001,2018_Dec_13_1422,part1,60.04280056762925,
You should read the story according to the designated perspective.,None,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,space,0.11851321707945317,,,,,,,,,,,,,,,,001,2018_Dec_13_1422,part1,60.04280056762925,
The perspectives are as follows:,None,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,space,0.1508147669956088,,,,,,,,,,,,,,,,001,2018_Dec_13_1422,part1,60.04280056762925,
,,couples.jpeg,"Couples Therapist
",,,,,,,,,,,,0,0,0,7,,,,,,,,,,,,,,,space,0.10160828998778015,,,,,,,,,,,,,,001,2018_Dec_13_1422,part1,60.04280056762925,
,,gscem.jpg,"Grocery Store Customer Experience Manager
",,,,,,,,,,,,0,1,1,5,,,,,,,,,,,,,,,space,0.13516849104780704,,,,,,,,,,,,,,001,2018_Dec_13_1422,part1,60.04280056762925,
,,restaurant_critic.jpg,Restaurant Critic,,,,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,space,0.16805285401642323,,,,,,,,,,,,,,001,2018_Dec_13_1422,part1,60.04280056762925,
,,weddingplanner.jpg,Wedding Planner,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,space,0.23590079706627876,,,,,,,,,,,,,,001,2018_Dec_13_1422,part1,60.04280056762925,
,,acem.jpg,Airport Customer Experience Manager,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,space,0.15217877202667296,,,,,,,,,,,,,,001,2018_Dec_13_1422,part1,60.04280056762925,
,,business_reporter.jpg,Business Reporter,,,,,,,,,,,,0,5,5,0,,,,,,,,,,,,,,,space,0.13524202001281083,,,,,,,,,,,,,,001,2018_Dec_13_1422,part1,60.04280056762925,
,,dean.jpg,Dean of Academic Studies,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,space,0.15204857499338686,,,,,,,,,,,,,,001,2018_Dec_13_1422,part1,60.04280056762925,
,,matchmaker.jpg,Matchmaker,,,,,,,,,,,,0,7,7,2,,,,,,,,,,,,,,,space,0.15174308605492115,,,,,,,,,,,,,,001,2018_Dec_13_1422,part1,60.04280056762925,
"In addition to reading all 16 stories, your task will be to answer perspective-related questions about each story.
",(press the space bar to continue),,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,space,0.11904198303818703,,,,,,,,,,,,,,,,001,2018_Dec_13_1422,part1,60.04280056762925,
You will answer the questions about each story after reading all 16 stories. ,None,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,space,0.15165254892781377,,,,,,,,,,,,,,,,001,2018_Dec_13_1422,part1,60.04280056762925,
There will be four questions to answer per story.,None,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,space,0.134338523959741,,,,,,,,,,,,,,,,001,2018_Dec_13_1422,part1,60.04280056762925,
These questions are determined by the perspective you take during the story. ,None,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,space,0.1343184900470078,,,,,,,,,,,,,,,,001,2018_Dec_13_1422,part1,60.04280056762925,
The questions will be the same for the stories read with the same perspective. ,None,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,space,0.1674440170172602,,,,,,,,,,,,,,,,001,2018_Dec_13_1422,part1,60.04280056762925,
"Before reading the stories, you will learn the questions associated with each career perspective in order to help you answer them. ",None,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,space,0.15229113295208663,,,,,,,,,,,,,,,,001,2018_Dec_13_1422,part1,60.04280056762925,
You will have to try to learn these questions with a series of pre-task quizzes.,None,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,space,0.15064736502245069,,,,,,,,,,,,,,,,001,2018_Dec_13_1422,part1,60.04280056762925,
"Once the story-reading task has begun, remember your answers to the questions for each story.",None,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,space,0.13426816603168845,,,,,,,,,,,,,,,,001,2018_Dec_13_1422,part1,60.04280056762925,
"Again, you will be asked about the answers to these questions for each story at end of the experiment. ",None,,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,space,0.1346295839175582,,,,,,,,,,,,,,,,001,2018_Dec_13_1422,part1,60.04280056762925,
Press the space bar to begin learning the perspectives and the questions for each one.,None,,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,space,0.20167513005435467,,,,,,,,,,,,,,,,001,2018_Dec_13_1422,part1,60.04280056762925,
,,gscem.jpg,,"What is the grocery store like upon entering?
","What items do the clients pick out?
","How is the checkout line and how long do the clients wait in line?
","How much are the groceries and what method of payment do the clients use?
",How long does it take for the cashier to scan all of the customers’ groceries?,What type of grocery bags do the clients use?,"Grocery Store Customer Experience Manager
",,,,,,,,,,,,,0,0,0,5,0,0,0,0,,,,,space,0.15144941001199186,space,0.3504612880060449,space,0.11946672108024359,space,0.30205629498232156,space,0.3521980589721352,space,0.4519435709808022,,001,2018_Dec_13_1422,part1,60.04280056762925,
,,gscem.jpg,,"What is the grocery store like upon entering?
","What items do the clients pick out?
","How is the checkout line and how long do the clients wait in line?
","How much are the groceries and what method of payment do the clients use?
",How long does it take for the cashier to scan all of the customers’ groceries?,What type of grocery bags do the clients use?,"Grocery Store Customer Experience Manager
",,,,,,,,,,,,,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,001,2018_Dec_13_1422,part1,60.04280056762925,
,,weddingplanner.jpg,,"How does the person who proposed feel before proposing?
","What is the ring like?
","Does anyone besides the person proposing help with the proposal?
","Who witnessed the “yes”?
",Is anyone taking pictures of the proposal?,How long does the proposal take?,Wedding Planner,,,,,,,,,,,,,0,1,1,3,0,0,0,0,,,,,space,1.7714245039969683,space,0.13494456897024065,space,0.1352082029916346,space,0.11904728598892689,space,0.11789413401857018,space,0.11856802692636847,,001,2018_Dec_13_1422,part1,60.04280056762925,
,,weddingplanner.jpg,,"How does the person who proposed feel before proposing?
","What is the ring like?
","Does anyone besides the person proposing help with the proposal?
","Who witnessed the “yes”?
",Is anyone taking pictures of the proposal?,How long does the proposal take?,Wedding Planner,,,,,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,001,2018_Dec_13_1422,part1,60.04280056762925,
