Q1,Q2,Q3,Q4,D1,D2,roleName,rolePic,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,participant,session,date,expName,frameRate,
"How does the person who is initiating the breakup feel before they do it?
","Why does the initiator want to break up?
","How does the person being broken up with respond?
",Do the partners leave on good terms?,Does the person being broken up with expect that this is coming?,For how long has the initiator been wanting to break up?,"Couples Therapist
",couples.jpeg,0,0,0,7,0,0,0,0,space,0.7352192520047538,space,0.3503632049832959,space,0.3021920580067672,space,0.41770429600728676,,001,2018_Nov_12_1057,part1,59.99880507174222,
"How does the person who is initiating the breakup feel before they do it?
","Why does the initiator want to break up?
","How does the person being broken up with respond?
",Do the partners leave on good terms?,Does the person being broken up with expect that this is coming?,For how long has the initiator been wanting to break up?,"Couples Therapist
",couples.jpeg,0,0,0,7,1,0,1,0,space,0.7840778359968681,space,0.16757830401184037,space,0.1517381920129992,space,0.3856435719935689,,001,2018_Nov_12_1057,part1,59.99880507174222,
"How does the person who is initiating the breakup feel before they do it?
","Why does the initiator want to break up?
","How does the person being broken up with respond?
",Do the partners leave on good terms?,Does the person being broken up with expect that this is coming?,For how long has the initiator been wanting to break up?,"Couples Therapist
",couples.jpeg,0,0,0,7,2,0,2,0,space,0.45254686201224104,space,0.1691481090092566,space,0.1185244980151765,space,0.4690354559861589,,001,2018_Nov_12_1057,part1,59.99880507174222,
"How does the person who is initiating the breakup feel before they do it?
","Why does the initiator want to break up?
","How does the person being broken up with respond?
",Do the partners leave on good terms?,Does the person being broken up with expect that this is coming?,For how long has the initiator been wanting to break up?,"Couples Therapist
",couples.jpeg,0,0,0,7,,,,,,,,,,,,,,001,2018_Nov_12_1057,part1,59.99880507174222,
"Who notices who first and why do they notice the other?
","How does the couple start talking?
","Which of the people proposes going on an actual date and what do they propose?
","Who leaves first and why do they have to go?
",Is the couple going to get married?,Who shows more interest?,Matchmaker,matchmaker.jpg,0,1,1,2,0,0,0,0,space,1.0516124490241054,space,0.3186944219924044,space,1.734753205004381,space,0.8842692440084647,,001,2018_Nov_12_1057,part1,59.99880507174222,
"Who notices who first and why do they notice the other?
","How does the couple start talking?
","Which of the people proposes going on an actual date and what do they propose?
","Who leaves first and why do they have to go?
",Is the couple going to get married?,Who shows more interest?,Matchmaker,matchmaker.jpg,0,1,1,2,,,,,,,,,,,,,,001,2018_Nov_12_1057,part1,59.99880507174222,
"How does the person who proposed feel before proposing?
","What is the ring like?
","Does anyone besides the person proposing help with the proposal?
","Who witnessed the “yes”?
",Is anyone taking pictures of the proposal?,How long does the proposal take?,Wedding Planner,weddingplanner.jpg,0,2,2,3,0,0,0,0,space,4.10317448299611,space,0.5685153189988341,space,1.8850258279999252,space,0.8173031079932116,,001,2018_Nov_12_1057,part1,59.99880507174222,
"How does the person who proposed feel before proposing?
","What is the ring like?
","Does anyone besides the person proposing help with the proposal?
","Who witnessed the “yes”?
",Is anyone taking pictures of the proposal?,How long does the proposal take?,Wedding Planner,weddingplanner.jpg,0,2,2,3,,,,,,,,,,,,,,001,2018_Nov_12_1057,part1,59.99880507174222,
"What is the lecture hall like?
",What is class they are in and what is the day’s lecture about?,"What is something taught in lecture?
",When is the next assessment in the class?,Are the students paying attention?,Are the desks comfortable?,Dean of Academic Studies,dean.jpg,0,3,3,6,0,0,0,0,space,3.421687980997376,space,0.3018413009995129,space,0.6235159130010288,space,0.6412404220027383,,001,2018_Nov_12_1057,part1,59.99880507174222,
"What is the lecture hall like?
",What is class they are in and what is the day’s lecture about?,"What is something taught in lecture?
",When is the next assessment in the class?,Are the students paying attention?,Are the desks comfortable?,Dean of Academic Studies,dean.jpg,0,3,3,6,1,0,1,0,space,1.951835930987727,space,0.7002746660145931,space,0.569738319987664,space,0.5344643799762707,,001,2018_Nov_12_1057,part1,59.99880507174222,
"What is the lecture hall like?
",What is class they are in and what is the day’s lecture about?,"What is something taught in lecture?
",When is the next assessment in the class?,Are the students paying attention?,Are the desks comfortable?,Dean of Academic Studies,dean.jpg,0,3,3,6,,,,,,,,,,,,,,001,2018_Nov_12_1057,part1,59.99880507174222,
How is the restaurant decorated?,What are the menus like?,"What do the clients order?
",How do the clients like the food?,How old is the waiter?,What meal is being served?,Restaurant Critic,restaurant_critic.jpg,0,4,4,1,0,0,0,0,space,1.9675439560087398,space,0.8851519349846058,space,0.48637696899822913,space,0.38513826800044626,,001,2018_Nov_12_1057,part1,59.99880507174222,
How is the restaurant decorated?,What are the menus like?,"What do the clients order?
",How do the clients like the food?,How old is the waiter?,What meal is being served?,Restaurant Critic,restaurant_critic.jpg,0,4,4,1,,,,,,,,,,,,,,001,2018_Nov_12_1057,part1,59.99880507174222,
What industry are the business people in?,What is being negotiated and how much money is at stake?,What is the response to the proposed deal?,What comes about from the business proposal?,Is the deal fair?,How long does it take to make the deal?,Business Reporter,business_reporter.jpg,0,5,5,0,0,0,0,0,space,1.435971899976721,space,0.8845111209957395,space,0.6014037349959835,space,1.46775254199747,,001,2018_Nov_12_1057,part1,59.99880507174222,
What industry are the business people in?,What is being negotiated and how much money is at stake?,What is the response to the proposed deal?,What comes about from the business proposal?,Is the deal fair?,How long does it take to make the deal?,Business Reporter,business_reporter.jpg,0,5,5,0,1,0,1,0,space,0.5525296370033175,space,0.38478173801559024,space,0.435377588000847,space,0.533711730997311,,001,2018_Nov_12_1057,part1,59.99880507174222,
What industry are the business people in?,What is being negotiated and how much money is at stake?,What is the response to the proposed deal?,What comes about from the business proposal?,Is the deal fair?,How long does it take to make the deal?,Business Reporter,business_reporter.jpg,0,5,5,0,,,,,,,,,,,,,,001,2018_Nov_12_1057,part1,59.99880507174222,
"When the clients arrive at the airport, how much time do they have to go through?
","What do the clients have do at security to comply with the security check?
","How do the clients feel when they are  walking to the gates?
",Where does each client sit on the plane?,Are the security guides friendly or rude?,Are the airport restrooms clean?,Airport Customer Experience Manager,acem.jpg,0,6,6,4,0,0,0,0,space,2.172595079988241,space,0.6852081910183188,space,1.2013667630089913,space,0.502007020986639,,001,2018_Nov_12_1057,part1,59.99880507174222,
"When the clients arrive at the airport, how much time do they have to go through?
","What do the clients have do at security to comply with the security check?
","How do the clients feel when they are  walking to the gates?
",Where does each client sit on the plane?,Are the security guides friendly or rude?,Are the airport restrooms clean?,Airport Customer Experience Manager,acem.jpg,0,6,6,4,,,,,,,,,,,,,,001,2018_Nov_12_1057,part1,59.99880507174222,
