instruct_text,instruct_text2,rolePic,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,loop3.thisRepN,loop3.thisTrialN,loop3.thisN,loop3.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,frameRate,
Welcome to the Job Simulator Task!,(press the space bar to continue),,0,0,0,0,,,,,,,,,space,0.5363969530153554,,,,001,2018_Nov_12_1303,part1,59.741797736238254,
"In this task, you will read 16 stories. During each one you will simulate having one job.
",None,,0,1,1,1,,,,,,,,,space,0.583438159985235,,,,001,2018_Nov_12_1303,part1,59.741797736238254,
This job will be assigned to you before each story. ,None,,0,2,2,2,,,,,,,,,space,0.8338530579931103,,,,001,2018_Nov_12_1303,part1,59.741797736238254,
"While reading each story, you should imagine yourself as having that job. ",None,,0,3,3,3,,,,,,,,,space,0.8531853099993896,,,,001,2018_Nov_12_1303,part1,59.741797736238254,
There are 8 possible jobs you could be asked to simulate.,None,,0,4,4,4,,,,,,,,,space,1.1853597830049694,,,,001,2018_Nov_12_1303,part1,59.741797736238254,
These jobs are as follows:,None,,0,5,5,5,,,,,,,,,space,0.7684647090209182,,,,001,2018_Nov_12_1303,part1,59.741797736238254,
,,matchmaker.jpg,,,,,0,0,0,2,,,,,,,space,1.4682946489774622,,001,2018_Nov_12_1303,part1,59.741797736238254,
,,acem.jpg,,,,,0,1,1,4,,,,,,,space,1.152391120995162,,001,2018_Nov_12_1303,part1,59.741797736238254,
,,restaurant_critic.jpg,,,,,0,2,2,1,,,,,,,space,0.9675802889978513,,001,2018_Nov_12_1303,part1,59.741797736238254,
,,couples.jpeg,,,,,0,3,3,7,,,,,,,space,0.9355676340055652,,001,2018_Nov_12_1303,part1,59.741797736238254,
,,dean.jpg,,,,,0,4,4,6,,,,,,,space,0.7850418539892416,,001,2018_Nov_12_1303,part1,59.741797736238254,
,,weddingplanner.jpg,,,,,0,5,5,3,,,,,,,space,0.6854491590056568,,001,2018_Nov_12_1303,part1,59.741797736238254,
,,business_reporter.jpg,,,,,0,6,6,0,,,,,,,space,0.6691449320060201,,001,2018_Nov_12_1303,part1,59.741797736238254,
,,gscem.jpg,,,,,0,7,7,5,,,,,,,space,0.9182142019853927,,001,2018_Nov_12_1303,part1,59.741797736238254,
