instruct_text,instruct_text2,rolePic,job,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,loop3.thisRepN,loop3.thisTrialN,loop3.thisN,loop3.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Q1,Q2,Q3,Q4,D1,D2,roleName,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,participant,session,date,expName,frameRate,
Welcome to the Job Simulator Task!,(press the space bar to continue),,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,space,0.3695250359887723,,,,,,,,,,,,001,2018_Nov_12_1332,part1,59.71570700958352,
"In this task, you will read 16 stories. During each one you will simulate having one job.
",None,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,space,0.43535708301351406,,,,,,,,,,,,001,2018_Nov_12_1332,part1,59.71570700958352,
This job will be assigned to you before each story. ,None,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,space,0.4009023339895066,,,,,,,,,,,,001,2018_Nov_12_1332,part1,59.71570700958352,
"While reading each story, you should imagine yourself as having that job. ",None,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,space,0.40182249501231126,,,,,,,,,,,,001,2018_Nov_12_1332,part1,59.71570700958352,
There are 8 possible jobs you could be asked to simulate.,None,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,space,0.3852758819994051,,,,,,,,,,,,001,2018_Nov_12_1332,part1,59.71570700958352,
These jobs are as follows:,None,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,space,0.418430666992208,,,,,,,,,,,,001,2018_Nov_12_1332,part1,59.71570700958352,
,,dean.jpg,Dean of Academic Studies,,,,,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,space,0.6037983580026776,,,,,,,,,,001,2018_Nov_12_1332,part1,59.71570700958352,
,,gscem.jpg,"Grocery Store Customer Experience Manager
",,,,,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,space,0.40214424798614345,,,,,,,,,,001,2018_Nov_12_1332,part1,59.71570700958352,
,,restaurant_critic.jpg,Restaurant Critic,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,space,0.585084991005715,,,,,,,,,,001,2018_Nov_12_1332,part1,59.71570700958352,
,,weddingplanner.jpg,Wedding Planner,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,space,0.3678624510066584,,,,,,,,,,001,2018_Nov_12_1332,part1,59.71570700958352,
,,business_reporter.jpg,Business Reporter,,,,,0,4,4,0,,,,,,,,,,,,,,,,,,,,,,space,0.46774324198486283,,,,,,,,,,001,2018_Nov_12_1332,part1,59.71570700958352,
,,couples.jpeg,"Couples Therapist
",,,,,0,5,5,7,,,,,,,,,,,,,,,,,,,,,,space,0.5023629720089957,,,,,,,,,,001,2018_Nov_12_1332,part1,59.71570700958352,
,,matchmaker.jpg,Matchmaker,,,,,0,6,6,2,,,,,,,,,,,,,,,,,,,,,,space,0.5169095830060542,,,,,,,,,,001,2018_Nov_12_1332,part1,59.71570700958352,
,,acem.jpg,Airport Customer Experience Manager,,,,,0,7,7,4,,,,,,,,,,,,,,,,,,,,,,space,0.5187998350011185,,,,,,,,,,001,2018_Nov_12_1332,part1,59.71570700958352,
"In addition, your task will be to answer job-related questions.
",(press the space bar to continue),,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,space,0.9020371870137751,,,,,,,,,,,,001,2018_Nov_12_1332,part1,59.71570700958352,
There are four question per job.,None,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,space,0.3845551289850846,,,,,,,,,,,,001,2018_Nov_12_1332,part1,59.71570700958352,
You will have to try to memorize these questions and then remember your answers to the questions.,None,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,space,0.30097689302056096,,,,,,,,,,,,001,2018_Nov_12_1332,part1,59.71570700958352,
You will be asked about the answers to these questions at end of the experiment. ,None,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,space,0.31763456301996484,,,,,,,,,,,,001,2018_Nov_12_1332,part1,59.71570700958352,
"In order to help you memorize the questions, there will be a short quiz on them before the actual task begins.",None,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,space,0.31802913997671567,,,,,,,,,,,,001,2018_Nov_12_1332,part1,59.71570700958352,
"In addition, before each story, there will be a reminder of what these questions are.  ",None,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,space,0.3854096890136134,,,,,,,,,,,,001,2018_Nov_12_1332,part1,59.71570700958352,
Press the space bar to begin learning the jobs and the questions for each one.,None,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,space,0.502262319001602,,,,,,,,,,,,001,2018_Nov_12_1332,part1,59.71570700958352,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.0526781899970956,space,0.32452349198865704,space,0.3080089239811059,space,0.551600023987703,,,,,,
