count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,key_resp_14.keys,key_resp_14.rt,story_presses.keys,story_presses.rt,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,questions time,key_resp_13.keys,key_resp_13.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,[21 13 34 22 42 33 14 41 11 43 24 44 12 32 31 23],"['Location' 'Location' 'Location' 'Social' 'Location' 'Social' 'Social'
 'Social' 'Location' 'Social' 'Social' 'Location' 'Social' 'Location'
 'Social' 'Location']",[11 43 24 44 12 32 31 23],"['Location' 'Social' 'Social' 'Location' 'Social' 'Location' 'Social'
 'Location']",space,0.4072100799999987,space,1.5670738769999986,space,0.5192725349999989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chocolate,001,2019_Feb_20_1333,body_behavioural,3.0.4,59.99598146916206,
0,"Alvira and Senna walked into the restaurant hand in sweaty hand with quite different expectations: Senna was going to propose tonight, and Alvira had no idea.",1,1,None,None,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.5697388930000074,1,0.9363202199999989,,,,,,,,,,,,,,,,,,,,,,,,,,,,chocolate,001,2019_Feb_20_1333,body_behavioural,3.0.4,59.99598146916206,
0,"He took a deep breath, trying to calm his nerves as worst case scenarios ran through his mind. ",1,1,None,None,,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.03613955699999849,,,,,,,,,,,,,,,,,,,,,,,,,,,,chocolate,001,2019_Feb_20_1333,body_behavioural,3.0.4,59.99598146916206,
0,The entrance of the restaurant was dazzling; chandeliers spread their warm light onto the delicate place settings of all the tables filled with guests dressed to the nines. ,1,1,None,None,,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0840883129999952,,,,,,,,,,,,,,,,,,,,,,,,,,,,chocolate,001,2019_Feb_20_1333,body_behavioural,3.0.4,59.99598146916206,
0,"Through the floor-to-ceiling arched windows of the back wall, they saw the sun setting onto the Pacific ocean.",1,1,None,None,,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.13637781699999607,,,,,,,,,,,,,,,,,,,,,,,,,,,,chocolate,001,2019_Feb_20_1333,body_behavioural,3.0.4,59.99598146916206,
0,"This was surely one of the best restaurants on the west coast, situated right on the beach.",1,1,None,None,,0,0,0,0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.13583854999998835,,,,,,,,,,,,,,,,,,,,,,,,,,,,chocolate,001,2019_Feb_20_1333,body_behavioural,3.0.4,59.99598146916206,
0,"Senna gave his name to the host, who quickly located their reservation with an almost comically wide customer-service smile.",1,1,7.0,None,,0,0,0,0,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.13660671800001012,,,,,,,,,,,,,,,,,,,,,,,,,,,,chocolate,001,2019_Feb_20_1333,body_behavioural,3.0.4,59.99598146916206,
0,He led them to a table right by the window.,2,1,None,None,,0,0,0,0,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.11734119499999451,,,,,,,,,,,,,,,,,,,,,,,,,,,,chocolate,001,2019_Feb_20_1333,body_behavioural,3.0.4,59.99598146916206,
0,"He brought out some very small menus, with a short list of the celebrity chef's carefully selected daily dishes written in a loopy, cursive font unadorned by any mention of prices.",2,1,None,9.0,,0,0,0,0,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.036367752999993286,,,,,,,,,,,,,,,,,,,,,,,,,,,,chocolate,001,2019_Feb_20_1333,body_behavioural,3.0.4,59.99598146916206,
0,Senna slipped off to the bathroom to check to make sure the ring was in order.,2,2,None,None,,0,0,0,0,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.01684652800000208,,,,,,,,,,,,,,,,,,,,,,,,,,,,chocolate,001,2019_Feb_20_1333,body_behavioural,3.0.4,59.99598146916206,
