instruct_text,this_pic,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,rolePic,job,key_resp_8.keys,key_resp_8.rt,participant,session,date,expName,psychopyVersion,frameRate,
Welcome to the Job Simulator Task!,instructions_photos/pixel.png,0,0,0,0,,,,,,,space,1.3385207270002866,error_fixing,001,2019_Feb_20_1159,part1_subjective_segmentation,3.0.4,60.05044369356179,
"In this task, you'll be assuming various perspectives of jobs while reading stories. ",None,0,1,1,1,,,,,,,space,0.18629058499936946,error_fixing,001,2019_Feb_20_1159,part1_subjective_segmentation,3.0.4,60.05044369356179,
"First, you’ll be introduced to the perspectives of 8 different jobs. ",instructions_photos/i1.png,0,2,2,2,,,,,,,space,0.01965845199993055,error_fixing,001,2019_Feb_20_1159,part1_subjective_segmentation,3.0.4,60.05044369356179,
"For example, you may be asked to take on the perspective of a Restaurant Critic while you read a story that takes place in a restaurant. ",jobphotos/restaurant_critic.jpg,0,3,3,3,,,,,,,space,0.3695154500001081,error_fixing,001,2019_Feb_20_1159,part1_subjective_segmentation,3.0.4,60.05044369356179,
"You’ll learn 4 questions associated with each perspective, and you’ll use these to interrogate the stories while assuming that perspective. ",instructions_photos/i2.png,0,4,4,4,,,,,,,space,0.16932052500033024,error_fixing,001,2019_Feb_20_1159,part1_subjective_segmentation,3.0.4,60.05044369356179,
"For example, if you are a Restaurant Critic, you’ll learn to ask questions about the restaurant decor, menus, and the enjoyment of the food. ",jobphotos/restaurant_critic.jpg,0,5,5,5,,,,,,,space,4.136710022000443,error_fixing,001,2019_Feb_20_1159,part1_subjective_segmentation,3.0.4,60.05044369356179,
"After learning all the questions in a series of pre-task quizzes, you’ll read 8 stories, applying one perspective you’ve learned to each one. ",instructions_photos/i3.png,0,6,6,6,,,,,,,space,0.8861211900002672,error_fixing,001,2019_Feb_20_1159,part1_subjective_segmentation,3.0.4,60.05044369356179,
"While reading, try to keep in mind the perspective and questions. ",instructions_photos/i3.png,0,7,7,7,,,,,,,space,0.7669575899999472,error_fixing,001,2019_Feb_20_1159,part1_subjective_segmentation,3.0.4,60.05044369356179,
"After you’re finished reading all the stories, you will be asked to recall the stories and answer questions about them. ",instructions_photos/i4.png,0,8,8,8,,,,,,,space,0.3197410200000377,error_fixing,001,2019_Feb_20_1159,part1_subjective_segmentation,3.0.4,60.05044369356179,
Try to remember the stories and the answers to the questions as you read them for these later tasks. ,None,0,9,9,9,,,,,,,space,1976.9444538939997,error_fixing,001,2019_Feb_20_1159,part1_subjective_segmentation,3.0.4,60.05044369356179,
Let’s begin! The 8 perspectives are as follows:,None,0,10,10,10,,,,,,,space,0.4698813120003251,error_fixing,001,2019_Feb_20_1159,part1_subjective_segmentation,3.0.4,60.05044369356179,
