count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,storyEvent,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,key_resp_5.keys,key_resp_5.rt,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,recall,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,participant,session,date,expName,frameRate,
0,"James noticed Teresa immediately as she walked into the restaurant - or, more accurately as she attempted to walk into the restaurant. ",1,1,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,[41 12 21 32 24 44 33 13 42 11 31 43 34 22 14 23],"['Social' 'Social' 'Location' 'Location' 'Social' 'Location' 'Social'
 'Location' 'Location' 'Location' 'Social' 'Social' 'Location' 'Social'
 'Social' 'Location']",space,4.037777183999999,1,15.106270322,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
0,"She was typing intently on her phone, and ran straight into the diner's clear glass door with an echoing thud. ",1,1,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,1,6.970488435999997,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
0,Everyone waiting around the cash register turned to see if she was okay.,1,1,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,1,2.5346337959999943,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
0,"Teresa rubbed her head, confused but unembarrassed, mostly just indignant that the door had been in her way. ",1,1,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,1,18.840631523,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
0,"James found this quite charming and stole a couple glances of her, until she noticed and wrinkled her eyebrows at him in suspicion. ",1,1,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,1,8.988262376000009,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
0,"The restaurant they were in was a cabin-themed diner, with wooden booths and bar and walls covered in plaid blankets and antler decorations. ",1,1,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,1,22.359997321999998,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
0,"The waiter saw that James and Teresa were both alone, and motioned to both of them. ",1,1,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,9,9.38552396,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
0,“Right this way. You two don't mind sitting at the counter?” ,2,1,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,1,6.727201377,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
0,They sat a seat apart from each other on the split tree trunk that served as a bench.,2,1,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,1,6.336295490999987,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
0, The waitress behind the counter gave them bright neon menus that were filled with breakfast items.,2,1,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,1,3.6036074600000063,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
0,"Teresa quickly glanced through it, then pulled out a book and started reading it, while James played with the salt and pepper shakers as he tried to think of an excuse to talk to Teresa.",2,1,,,,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,1,6.487999879,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
0," He eventually turned to her, and asked, “Your forehead alright?”",2,2,,,,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,9,15.18966758800002,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
0,She put down her book and gave him a smirk.,2,2,,,,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,1,1.2854388370000152,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
0,"“Have you ever been stung by a scorpion?” she asked him, tilting her head.",2,2,,,,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,1,3.2198096580000026,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
0,“What?” ,2,2,,,,,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,1,0.9019963060000009,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
0, “A scorpion.”,2,2,,,,,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,1,0.9356805259999987,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
0, He began to worry that maybe she had suffered a concussion in the door crash.,2,2,,,,,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,1,12.489728387000014,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
0,"“Uh no, why?” ",2,2,,,,,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,1,1.5520703319999996,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
0," “Because I have been, and since then, things like bumping into doors seem like pretty small potatoes.” ",2,2,,,,,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,1,9.488257066000017,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
