count,storyText,locationEvent,socialEvent,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,recall,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,participant,session,date,expName,frameRate,
0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,[22 44 31 34 13 23 12 41 42 33 14 24 11 21 43 32],"['Location' 'Social' 'Social' 'Location' 'Location' 'Social' 'Social'
 'Location' 'Location' 'Location' 'Location' 'Social' 'Social' 'Location'
 'Social' 'Social']",[42 33 14 24 11 21 43 32],"['Location' 'Location' 'Location' 'Social' 'Social' 'Location' 'Social'
 'Social']",space,0.3833517839993874,space,0.31857107499854465,space,0.46839203299896326,,,,,,,,,,,,,,,,,,,,,umbrella,001,2019_Feb_11_1048,body_behavioural,60.12566853944312,
0,"Sven and Isabel walked hurriedly from the cab into the Barcelona Airport after an incredible weekend with Isabel’s family, which had wiped away any doubts Sven had had about his decision to propose. ",1,1,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.2021998139989591,,,,,,,,,,,,,,,,,,,umbrella,001,2019_Feb_11_1048,body_behavioural,60.12566853944312,
0,"They were a little pressed for time, with only a little over an hour until their flight would take off to go back to the US, but they already had their online boarding passes and no checked luggage. ",1,1,,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.13320707800085074,,,,,,,,,,,,,,,,,,,umbrella,001,2019_Feb_11_1048,body_behavioural,60.12566853944312,
0,"When Isabel stopped to rummage through her purse looking for her phone, Sven turned his back to her and took the velvet box out of his backpack, opening it to look at the ring he bought her.",1,2,,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.10268588799954159,,,,,,,,,,,,,,,,,,,umbrella,001,2019_Feb_11_1048,body_behavioural,60.12566853944312,
0,"He had received her parents’ blessing during the trip, and he was almost giddy with excitement. ",1,2,,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.06836201900114247,,,,,,,,,,,,,,,,,,,umbrella,001,2019_Feb_11_1048,body_behavioural,60.12566853944312,
0,"He tilted the ring backward and forward, despite having already studied it daily since he had purchased it a few weeks ago. ",1,2,,0,0,0,0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.10141996499987727,,,,,,,,,,,,,,,,,,,umbrella,001,2019_Feb_11_1048,body_behavioural,60.12566853944312,
0,"It was a simple design, with a clear, white diamond on a thin silver band.",1,2,,0,0,0,0,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.1243408680002176,,,,,,,,,,,,,,,,,,,umbrella,001,2019_Feb_11_1048,body_behavioural,60.12566853944312,
0,"“Sven, let’s go! ” Isabel said. ",1,2,,0,0,0,0,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.018683786000110558,,,,,,,,,,,,,,,,,,,umbrella,001,2019_Feb_11_1048,body_behavioural,60.12566853944312,
0,Sven discretely closed the box and put it in his pocket.,1,2,,0,0,0,0,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.05180535099862027,,,,,,,,,,,,,,,,,,,umbrella,001,2019_Feb_11_1048,body_behavioural,60.12566853944312,
0," They entered the security line, weaving through the roped walkways to the front. ",2,2,,0,0,0,0,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.04190620000008494,,,,,,,,,,,,,,,,,,,umbrella,001,2019_Feb_11_1048,body_behavioural,60.12566853944312,
