instructText,count,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,story_list_block1,action_list_block1,story_list_block2,action_list_block2,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_13.started,text_13.stopped,text_23.started,text_23.stopped,text_43.started,text_43.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.started,key_resp_11.stopped,text_44.started,text_44.stopped,image_10.started,image_10.stopped,text_22.started,text_22.stopped,recall,question1_answer,order of question,text_14.started,text_14.stopped,text_15.started,text_15.stopped,image_6.started,image_6.stopped,polygon_3.started,polygon_3.stopped,bottom_line_3.started,bottom_line_3.stopped,right_line_3.started,right_line_3.stopped,left_line_3.started,left_line_3.stopped,question2_answer,text_16.started,text_16.stopped,text_17.started,text_17.stopped,image_7.started,image_7.stopped,polygon_4.started,polygon_4.stopped,bottom_line_4.started,bottom_line_4.stopped,right_line_4.started,right_line_4.stopped,left_line_4.started,left_line_4.stopped,question3_answer,text_18.started,text_18.stopped,text_19.started,text_19.stopped,image_8.started,image_8.stopped,polygon_5.started,polygon_5.stopped,bottom_line_5.started,bottom_line_5.stopped,right_line_5.started,right_line_5.stopped,left_line_5.started,left_line_5.stopped,question4_answer,text_20.started,text_20.stopped,text_21.started,text_21.stopped,image_9.started,image_9.stopped,polygon_6.started,polygon_6.stopped,bottom_line_6.started,bottom_line_6.stopped,right_line_6.started,right_line_6.stopped,left_line_6.started,left_line_6.stopped,question5_answer,text_25.started,text_25.stopped,text_26.started,text_26.stopped,image_11.started,image_11.stopped,polygon_7.started,polygon_7.stopped,bottom_line_7.started,bottom_line_7.stopped,right_line_7.started,right_line_7.stopped,left_line_7.started,left_line_7.stopped,question6_answer,text_27.started,text_27.stopped,text_28.started,text_28.stopped,image_12.started,image_12.stopped,polygon_8.started,polygon_8.stopped,bottom_line_8.started,bottom_line_8.stopped,right_line_8.started,right_line_8.stopped,left_line_8.started,left_line_8.stopped,question7_answer,text_29.started,text_29.stopped,text_30.started,text_30.stopped,image_13.started,image_13.stopped,polygon_9.started,polygon_9.stopped,bottom_line_9.started,bottom_line_9.stopped,right_line_9.started,right_line_9.stopped,left_line_9.started,left_line_9.stopped,question8_answer,text_31.started,text_31.stopped,text_32.started,text_32.stopped,image_14.started,image_14.stopped,polygon_10.started,polygon_10.stopped,bottom_line_10.started,bottom_line_10.stopped,right_line_10.started,right_line_10.stopped,left_line_10.started,left_line_10.stopped,text_36.started,text_36.stopped,participant,sA,sB,lA,lB,block_struct,random_seed,date,expName,psychopyVersion,frameRate,
"In the final part of the experiment, please answer 8 questions about each story.",,0,0,0,0,,,,,,,,,,,,,[31 13 42 22 24 44 33 11],[2 1 2 3 1 4 4 3],[34 43 32 41 23 14 12 21],[4 4 2 2 1 1 3 3],space,8.764876102999551,11.055642869000621,None,11.055642869000621,None,11.055642869000621,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,021020,0,1,0,1,1,2,2020_Feb_10_1508,body_behavioural,3.2.4,60.187535452801676,
"We did not tell you to think of all or some of these questions during the story, but please do your best to answer them.",,0,1,1,1,,,,,,,,,,,,,,,,,space,4.738960205000694,19.906158563000645,None,19.906158563000645,None,19.906158563000645,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,021020,0,1,0,1,1,2,2020_Feb_10_1508,body_behavioural,3.2.4,60.187535452801676,
"Answer as much as you remember, and be specific and concrete in your answers. It is best to try to be as faithful as possible to what the story actually said.
",,0,2,2,2,,,,,,,,,,,,,,,,,space,8.576372944000468,24.68658165800025,None,24.68658165800025,None,24.68658165800025,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,021020,0,1,0,1,1,2,2020_Feb_10_1508,body_behavioural,3.2.4,60.187535452801676,
"When you have finished typing your answer, hit ‘return’ to submit your answer and move onto the next question. ",,0,3,3,3,,,,,,,,,,,,,,,,,space,5.524906441999519,33.3048642520007,None,33.3048642520007,None,33.3048642520007,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,021020,0,1,0,1,1,2,2020_Feb_10_1508,body_behavioural,3.2.4,60.187535452801676,
,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,38.871024763000605,None,space,0.9757154689996241,38.871024763000605,None,38.871024763000605,None,39.93847371500033,None,39.93847371500033,None,,It is a dark moody restaurant with a lot of dark wood paneling on the walls and a fancy candelabra.,"[2, 1]",41.970589342000494,None,41.970589342000494,None,41.970589342000494,None,41.970589342000494,None,41.970589342000494,None,41.970589342000494,None,41.970589342000494,None,The menus are heavy and long and are printed on nice paper. ,86.12010671900043,None,86.12010671900043,None,86.12010671900043,None,86.12010671900043,None,86.12010671900043,None,86.12010671900043,None,86.12010671900043,None,"Mr. gordon orders a medium rare steak and a martini, and mr. shelton orders veal and a manhattan.",124.83690874600052,None,124.83690874600052,None,124.83690874600052,None,124.83690874600052,None,124.83690874600052,None,124.83690874600052,None,124.83690874600052,None,The food is disappointing. both men think the meat is dry and overcooked.,165.2700729520002,None,165.2700729520002,None,165.2700729520002,None,165.2700729520002,None,165.2700729520002,None,165.2700729520002,None,165.2700729520002,None,Not sure about this but i think mr. gordon is the ceo of his company and mr. shelton is the cfo of the larger company looking to acquire them.,189.03649715099982,None,189.03649715099982,None,189.03649715099982,None,189.03649715099982,None,189.03649715099982,None,189.03649715099982,None,189.03649715099982,None,Also not sure but i think it was several hundred million. ,280.45122594500026,None,280.45122594500026,None,280.45122594500026,None,280.45122594500026,None,280.45122594500026,None,280.45122594500026,None,280.45122594500026,None,,332.41792982100014,None,332.41792982100014,None,332.41792982100014,None,332.41792982100014,None,332.41792982100014,None,332.41792982100014,None,332.41792982100014,None,,,,,,,,,,,,,,,,,,021020,0,1,0,1,1,2,2020_Feb_10_1508,body_behavioural,3.2.4,60.187535452801676,
,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.18484046699996,None,336.18484046699996,None,336.18484046699996,None,336.18484046699996,None,336.18484046699996,None,336.18484046699996,None,336.18484046699996,None,,,021020,0,1,0,1,1,2,2020_Feb_10_1508,body_behavioural,3.2.4,60.187535452801676,
,1,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,356.9167058190005,None,space,2.635123394999937,356.9167058190005,None,356.9167058190005,None,359.5998271640001,None,359.5998271640001,None,,5 months,"[1, 2]",361.2345333210005,None,361.2345333210005,None,361.2345333210005,None,361.2345333210005,None,361.2345333210005,None,361.2345333210005,None,361.2345333210005,None,They have been fighting constantly.,367.9846596840007,None,367.9846596840007,None,367.9846596840007,None,367.9846596840007,None,367.9846596840007,None,367.9846596840007,None,367.9846596840007,None,He thinks it would be for the best since they are both unhappy together and might be happier with other people.,381.0839432110006,None,381.0839432110006,None,381.0839432110006,None,381.0839432110006,None,381.0839432110006,None,381.0839432110006,None,381.0839432110006,None,Liam wants his cat luna back,416.516894376,None,416.516894376,None,416.516894376,None,416.516894376,None,416.516894376,None,416.516894376,None,416.516894376,None,,440.08278222900026,None,440.08278222900026,None,440.08278222900026,None,440.08278222900026,None,440.08278222900026,None,440.08278222900026,None,440.08278222900026,None,Pasta,447.6329750069999,None,447.6329750069999,None,447.6329750069999,None,447.6329750069999,None,447.6329750069999,None,447.6329750069999,None,447.6329750069999,None,,453.8162815989999,None,453.8162815989999,None,453.8162815989999,None,453.8162815989999,None,453.8162815989999,None,453.8162815989999,None,453.8162815989999,None,,,,,,,,,,,,,,,,,,021020,0,1,0,1,1,2,2020_Feb_10_1508,body_behavioural,3.2.4,60.187535452801676,
,1,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not sure, but i think around 30 dollars. emmanuella uses her credit card.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not sure, but i think around 30 dollars. emmanuella uses her credit card.",463.5324427680007,None,463.5324427680007,None,463.5324427680007,None,463.5324427680007,None,463.5324427680007,None,463.5324427680007,None,463.5324427680007,None,,,021020,0,1,0,1,1,2,2020_Feb_10_1508,body_behavioural,3.2.4,60.187535452801676,
,2,,,,,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,498.13090098500015,None,space,2.542762451999806,498.13090098500015,None,498.13090098500015,None,500.7152865810003,None,500.7152865810003,None,,A magazine or some other airport reading material,"[1, 2]",501.6158303460006,None,501.6158303460006,None,501.6158303460006,None,501.6158303460006,None,501.6158303460006,None,501.6158303460006,None,501.6158303460006,None,A joke about being a gymnast after anna's fall,516.9822912700001,None,516.9822912700001,None,516.9822912700001,None,516.9822912700001,None,516.9822912700001,None,516.9822912700001,None,516.9822912700001,None,It will be the next tuesday after they both get back into town. they will go on a date.,577.5311281260001,None,577.5311281260001,None,577.5311281260001,None,577.5311281260001,None,577.5311281260001,None,577.5311281260001,None,577.5311281260001,None,,605.0306646560002,None,605.0306646560002,None,605.0306646560002,None,605.0306646560002,None,605.0306646560002,None,605.0306646560002,None,605.0306646560002,None,"David has several hours, but anna is much more rushed. she has 30 minutes or so.",609.6806727270005,None,609.6806727270005,None,609.6806727270005,None,609.6806727270005,None,609.6806727270005,None,609.6806727270005,None,609.6806727270005,None,,635.5297422990006,None,635.5297422990006,None,635.5297422990006,None,635.5297422990006,None,635.5297422990006,None,635.5297422990006,None,635.5297422990006,None,,644.1139909459998,None,644.1139909459998,None,644.1139909459998,None,644.1139909459998,None,644.1139909459998,None,644.1139909459998,None,644.1139909459998,None,,,,,,,,,,,,,,,,,,021020,0,1,0,1,1,2,2020_Feb_10_1508,body_behavioural,3.2.4,60.187535452801676,
,2,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anna sits in business class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anna sits in business class,662.3624783490004,None,662.3624783490004,None,662.3624783490004,None,662.3624783490004,None,662.3624783490004,None,662.3624783490004,None,662.3624783490004,None,,,021020,0,1,0,1,1,2,2020_Feb_10_1508,body_behavioural,3.2.4,60.187535452801676,
