instructText,count,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,story_list_block1,action_list_block1,story_list_block2,action_list_block2,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_13.started,text_13.stopped,text_23.started,text_23.stopped,text_43.started,text_43.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.started,key_resp_11.stopped,text_44.started,text_44.stopped,text_53.started,text_53.stopped,image_10.started,image_10.stopped,text_22.started,text_22.stopped,recall,question1_answer,order of question,text_14.started,text_14.stopped,text_15.started,text_15.stopped,image_6.started,image_6.stopped,polygon_3.started,polygon_3.stopped,bottom_line_3.started,bottom_line_3.stopped,right_line_3.started,right_line_3.stopped,left_line_3.started,left_line_3.stopped,question2_answer,text_16.started,text_16.stopped,text_17.started,text_17.stopped,image_7.started,image_7.stopped,polygon_4.started,polygon_4.stopped,bottom_line_4.started,bottom_line_4.stopped,right_line_4.started,right_line_4.stopped,left_line_4.started,left_line_4.stopped,question3_answer,text_18.started,text_18.stopped,text_19.started,text_19.stopped,image_8.started,image_8.stopped,polygon_5.started,polygon_5.stopped,bottom_line_5.started,bottom_line_5.stopped,right_line_5.started,right_line_5.stopped,left_line_5.started,left_line_5.stopped,question4_answer,text_20.started,text_20.stopped,text_21.started,text_21.stopped,image_9.started,image_9.stopped,polygon_6.started,polygon_6.stopped,bottom_line_6.started,bottom_line_6.stopped,right_line_6.started,right_line_6.stopped,left_line_6.started,left_line_6.stopped,question5_answer,text_25.started,text_25.stopped,text_26.started,text_26.stopped,image_11.started,image_11.stopped,polygon_7.started,polygon_7.stopped,bottom_line_7.started,bottom_line_7.stopped,right_line_7.started,right_line_7.stopped,left_line_7.started,left_line_7.stopped,question6_answer,text_27.started,text_27.stopped,text_28.started,text_28.stopped,image_12.started,image_12.stopped,polygon_8.started,polygon_8.stopped,bottom_line_8.started,bottom_line_8.stopped,right_line_8.started,right_line_8.stopped,left_line_8.started,left_line_8.stopped,question7_answer,text_29.started,text_29.stopped,text_30.started,text_30.stopped,image_13.started,image_13.stopped,polygon_9.started,polygon_9.stopped,bottom_line_9.started,bottom_line_9.stopped,right_line_9.started,right_line_9.stopped,left_line_9.started,left_line_9.stopped,question8_answer,text_31.started,text_31.stopped,text_32.started,text_32.stopped,image_14.started,image_14.stopped,polygon_10.started,polygon_10.stopped,bottom_line_10.started,bottom_line_10.stopped,right_line_10.started,right_line_10.stopped,left_line_10.started,left_line_10.stopped,text_36.started,text_36.stopped,participant,sA,sB,lA,lB,block_struct,random_seed,date,expName,psychopyVersion,frameRate,
"In the final part of the experiment, please answer 8 questions about each story.",,0,0,0,0,,,,,,,,,,,,,[32 43 23 12 14 34 41 21],[4 2 3 1 1 4 2 3],[44 22 31 13 11 33 42 24],[4 1 2 3 3 2 4 1],space,5.8776483799993,6.451172715000212,None,6.451172715000212,None,6.451172715000212,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,022420,0,1,0,2,0,4,2020_Feb_24_1652,short_answer,3.2.4,59.85067436309059,
"We did not tell you to think of all or some of these questions during the story, but please do your best to answer them.",,0,1,1,1,,,,,,,,,,,,,,,,,space,5.699090072000217,12.368700785000328,None,12.368700785000328,None,12.368700785000328,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,022420,0,1,0,2,0,4,2020_Feb_24_1652,short_answer,3.2.4,59.85067436309059,
"Answer as much as you remember, and be specific and concrete in your answers. It is best to try to be as faithful as possible to what the story actually said.
",,0,2,2,2,,,,,,,,,,,,,,,,,space,8.958905251000033,18.102308892999645,None,18.102308892999645,None,18.102308892999645,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,022420,0,1,0,2,0,4,2020_Feb_24_1652,short_answer,3.2.4,59.85067436309059,
"When you have finished typing your answer, hit ‘return’ to submit your answer and move onto the next question. ",,0,3,3,3,,,,,,,,,,,,,,,,,space,5.568378635999579,27.102635369999916,None,27.102635369999916,None,27.102635369999916,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,022420,0,1,0,2,0,4,2020_Feb_24_1652,short_answer,3.2.4,59.85067436309059,
,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,32.71891302899985,None,space,2.3096727629999805,32.71891302899985,None,32.71891302899985,None,32.71891302899985,None,35.13561600200046,None,35.13561600200046,None,A handshake,I forget -- but i think the time was ample ... as in they were not in a rush to get to their flights,"[2, 1]",37.469563951000055,None,37.469563951000055,None,37.469563951000055,None,37.469563951000055,None,37.469563951000055,None,37.469563951000055,None,37.469563951000055,None,I couldn't hear this part too well but maybe it was the crate of wine ...,75.23492636300034,None,75.23492636300034,None,75.23492636300034,None,75.23492636300034,None,75.23492636300034,None,75.23492636300034,None,75.23492636300034,None,I can't seem to recall,103.7675192329998,None,103.7675192329998,None,103.7675192329998,None,103.7675192329998,None,103.7675192329998,None,103.7675192329998,None,103.7675192329998,None,"Business class, maybequestion",120.53533376300038,None,120.53533376300038,None,120.53533376300038,None,120.53533376300038,None,120.53533376300038,None,120.53533376300038,None,120.53533376300038,None,They both hold high positions. i can't recall the exact title but one is a buyer and other is a merchant / seller of some sort. ,140.01794476800023,None,140.01794476800023,None,140.01794476800023,None,140.01794476800023,None,140.01794476800023,None,140.01794476800023,None,140.01794476800023,None,"I forget, ten thousand question",183.28407462500036,None,183.28407462500036,None,183.28407462500036,None,183.28407462500036,None,183.28407462500036,None,183.28407462500036,None,183.28407462500036,None,Forget  / couldn't hear too well,201.46660554699974,None,201.46660554699974,None,201.46660554699974,None,201.46660554699974,None,201.46660554699974,None,201.46660554699974,None,201.46660554699974,None,A handshake,215.717327114,None,215.717327114,None,215.717327114,None,215.717327114,None,215.717327114,None,215.717327114,None,215.717327114,None,,,022420,0,1,0,2,0,4,2020_Feb_24_1652,short_answer,3.2.4,59.85067436309059,
,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,022420,0,1,0,2,0,4,2020_Feb_24_1652,short_answer,3.2.4,59.85067436309059,
,1,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,222.33276010200007,None,space,1.0300020189997667,222.33276010200007,None,222.33276010200007,None,222.33276010200007,None,223.39969763600038,None,223.39969763600038,None,"Around 4pm maybe, carina had to leave first for her bbq",Large and spacious,"[2, 1]",224.18372748399997,None,224.18372748399997,None,224.18372748399997,None,224.18372748399997,None,224.18372748399997,None,224.18372748399997,None,224.18372748399997,None,Steak and some type of alcohol i think or maybe seasoning,241.51692184399963,None,241.51692184399963,None,241.51692184399963,None,241.51692184399963,None,241.51692184399963,None,241.51692184399963,None,241.51692184399963,None,"If i recall correctly, the grocery store is rather empty ",275.79941147200043,None,275.79941147200043,None,275.79941147200043,None,275.79941147200043,None,275.79941147200043,None,275.79941147200043,None,275.79941147200043,None,The groceries are around 50$ and simon pays by credit card,312.99919168999986,None,312.99919168999986,None,312.99919168999986,None,312.99919168999986,None,312.99919168999986,None,312.99919168999986,None,312.99919168999986,None,I don't remember,329.48171304100015,None,329.48171304100015,None,329.48171304100015,None,329.48171304100015,None,329.48171304100015,None,329.48171304100015,None,329.48171304100015,None,I think carina asks simon if he thinks the meat is cute,352.5483503430005,None,352.5483503430005,None,352.5483503430005,None,352.5483503430005,None,352.5483503430005,None,352.5483503430005,None,352.5483503430005,None,They will go on a date ,418.8974266410005,None,418.8974266410005,None,418.8974266410005,None,418.8974266410005,None,418.8974266410005,None,418.8974266410005,None,418.8974266410005,None,"Around 4pm maybe, carina had to leave first for her bbq",443.480883315,None,443.480883315,None,443.480883315,None,443.480883315,None,443.480883315,None,443.480883315,None,443.480883315,None,,,022420,0,1,0,2,0,4,2020_Feb_24_1652,short_answer,3.2.4,59.85067436309059,
,1,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,022420,0,1,0,2,0,4,2020_Feb_24_1652,short_answer,3.2.4,59.85067436309059,
,2,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,022420,0,1,0,2,0,4,2020_Feb_24_1652,short_answer,3.2.4,59.85067436309059,
,3,,,,,0,3,3,3,0,0,0,0,,,,,,,,,,,,,,,,,457.712672486,None,space,1.0364171680002983,457.712672486,None,457.712672486,None,457.712672486,None,458.79684809300034,None,458.79684809300034,None,I think it was philosophy books.,"Just enough, i think, they were not in a severe rush","[2, 1]",460.330681593,None,460.330681593,None,460.330681593,None,460.330681593,None,460.330681593,None,460.330681593,None,460.330681593,None,I don't remember ... although i think calvin makes a remark about it that jessie doesn't like,488.9800566140002,None,488.9800566140002,None,488.9800566140002,None,488.9800566140002,None,488.9800566140002,None,488.9800566140002,None,488.9800566140002,None,Don't remember,511.263342536,None,511.263342536,None,511.263342536,None,511.263342536,None,511.263342536,None,511.263342536,None,511.263342536,None,They sit in economy but in different sections and so not together,516.2127419569997,None,516.2127419569997,None,516.2127419569997,None,516.2127419569997,None,516.2127419569997,None,516.2127419569997,None,516.2127419569997,None,For some time ... it sounded like she hasn't been happy for a while,533.4796984100003,None,533.4796984100003,None,533.4796984100003,None,533.4796984100003,None,533.4796984100003,None,533.4796984100003,None,533.4796984100003,None,That their personalities didn't get along,557.1290194180001,None,557.1290194180001,None,557.1290194180001,None,557.1290194180001,None,557.1290194180001,None,557.1290194180001,None,557.1290194180001,None,"At first no, because he says he likes her but if jessie really wants to then yes.",571.0288126249998,None,571.0288126249998,None,571.0288126249998,None,571.0288126249998,None,571.0288126249998,None,571.0288126249998,None,571.0288126249998,None,I think it was philosophy books.,609.1446017059998,None,609.1446017059998,None,609.1446017059998,None,609.1446017059998,None,609.1446017059998,None,609.1446017059998,None,609.1446017059998,None,,,022420,0,1,0,2,0,4,2020_Feb_24_1652,short_answer,3.2.4,59.85067436309059,
