count,Q1,Q2,Q3,Q4,D1,D2,roleName,rolePic,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text_18.started,text_18.stopped,image_9.started,image_9.stopped,key_resp_14.keys,key_resp_14.rt,key_resp_14.started,key_resp_14.stopped,text_8.started,text_8.stopped,text_9.started,text_9.stopped,image_5.started,image_5.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,text_10.started,text_10.stopped,text_11.started,text_11.stopped,image_6.started,image_6.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.started,key_resp_11.stopped,text_13.started,text_13.stopped,text_14.started,text_14.stopped,image_7.started,image_7.stopped,key_resp_12.keys,key_resp_12.rt,key_resp_12.started,key_resp_12.stopped,text_15.started,text_15.stopped,text_16.started,text_16.stopped,image_8.started,image_8.stopped,key_resp_13.keys,key_resp_13.rt,key_resp_13.started,key_resp_13.stopped,text_5.started,text_5.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,question1_2.started,question1_2.stopped,question2_2.started,question2_2.stopped,question3_2.started,question3_2.stopped,question4_2.started,question4_2.stopped,question5_2.started,question5_2.stopped,question6_2.started,question6_2.stopped,image_3.started,image_3.stopped,text_2.started,text_2.stopped,participant,sA,sB,date,expName,psychopyVersion,frameRate,
0,For how long has the initiator of the breakup been thinking about breaking up with his/her partner?,"What is the initial reason stated by the initiator for why he/she is breaking up?
","Does the person who is being broken up with want to break up, and what’s the reason stated by them for this?",Who wants what items back as a result of the breakup?,Does the person being broken up with expect that this is coming?,Who witnesses the breakup?,"Couples Therapist
",jobphotos/couples.jpg,0,0,0,0,0,0,0,0,10.476907677948475,None,10.476907677948475,None,space,2.857603271957487,10.476907677948475,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alex,0,2,2020_Jan_07_1610,training_fmri,3.2.1,60.01273537229927,
0,For how long has the initiator of the breakup been thinking about breaking up with his/her partner?,"What is the initial reason stated by the initiator for why he/she is breaking up?
","Does the person who is being broken up with want to break up, and what’s the reason stated by them for this?",Who wants what items back as a result of the breakup?,Does the person being broken up with expect that this is coming?,Who witnesses the breakup?,"Couples Therapist
",jobphotos/couples.jpg,0,0,0,0,0,0,0,0,,,,,,,,,13.443804880836979,None,13.443804880836979,None,13.443804880836979,None,space,1.6635689449030906,13.443804880836979,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alex,0,2,2020_Jan_07_1610,training_fmri,3.2.1,60.01273537229927,
0,For how long has the initiator of the breakup been thinking about breaking up with his/her partner?,"What is the initial reason stated by the initiator for why he/she is breaking up?
","Does the person who is being broken up with want to break up, and what’s the reason stated by them for this?",Who wants what items back as a result of the breakup?,Does the person being broken up with expect that this is coming?,Who witnesses the breakup?,"Couples Therapist
",jobphotos/couples.jpg,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,15.19394872779958,None,15.19394872779958,None,15.19394872779958,None,space,0.5343706239946187,15.19394872779958,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alex,0,2,2020_Jan_07_1610,training_fmri,3.2.1,60.01273537229927,
0,For how long has the initiator of the breakup been thinking about breaking up with his/her partner?,"What is the initial reason stated by the initiator for why he/she is breaking up?
","Does the person who is being broken up with want to break up, and what’s the reason stated by them for this?",Who wants what items back as a result of the breakup?,Does the person being broken up with expect that this is coming?,Who witnesses the breakup?,"Couples Therapist
",jobphotos/couples.jpg,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.877389760920778,None,15.877389760920778,None,15.877389760920778,None,space,0.3379739420488477,15.877389760920778,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alex,0,2,2020_Jan_07_1610,training_fmri,3.2.1,60.01273537229927,
0,For how long has the initiator of the breakup been thinking about breaking up with his/her partner?,"What is the initial reason stated by the initiator for why he/she is breaking up?
","Does the person who is being broken up with want to break up, and what’s the reason stated by them for this?",Who wants what items back as a result of the breakup?,Does the person being broken up with expect that this is coming?,Who witnesses the breakup?,"Couples Therapist
",jobphotos/couples.jpg,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.310734580969438,None,16.310734580969438,None,16.310734580969438,None,space,0.35055792797356844,16.310734580969438,None,,,,,,,,,,,,,,,,,,,,,,,alex,0,2,2020_Jan_07_1610,training_fmri,3.2.1,60.01273537229927,
0,For how long has the initiator of the breakup been thinking about breaking up with his/her partner?,"What is the initial reason stated by the initiator for why he/she is breaking up?
","Does the person who is being broken up with want to break up, and what’s the reason stated by them for this?",Who wants what items back as a result of the breakup?,Does the person being broken up with expect that this is coming?,Who witnesses the breakup?,"Couples Therapist
",jobphotos/couples.jpg,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.694025850854814,None,space,0.6952098980545998,16.694025850854814,None,,,,,,,,,,,,,,,,,alex,0,2,2020_Jan_07_1610,training_fmri,3.2.1,60.01273537229927,
0,For how long has the initiator of the breakup been thinking about breaking up with his/her partner?,"What is the initial reason stated by the initiator for why he/she is breaking up?
","Does the person who is being broken up with want to break up, and what’s the reason stated by them for this?",Who wants what items back as a result of the breakup?,Does the person being broken up with expect that this is coming?,Who witnesses the breakup?,"Couples Therapist
",jobphotos/couples.jpg,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.777274360880256,None,17.777274360880256,None,17.777274360880256,None,17.777274360880256,None,17.777274360880256,None,17.777274360880256,None,17.777274360880256,None,,,alex,0,2,2020_Jan_07_1610,training_fmri,3.2.1,60.01273537229927,
0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alex,0,2,2020_Jan_07_1610,training_fmri,3.2.1,60.01273537229927,
1,What is each business person’s job title?,"How much money is at stake in the initial offer made?
",What is the name of the other industry competitor? ,With what gesture do the business partners secure the deal?,Is the deal fair?,How long does it take to make the deal?,Business Reporter,jobphotos/business_reporter.jpg,0,1,1,1,0,0,0,0,24.844572987873107,None,24.844572987873107,None,space,1.0917777479626238,24.844572987873107,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alex,0,2,2020_Jan_07_1610,training_fmri,3.2.1,60.01273537229927,
1,What is each business person’s job title?,"How much money is at stake in the initial offer made?
",What is the name of the other industry competitor? ,With what gesture do the business partners secure the deal?,Is the deal fair?,How long does it take to make the deal?,Business Reporter,jobphotos/business_reporter.jpg,0,1,1,1,0,0,0,0,,,,,,,,,26.027970412978902,None,26.027970412978902,None,26.027970412978902,None,space,2.5181696359068155,26.027970412978902,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alex,0,2,2020_Jan_07_1610,training_fmri,3.2.1,60.01273537229927,
