count,Q1,Q2,Q3,Q4,D1,D2,roleName,rolePic,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text_18.started,text_18.stopped,image_9.started,image_9.stopped,key_resp_14.keys,key_resp_14.rt,key_resp_14.started,key_resp_14.stopped,text_8.started,text_8.stopped,text_9.started,text_9.stopped,image_5.started,image_5.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,text_10.started,text_10.stopped,text_11.started,text_11.stopped,image_6.started,image_6.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.started,key_resp_11.stopped,text_13.started,text_13.stopped,text_14.started,text_14.stopped,image_7.started,image_7.stopped,key_resp_12.keys,key_resp_12.rt,key_resp_12.started,key_resp_12.stopped,text_15.started,text_15.stopped,text_16.started,text_16.stopped,image_8.started,image_8.stopped,key_resp_13.keys,key_resp_13.rt,key_resp_13.started,key_resp_13.stopped,text_5.started,text_5.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,question1_2.started,question1_2.stopped,question2_2.started,question2_2.stopped,question3_2.started,question3_2.stopped,question4_2.started,question4_2.stopped,question5_2.started,question5_2.stopped,question6_2.started,question6_2.stopped,image_3.started,image_3.stopped,text_2.started,text_2.stopped,participant,sA,sB,date,expName,psychopyVersion,frameRate,
0,For how long has the initiator of the breakup been thinking about breaking up with his/her partner?,"What is the initial reason stated by the initiator for why he/she is breaking up?
","Does the person who is being broken up with want to break up, and what’s the reason stated by them for this?",Who wants what items back as a result of the breakup?,Does the person being broken up with expect that this is coming?,Who witnesses the breakup?,"Couples Therapist
",jobphotos/couples.jpg,0,0,0,0,0,0,0,0,10.177031320985407,None,10.177031320985407,None,space,0.48980140197090805,10.177031320985407,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alex,0,2,2020_Jan_07_1612,training_fmri,3.2.1,60.02038346871998,
0,For how long has the initiator of the breakup been thinking about breaking up with his/her partner?,"What is the initial reason stated by the initiator for why he/she is breaking up?
","Does the person who is being broken up with want to break up, and what’s the reason stated by them for this?",Who wants what items back as a result of the breakup?,Does the person being broken up with expect that this is coming?,Who witnesses the breakup?,"Couples Therapist
",jobphotos/couples.jpg,0,0,0,0,0,0,0,0,,,,,,,,,10.777128940913826,None,10.777128940913826,None,10.777128940913826,None,space,0.43564476701430976,10.777128940913826,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alex,0,2,2020_Jan_07_1612,training_fmri,3.2.1,60.02038346871998,
0,For how long has the initiator of the breakup been thinking about breaking up with his/her partner?,"What is the initial reason stated by the initiator for why he/she is breaking up?
","Does the person who is being broken up with want to break up, and what’s the reason stated by them for this?",Who wants what items back as a result of the breakup?,Does the person being broken up with expect that this is coming?,Who witnesses the breakup?,"Couples Therapist
",jobphotos/couples.jpg,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,11.310514688957483,None,11.310514688957483,None,11.310514688957483,None,space,0.48340473300777376,11.310514688957483,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alex,0,2,2020_Jan_07_1612,training_fmri,3.2.1,60.02038346871998,
0,For how long has the initiator of the breakup been thinking about breaking up with his/her partner?,"What is the initial reason stated by the initiator for why he/she is breaking up?
","Does the person who is being broken up with want to break up, and what’s the reason stated by them for this?",Who wants what items back as a result of the breakup?,Does the person being broken up with expect that this is coming?,Who witnesses the breakup?,"Couples Therapist
",jobphotos/couples.jpg,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.893915761029348,None,11.893915761029348,None,11.893915761029348,None,space,0.2898116600699723,11.893915761029348,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alex,0,2,2020_Jan_07_1612,training_fmri,3.2.1,60.02038346871998,
0,For how long has the initiator of the breakup been thinking about breaking up with his/her partner?,"What is the initial reason stated by the initiator for why he/she is breaking up?
","Does the person who is being broken up with want to break up, and what’s the reason stated by them for this?",Who wants what items back as a result of the breakup?,Does the person being broken up with expect that this is coming?,Who witnesses the breakup?,"Couples Therapist
",jobphotos/couples.jpg,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.277114511933178,None,12.277114511933178,None,12.277114511933178,None,space,0.24459568783640862,12.277114511933178,None,,,,,,,,,,,,,,,,,,,,,,,alex,0,2,2020_Jan_07_1612,training_fmri,3.2.1,60.02038346871998,
0,For how long has the initiator of the breakup been thinking about breaking up with his/her partner?,"What is the initial reason stated by the initiator for why he/she is breaking up?
","Does the person who is being broken up with want to break up, and what’s the reason stated by them for this?",Who wants what items back as a result of the breakup?,Does the person being broken up with expect that this is coming?,Who witnesses the breakup?,"Couples Therapist
",jobphotos/couples.jpg,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.543909943895414,None,space,0.46174008189700544,12.543909943895414,None,,,,,,,,,,,,,,,,,alex,0,2,2020_Jan_07_1612,training_fmri,3.2.1,60.02038346871998,
0,For how long has the initiator of the breakup been thinking about breaking up with his/her partner?,"What is the initial reason stated by the initiator for why he/she is breaking up?
","Does the person who is being broken up with want to break up, and what’s the reason stated by them for this?",Who wants what items back as a result of the breakup?,Does the person being broken up with expect that this is coming?,Who witnesses the breakup?,"Couples Therapist
",jobphotos/couples.jpg,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.377231013961136,None,13.377231013961136,None,13.377231013961136,None,13.377231013961136,None,13.377231013961136,None,13.377231013961136,None,13.377231013961136,None,,,alex,0,2,2020_Jan_07_1612,training_fmri,3.2.1,60.02038346871998,
0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alex,0,2,2020_Jan_07_1612,training_fmri,3.2.1,60.02038346871998,
1,What is each business person’s job title?,"How much money is at stake in the initial offer made?
",What is the name of the other industry competitor? ,With what gesture do the business partners secure the deal?,Is the deal fair?,How long does it take to make the deal?,Business Reporter,jobphotos/business_reporter.jpg,0,1,1,1,0,0,0,0,16.310826159082353,None,16.310826159082353,None,space,0.20960181998088956,16.310826159082353,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alex,0,2,2020_Jan_07_1612,training_fmri,3.2.1,60.02038346871998,
1,What is each business person’s job title?,"How much money is at stake in the initial offer made?
",What is the name of the other industry competitor? ,With what gesture do the business partners secure the deal?,Is the deal fair?,How long does it take to make the deal?,Business Reporter,jobphotos/business_reporter.jpg,0,1,1,1,0,0,0,0,,,,,,,,,16.62734696199186,None,16.62734696199186,None,16.62734696199186,None,space,0.27605944499373436,16.62734696199186,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alex,0,2,2020_Jan_07_1612,training_fmri,3.2.1,60.02038346871998,
