instructText,count,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,story_list_block1,action_list_block1,story_list_block2,action_list_block2,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_13.started,text_13.stopped,text_23.started,text_23.stopped,text_43.started,text_43.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.started,key_resp_11.stopped,text_44.started,text_44.stopped,image_10.started,image_10.stopped,text_22.started,text_22.stopped,recall,question1_answer,order of question,text_14.started,text_14.stopped,text_15.started,text_15.stopped,image_6.started,image_6.stopped,polygon_3.started,polygon_3.stopped,bottom_line_3.started,bottom_line_3.stopped,right_line_3.started,right_line_3.stopped,left_line_3.started,left_line_3.stopped,question2_answer,text_16.started,text_16.stopped,text_17.started,text_17.stopped,image_7.started,image_7.stopped,polygon_4.started,polygon_4.stopped,bottom_line_4.started,bottom_line_4.stopped,right_line_4.started,right_line_4.stopped,left_line_4.started,left_line_4.stopped,question3_answer,text_18.started,text_18.stopped,text_19.started,text_19.stopped,image_8.started,image_8.stopped,polygon_5.started,polygon_5.stopped,bottom_line_5.started,bottom_line_5.stopped,right_line_5.started,right_line_5.stopped,left_line_5.started,left_line_5.stopped,question4_answer,text_20.started,text_20.stopped,text_21.started,text_21.stopped,image_9.started,image_9.stopped,polygon_6.started,polygon_6.stopped,bottom_line_6.started,bottom_line_6.stopped,right_line_6.started,right_line_6.stopped,left_line_6.started,left_line_6.stopped,question5_answer,text_25.started,text_25.stopped,text_26.started,text_26.stopped,image_11.started,image_11.stopped,polygon_7.started,polygon_7.stopped,bottom_line_7.started,bottom_line_7.stopped,right_line_7.started,right_line_7.stopped,left_line_7.started,left_line_7.stopped,question6_answer,text_27.started,text_27.stopped,text_28.started,text_28.stopped,image_12.started,image_12.stopped,polygon_8.started,polygon_8.stopped,bottom_line_8.started,bottom_line_8.stopped,right_line_8.started,right_line_8.stopped,left_line_8.started,left_line_8.stopped,question7_answer,text_29.started,text_29.stopped,text_30.started,text_30.stopped,image_13.started,image_13.stopped,polygon_9.started,polygon_9.stopped,bottom_line_9.started,bottom_line_9.stopped,right_line_9.started,right_line_9.stopped,left_line_9.started,left_line_9.stopped,question8_answer,text_31.started,text_31.stopped,text_32.started,text_32.stopped,image_14.started,image_14.stopped,polygon_10.started,polygon_10.stopped,bottom_line_10.started,bottom_line_10.stopped,right_line_10.started,right_line_10.stopped,left_line_10.started,left_line_10.stopped,text_36.started,text_36.stopped,participant,sA,sB,lA,lB,block_struct,random_seed,date,expName,psychopyVersion,frameRate,
"In the final part of the experiment, please answer 8 questions about each story.",,0,0,0,0,,,,,,,,,,,,,[31 13 42 22 24 44 33 11],[2 1 2 3 1 4 4 3],[34 43 32 41 23 14 12 21],[4 4 2 2 1 1 3 3],space,1.4560060430012527,9.85989648100076,None,9.85989648100076,None,9.85989648100076,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hh,0,1,0,1,1,2,2020_Feb_13_1313,body_behavioural,3.2.4,60.030905231171474,
"We did not tell you to think of all or some of these questions during the story, but please do your best to answer them.",,0,1,1,1,,,,,,,,,,,,,,,,,space,0.4996182159993623,11.359061260001909,None,11.359061260001909,None,11.359061260001909,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hh,0,1,0,1,1,2,2020_Feb_13_1313,body_behavioural,3.2.4,60.030905231171474,
"Answer as much as you remember, and be specific and concrete in your answers. It is best to try to be as faithful as possible to what the story actually said.
",,0,2,2,2,,,,,,,,,,,,,,,,,space,0.37120153099749587,11.892564857000252,None,11.892564857000252,None,11.892564857000252,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hh,0,1,0,1,1,2,2020_Feb_13_1313,body_behavioural,3.2.4,60.030905231171474,
"When you have finished typing your answer, hit ‘return’ to submit your answer and move onto the next question. ",,0,3,3,3,,,,,,,,,,,,,,,,,space,0.37607565999860526,12.309622165001201,None,12.309622165001201,None,12.309622165001201,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hh,0,1,0,1,1,2,2020_Feb_13_1313,body_behavioural,3.2.4,60.030905231171474,
,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,12.708848144000513,None,space,0.87975861599989,12.708848144000513,None,12.708848144000513,None,13.66033929400146,None,13.66033929400146,None,J,J,"[1, 2]",14.39345564100222,None,14.39345564100222,None,14.39345564100222,None,14.39345564100222,None,14.39345564100222,None,14.39345564100222,None,14.39345564100222,None,J,18.77601475499978,None,18.77601475499978,None,18.77601475499978,None,18.77601475499978,None,18.77601475499978,None,18.77601475499978,None,18.77601475499978,None,J,20.4587758939997,None,20.4587758939997,None,20.4587758939997,None,20.4587758939997,None,20.4587758939997,None,20.4587758939997,None,20.4587758939997,None,J,22.27692603700052,None,22.27692603700052,None,22.27692603700052,None,22.27692603700052,None,22.27692603700052,None,22.27692603700052,None,22.27692603700052,None,J,26.709091543001705,None,26.709091543001705,None,26.709091543001705,None,26.709091543001705,None,26.709091543001705,None,26.709091543001705,None,26.709091543001705,None,J,28.093106701002398,None,28.093106701002398,None,28.093106701002398,None,28.093106701002398,None,28.093106701002398,None,28.093106701002398,None,28.093106701002398,None,J,28.842902632000914,None,28.842902632000914,None,28.842902632000914,None,28.842902632000914,None,28.842902632000914,None,28.842902632000914,None,28.842902632000914,None,,,,,,,,,,,,,,,,,,hh,0,1,0,1,1,2,2020_Feb_13_1313,body_behavioural,3.2.4,60.030905231171474,
,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,29.709593231000326,None,29.709593231000326,None,29.709593231000326,None,29.709593231000326,None,29.709593231000326,None,29.709593231000326,None,29.709593231000326,None,,,hh,0,1,0,1,1,2,2020_Feb_13_1313,body_behavioural,3.2.4,60.030905231171474,
,1,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,30.69244298200283,None,space,0.8027397369987739,30.69244298200283,None,30.69244298200283,None,31.543468988002132,None,31.543468988002132,None,,J,"[2, 1]",70.50994362500205,None,70.50994362500205,None,70.50994362500205,None,70.50994362500205,None,70.50994362500205,None,70.50994362500205,None,70.50994362500205,None,J,73.54331943200305,None,73.54331943200305,None,73.54331943200305,None,73.54331943200305,None,73.54331943200305,None,73.54331943200305,None,73.54331943200305,None,J,74.81047085500177,None,74.81047085500177,None,74.81047085500177,None,74.81047085500177,None,74.81047085500177,None,74.81047085500177,None,74.81047085500177,None,J,76.39347729099973,None,76.39347729099973,None,76.39347729099973,None,76.39347729099973,None,76.39347729099973,None,76.39347729099973,None,76.39347729099973,None,J,77.92674797200016,None,77.92674797200016,None,77.92674797200016,None,77.92674797200016,None,77.92674797200016,None,77.92674797200016,None,77.92674797200016,None,,79.67678661100217,None,79.67678661100217,None,79.67678661100217,None,79.67678661100217,None,79.67678661100217,None,79.67678661100217,None,79.67678661100217,None,,81.54365684200093,None,81.54365684200093,None,81.54365684200093,None,81.54365684200093,None,81.54365684200093,None,81.54365684200093,None,81.54365684200093,None,,,,,,,,,,,,,,,,,,hh,0,1,0,1,1,2,2020_Feb_13_1313,body_behavioural,3.2.4,60.030905231171474,
,1,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.608851529003,None,83.608851529003,None,83.608851529003,None,83.608851529003,None,83.608851529003,None,83.608851529003,None,83.608851529003,None,,,hh,0,1,0,1,1,2,2020_Feb_13_1313,body_behavioural,3.2.4,60.030905231171474,
,2,,,,,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,84.84110084300119,None,space,0.8540386370004853,84.84110084300119,None,84.84110084300119,None,85.74191878800048,None,85.74191878800048,None,,,"[1, 2]",86.4098814420031,None,86.4098814420031,None,86.4098814420031,None,86.4098814420031,None,86.4098814420031,None,86.4098814420031,None,86.4098814420031,None,,88.4438522010023,None,88.4438522010023,None,88.4438522010023,None,88.4438522010023,None,88.4438522010023,None,88.4438522010023,None,88.4438522010023,None,,90.25945181100178,None,90.25945181100178,None,90.25945181100178,None,90.25945181100178,None,90.25945181100178,None,90.25945181100178,None,90.25945181100178,None,,91.39272841300044,None,91.39272841300044,None,91.39272841300044,None,91.39272841300044,None,91.39272841300044,None,91.39272841300044,None,91.39272841300044,None,,92.34325238900055,None,92.34325238900055,None,92.34325238900055,None,92.34325238900055,None,92.34325238900055,None,92.34325238900055,None,92.34325238900055,None,,97.89298983800109,None,97.89298983800109,None,97.89298983800109,None,97.89298983800109,None,97.89298983800109,None,97.89298983800109,None,97.89298983800109,None,,98.89317162200314,None,98.89317162200314,None,98.89317162200314,None,98.89317162200314,None,98.89317162200314,None,98.89317162200314,None,98.89317162200314,None,,,,,,,,,,,,,,,,,,hh,0,1,0,1,1,2,2020_Feb_13_1313,body_behavioural,3.2.4,60.030905231171474,
,2,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.05973952600107,None,100.05973952600107,None,100.05973952600107,None,100.05973952600107,None,100.05973952600107,None,100.05973952600107,None,100.05973952600107,None,,,hh,0,1,0,1,1,2,2020_Feb_13_1313,body_behavioural,3.2.4,60.030905231171474,
