count,trials_14.thisRepN,trials_14.thisTrialN,trials_14.thisN,trials_14.thisIndex,behav_recall_instructions.thisRepN,behav_recall_instructions.thisTrialN,behav_recall_instructions.thisN,behav_recall_instructions.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_13.thisRepN,trials_13.thisTrialN,trials_13.thisN,trials_13.thisIndex,trials_17.thisRepN,trials_17.thisTrialN,trials_17.thisN,trials_17.thisIndex,trials_20.thisRepN,trials_20.thisTrialN,trials_20.thisN,trials_20.thisIndex,trials_18.thisRepN,trials_18.thisTrialN,trials_18.thisN,trials_18.thisIndex,trials_19.thisRepN,trials_19.thisTrialN,trials_19.thisN,trials_19.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,story_list_block1,action_list_block1,story_list_block2,action_list_block2,testing,story time,text_45.started,text_45.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_70.started,text_70.stopped,textTrigger.started,textTrigger.stopped,getTrigger.keys,getTrigger.rt,getTrigger.started,getTrigger.stopped,triggerTime,text_41.started,text_41.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,text_42.started,text_42.stopped,text_51.started,text_51.stopped,recall_StartTime,recall_EndTime,image_18.started,image_18.stopped,text_69.started,text_69.stopped,recall_audio.filename,recall_audio.started,recall_audio.stopped,key_resp_25.keys,key_resp_25.rt,key_resp_25.started,key_resp_25.stopped,text_71.started,text_71.stopped,image_20.started,image_20.stopped,text_75.started,text_75.stopped,recall_audio_2.filename,recall_audio_2.started,recall_audio_2.stopped,key_resp_26.keys,key_resp_26.rt,key_resp_26.started,key_resp_26.stopped,text_36.started,text_36.stopped,participant,s1,s2,l1,l2,story_listening,play_stories,behavioral,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[11 42 44 13 22 24 33 31],[3 2 4 1 3 1 4 2],[14 32 12 34 43 23 41 21],[1 2 3 4 4 1 2 3],89888,2.298896521097049,23.522602604003623,None,space,0.47420825785957277,23.522602604003623,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ji,0,1,0,1,0,0,0,2020_Jan_07_1123,fmri_ebs,3.2.1,60.0524678281869,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.02341454406269,None,25.023772741202265,None,5,0.8507131601218134,25.023772741202265,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ji,0,1,0,1,0,0,0,2020_Jan_07_1123,fmri_ebs,3.2.1,60.0524678281869,
0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.187219433952123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ji,0,1,0,1,0,0,0,2020_Jan_07_1123,fmri_ebs,3.2.1,60.0524678281869,
1,,,,,,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.989699291065335,None,space,0.37182247499004006,25.989699291065335,None,25.989699291065335,None,25.989699291065335,None,0.486506009940058,1.6001614748965949,26.656646479154006,None,26.656646479154006,None,/Users/alexreblando/Documents/GitHub/ebs/fMRI experiment/data/ji_fmri_ebs_wav/recall_audio-1578414211.658.wav,0.003578364849090576,None,space,0.8246533898636699,26.656646479154006,None,,,,,,,,,,,,,,,,ji,0,1,0,1,0,0,0,2020_Jan_07_1123,fmri_ebs,3.2.1,60.0524678281869,
1,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ji,0,1,0,1,0,0,0,2020_Jan_07_1123,fmri_ebs,3.2.1,60.0524678281869,
2,,,,,,,,,0,2,2,2,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.506409164052457,None,space,0.6228584069758654,27.506409164052457,None,27.506409164052457,None,27.506409164052457,None,2.2533999148290604,2.7840654850006104,28.22276488901116,None,28.22276488901116,None,/Users/alexreblando/Documents/GitHub/ebs/fMRI experiment/data/ji_fmri_ebs_wav/recall_audio-1578414212.224.wav,0.0005001379176974297,None,space,0.444618227891624,28.22276488901116,None,,,,,,,,,,,,,,,,ji,0,1,0,1,0,0,0,2020_Jan_07_1123,fmri_ebs,3.2.1,60.0524678281869,
2,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ji,0,1,0,1,0,0,0,2020_Jan_07_1123,fmri_ebs,3.2.1,60.0524678281869,
3,,,,,,,,,0,3,3,3,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.70629237103276,None,space,0.659043500199914,28.70629237103276,None,28.70629237103276,None,28.70629237103276,None,3.4873991468921304,4.000628084875643,29.455905839102343,None,29.455905839102343,None,/Users/alexreblando/Documents/GitHub/ebs/fMRI experiment/data/ji_fmri_ebs_wav/recall_audio-1578414213.457.wav,0.004127583000808954,None,space,0.4293194180354476,29.455905839102343,None,,,,,,,,,,,,,,,,ji,0,1,0,1,0,0,0,2020_Jan_07_1123,fmri_ebs,3.2.1,60.0524678281869,
3,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ji,0,1,0,1,0,0,0,2020_Jan_07_1123,fmri_ebs,3.2.1,60.0524678281869,
4,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ji,0,1,0,1,0,0,0,2020_Jan_07_1123,fmri_ebs,3.2.1,60.0524678281869,
5,,,,,,,,,0,5,5,5,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.9236994641833,None,space,0.4514446179382503,29.9236994641833,None,29.9236994641833,None,29.9236994641833,None,4.503651691833511,4.951039461884648,30.472806581063196,None,30.472806581063196,None,/Users/alexreblando/Documents/GitHub/ebs/fMRI experiment/data/ji_fmri_ebs_wav/recall_audio-1578414214.474.wav,0.009840070735663176,None,space,0.3624506469350308,30.472806581063196,None,,,,,,,,,,,,,,,,ji,0,1,0,1,0,0,0,2020_Jan_07_1123,fmri_ebs,3.2.1,60.0524678281869,
5,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ji,0,1,0,1,0,0,0,2020_Jan_07_1123,fmri_ebs,3.2.1,60.0524678281869,
6,,,,,,,,,0,6,6,6,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.873258345993236,None,space,0.7822206099517643,30.873258345993236,None,30.873258345993236,None,30.873258345993236,None,5.770234474912286,7.334143746877089,31.740989006124437,None,31.740989006124437,None,/Users/alexreblando/Documents/GitHub/ebs/fMRI experiment/data/ji_fmri_ebs_wav/recall_audio-1578414216.742.wav,0.012791372602805495,None,space,1.4729583531152457,31.740989006124437,None,,,,,,,,,,,,,,,,ji,0,1,0,1,0,0,0,2020_Jan_07_1123,fmri_ebs,3.2.1,60.0524678281869,
6,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ji,0,1,0,1,0,0,0,2020_Jan_07_1123,fmri_ebs,3.2.1,60.0524678281869,
7,,,,,,,,,0,7,7,7,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.27296822099015,None,space,0.40692364191636443,33.27296822099015,None,33.27296822099015,None,33.27296822099015,None,7.802594206994399,8.26762759196572,33.77318456908688,None,33.77318456908688,None,/Users/alexreblando/Documents/GitHub/ebs/fMRI experiment/data/ji_fmri_ebs_wav/recall_audio-1578414218.774.wav,0.008193898480385542,None,space,0.37790171313099563,33.77318456908688,None,,,,,,,,,,,,,,,,ji,0,1,0,1,0,0,0,2020_Jan_07_1123,fmri_ebs,3.2.1,60.0524678281869,
7,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ji,0,1,0,1,0,0,0,2020_Jan_07_1123,fmri_ebs,3.2.1,60.0524678281869,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.17301661404781,None,5,0.5847910500597209,35.17301661404781,None,,,,,,,,,,,,,,,,,,,,,,,,,34.17329199612141,None,,,,,,,,,,,,,,ji,0,1,0,1,0,0,0,2020_Jan_07_1123,fmri_ebs,3.2.1,60.0524678281869,
0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,15.072227593977004,35.82354002119973,None,space,0.3083168950397521,35.82354002119973,None,35.82354002119973,None,35.82354002119973,None,444,0.6991368068847805,,,,,,,,,,,,,,36.224017369095236,None,36.224017369095236,None,/Users/alexreblando/Documents/GitHub/ebs/fMRI experiment/data/ji_fmri_ebs_wav/recall_audio_2-1578414220.225.wav,0.010023248614743352,None,space,0.23897167202085257,36.224017369095236,None,,,ji,0,1,0,1,0,0,0,2020_Jan_07_1123,fmri_ebs,3.2.1,60.0524678281869,
0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ji,0,1,0,1,0,0,0,2020_Jan_07_1123,fmri_ebs,3.2.1,60.0524678281869,
1,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,36.50725714606233,None,space,0.30055206292308867,36.50725714606233,None,36.50725714606233,None,36.50725714606233,None,444,1.3829031449276954,,,,,,,,,,,,,,36.88971091620624,None,36.88971091620624,None,/Users/alexreblando/Documents/GitHub/ebs/fMRI experiment/data/ji_fmri_ebs_wav/recall_audio_2-1578414221.891.wav,0.004790998995304108,None,space,0.26439581997692585,36.88971091620624,None,,,ji,0,1,0,1,0,0,0,2020_Jan_07_1123,fmri_ebs,3.2.1,60.0524678281869,
1,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ji,0,1,0,1,0,0,0,2020_Jan_07_1123,fmri_ebs,3.2.1,60.0524678281869,
2,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ji,0,1,0,1,0,0,0,2020_Jan_07_1123,fmri_ebs,3.2.1,60.0524678281869,
3,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,37.373936659190804,None,space,0.18568557198159397,37.373936659190804,None,37.373936659190804,None,37.373936659190804,None,444,2.1685789129696786,,,,,,,,,,,,,,37.64022810407914,None,37.64022810407914,None,/Users/alexreblando/Documents/GitHub/ebs/fMRI experiment/data/ji_fmri_ebs_wav/recall_audio_2-1578414222.641.wav,0.015338154742494226,None,space,0.2875551348552108,37.64022810407914,None,,,ji,0,1,0,1,0,0,0,2020_Jan_07_1123,fmri_ebs,3.2.1,60.0524678281869,
3,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ji,0,1,0,1,0,0,0,2020_Jan_07_1123,fmri_ebs,3.2.1,60.0524678281869,
4,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,37.97812187415548,None,space,0.2966383649036288,37.97812187415548,None,37.97812187415548,None,37.97812187415548,None,444,2.8660309419501573,,,,,,,,,,,,,,38.356733966153115,None,38.356733966153115,None,/Users/alexreblando/Documents/GitHub/ebs/fMRI experiment/data/ji_fmri_ebs_wav/recall_audio_2-1578414222.358.wav,0.005880792858079076,None,space,0.28203342016786337,38.356733966153115,None,,,ji,0,1,0,1,0,0,0,2020_Jan_07_1123,fmri_ebs,3.2.1,60.0524678281869,
4,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ji,0,1,0,1,0,0,0,2020_Jan_07_1123,fmri_ebs,3.2.1,60.0524678281869,
5,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,38.6746908610221,None,space,0.33393595996312797,38.6746908610221,None,38.6746908610221,None,38.6746908610221,None,444,3.632744629867375,,,,,,,,,,,,,,39.08994420408271,None,39.08994420408271,None,/Users/alexreblando/Documents/GitHub/ebs/fMRI experiment/data/ji_fmri_ebs_wav/recall_audio_2-1578414223.091.wav,0.00738002173602581,None,space,0.30109623703174293,39.08994420408271,None,,,ji,0,1,0,1,0,0,0,2020_Jan_07_1123,fmri_ebs,3.2.1,60.0524678281869,
5,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ji,0,1,0,1,0,0,0,2020_Jan_07_1123,fmri_ebs,3.2.1,60.0524678281869,
6,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,39.4239242291078,None,space,0.36075664684176445,39.4239242291078,None,39.4239242291078,None,39.4239242291078,None,444,4.415686954976991,,,,,,,,,,,,,,39.85762145114131,None,39.85762145114131,None,/Users/alexreblando/Documents/GitHub/ebs/fMRI experiment/data/ji_fmri_ebs_wav/recall_audio_2-1578414224.859.wav,0.014825321966782212,None,space,0.31786567787639797,39.85762145114131,None,,,ji,0,1,0,1,0,0,0,2020_Jan_07_1123,fmri_ebs,3.2.1,60.0524678281869,
6,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ji,0,1,0,1,0,0,0,2020_Jan_07_1123,fmri_ebs,3.2.1,60.0524678281869,
7,,,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ji,0,1,0,1,0,0,0,2020_Jan_07_1123,fmri_ebs,3.2.1,60.0524678281869,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.20672717713751,None,ji,0,1,0,1,0,0,0,2020_Jan_07_1123,fmri_ebs,3.2.1,60.0524678281869,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.70679321908392,40.70679321908392,ji,0,1,0,1,0,0,0,2020_Jan_07_1123,fmri_ebs,3.2.1,60.0524678281869,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.20713088102639,41.20713088102639,ji,0,1,0,1,0,0,0,2020_Jan_07_1123,fmri_ebs,3.2.1,60.0524678281869,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.707389465067536,41.707389465067536,ji,0,1,0,1,0,0,0,2020_Jan_07_1123,fmri_ebs,3.2.1,60.0524678281869,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.20727535104379,42.20727535104379,ji,0,1,0,1,0,0,0,2020_Jan_07_1123,fmri_ebs,3.2.1,60.0524678281869,
