instructText,count,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,story_list_block1,action_list_block1,story_list_block2,action_list_block2,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_13.started,text_13.stopped,text_23.started,text_23.stopped,text_43.started,text_43.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.started,key_resp_11.stopped,text_44.started,text_44.stopped,image_10.started,image_10.stopped,text_22.started,text_22.stopped,recall,question1_answer,order of question,text_14.started,text_14.stopped,text_15.started,text_15.stopped,image_6.started,image_6.stopped,polygon_3.started,polygon_3.stopped,bottom_line_3.started,bottom_line_3.stopped,right_line_3.started,right_line_3.stopped,left_line_3.started,left_line_3.stopped,question2_answer,text_16.started,text_16.stopped,text_17.started,text_17.stopped,image_7.started,image_7.stopped,polygon_4.started,polygon_4.stopped,bottom_line_4.started,bottom_line_4.stopped,right_line_4.started,right_line_4.stopped,left_line_4.started,left_line_4.stopped,question3_answer,text_18.started,text_18.stopped,text_19.started,text_19.stopped,image_8.started,image_8.stopped,polygon_5.started,polygon_5.stopped,bottom_line_5.started,bottom_line_5.stopped,right_line_5.started,right_line_5.stopped,left_line_5.started,left_line_5.stopped,question4_answer,text_20.started,text_20.stopped,text_21.started,text_21.stopped,image_9.started,image_9.stopped,polygon_6.started,polygon_6.stopped,bottom_line_6.started,bottom_line_6.stopped,right_line_6.started,right_line_6.stopped,left_line_6.started,left_line_6.stopped,question5_answer,text_25.started,text_25.stopped,text_26.started,text_26.stopped,image_11.started,image_11.stopped,polygon_7.started,polygon_7.stopped,bottom_line_7.started,bottom_line_7.stopped,right_line_7.started,right_line_7.stopped,left_line_7.started,left_line_7.stopped,question6_answer,text_27.started,text_27.stopped,text_28.started,text_28.stopped,image_12.started,image_12.stopped,polygon_8.started,polygon_8.stopped,bottom_line_8.started,bottom_line_8.stopped,right_line_8.started,right_line_8.stopped,left_line_8.started,left_line_8.stopped,question7_answer,text_29.started,text_29.stopped,text_30.started,text_30.stopped,image_13.started,image_13.stopped,polygon_9.started,polygon_9.stopped,bottom_line_9.started,bottom_line_9.stopped,right_line_9.started,right_line_9.stopped,left_line_9.started,left_line_9.stopped,question8_answer,text_31.started,text_31.stopped,text_32.started,text_32.stopped,image_14.started,image_14.stopped,polygon_10.started,polygon_10.stopped,bottom_line_10.started,bottom_line_10.stopped,right_line_10.started,right_line_10.stopped,left_line_10.started,left_line_10.stopped,participant,sA,sB,lA,lB,block_struct,random_seed,date,expName,psychopyVersion,frameRate,
"In this last part of the experiment, please answer 8 questions about each story.",,0,0,0,0,,,,,,,,,[31 13 42 22 24 44 33 11],[2 1 2 3 1 4 4 3],[34 43 32 41 23 14 12 21],[4 4 2 2 1 1 3 3],space,0.35523092199582607,11.776460374996532,None,11.776460374996532,None,11.776460374996532,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,0,1,0,1,1,2,2020_Jan_29_1435,body_behavioural,3.2.1,59.99333881693387,
Some of the questions are not related to the perspective you were asked to assume.,,0,1,1,1,,,,,,,,,,,,,space,0.3065985299908789,12.193066795007326,None,12.193066795007326,None,12.193066795007326,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,0,1,0,1,1,2,2020_Jan_29_1435,body_behavioural,3.2.1,59.99333881693387,
"We realize that we did not tell you to think of these questions during the story, but please do your best to answer them.",,0,2,2,2,,,,,,,,,,,,,space,0.2743950220028637,12.57627033800236,None,12.57627033800236,None,12.57627033800236,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,0,1,0,1,1,2,2020_Jan_29_1435,body_behavioural,3.2.1,59.99333881693387,
"Please answer as much as you remember, and be specific and concrete in your answers. It is best to try to be as faithful as possible to what the story actually said.
",,0,3,3,3,,,,,,,,,,,,,space,0.32028649300627876,12.925404310008162,None,12.925404310008162,None,12.925404310008162,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,0,1,0,1,1,2,2020_Jan_29_1435,body_behavioural,3.2.1,59.99333881693387,
"When you have finished typing your answer, hit ‘return’ to submit your answer and move onto the next question. ",,0,4,4,4,,,,,,,,,,,,,space,0.33242400200106204,13.325448447998497,None,13.325448447998497,None,13.325448447998497,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,0,1,0,1,1,2,2020_Jan_29_1435,body_behavioural,3.2.1,59.99333881693387,
,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,13.708932752997498,None,space,0.5637366210139589,13.708932752997498,None,13.708932752997498,None,14.526510598007008,None,14.526510598007008,None,J,J,"[1, 2]",15.076805732998764,None,15.076805732998764,None,15.076805732998764,None,15.076805732998764,None,15.076805732998764,None,15.076805732998764,None,15.076805732998764,None,J,15.826691737995134,None,15.826691737995134,None,15.826691737995134,None,15.826691737995134,None,15.826691737995134,None,15.826691737995134,None,15.826691737995134,None,J,16.74245383500238,None,16.74245383500238,None,16.74245383500238,None,16.74245383500238,None,16.74245383500238,None,16.74245383500238,None,16.74245383500238,None,J,17.392898953999975,None,17.392898953999975,None,17.392898953999975,None,17.392898953999975,None,17.392898953999975,None,17.392898953999975,None,17.392898953999975,None,J,17.894599949999247,None,17.894599949999247,None,17.894599949999247,None,17.894599949999247,None,17.894599949999247,None,17.894599949999247,None,17.894599949999247,None,J,18.559522604002268,None,18.559522604002268,None,18.559522604002268,None,18.559522604002268,None,18.559522604002268,None,18.559522604002268,None,18.559522604002268,None,J,19.25921137300611,None,19.25921137300611,None,19.25921137300611,None,19.25921137300611,None,19.25921137300611,None,19.25921137300611,None,19.25921137300611,None,,,,,,,,,,,,,,,,k,0,1,0,1,1,2,2020_Jan_29_1435,body_behavioural,3.2.1,59.99333881693387,
,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,20.210772000005818,None,20.210772000005818,None,20.210772000005818,None,20.210772000005818,None,20.210772000005818,None,20.210772000005818,None,20.210772000005818,None,k,0,1,0,1,1,2,2020_Jan_29_1435,body_behavioural,3.2.1,59.99333881693387,
,1,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,20.943745480006328,None,space,0.6563271500053816,20.943745480006328,None,20.943745480006328,None,21.692942690002383,None,21.692942690002383,None,J,J,"[2, 1]",22.110274563005078,None,22.110274563005078,None,22.110274563005078,None,22.110274563005078,None,22.110274563005078,None,22.110274563005078,None,22.110274563005078,None,J,23.47729654800787,None,23.47729654800787,None,23.47729654800787,None,23.47729654800787,None,23.47729654800787,None,23.47729654800787,None,23.47729654800787,None,,24.042854945000727,None,24.042854945000727,None,24.042854945000727,None,24.042854945000727,None,24.042854945000727,None,24.042854945000727,None,24.042854945000727,None,J,24.843023559995345,None,24.843023559995345,None,24.843023559995345,None,24.843023559995345,None,24.843023559995345,None,24.843023559995345,None,24.843023559995345,None,J,25.759537934995024,None,25.759537934995024,None,25.759537934995024,None,25.759537934995024,None,25.759537934995024,None,25.759537934995024,None,25.759537934995024,None,J,25.92634882000857,None,25.92634882000857,None,25.92634882000857,None,25.92634882000857,None,25.92634882000857,None,25.92634882000857,None,25.92634882000857,None,J,26.41072012600489,None,26.41072012600489,None,26.41072012600489,None,26.41072012600489,None,26.41072012600489,None,26.41072012600489,None,26.41072012600489,None,,,,,,,,,,,,,,,,k,0,1,0,1,1,2,2020_Jan_29_1435,body_behavioural,3.2.1,59.99333881693387,
,1,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,26.810123838004074,None,26.810123838004074,None,26.810123838004074,None,26.810123838004074,None,26.810123838004074,None,26.810123838004074,None,26.810123838004074,None,k,0,1,0,1,1,2,2020_Jan_29_1435,body_behavioural,3.2.1,59.99333881693387,
,2,,,,,0,2,2,2,0,0,0,0,,,,,,,,,,,,,27.244068578002043,None,space,0.6216095949930605,27.244068578002043,None,27.244068578002043,None,27.943466587996227,None,27.943466587996227,None,F, ,"[1, 2]",28.37755859999743,None,28.37755859999743,None,28.37755859999743,None,28.37755859999743,None,28.37755859999743,None,28.37755859999743,None,28.37755859999743,None,Jf,29.19373948899738,None,29.19373948899738,None,29.19373948899738,None,29.19373948899738,None,29.19373948899738,None,29.19373948899738,None,29.19373948899738,None,F,29.84342905000085,None,29.84342905000085,None,29.84342905000085,None,29.84342905000085,None,29.84342905000085,None,29.84342905000085,None,29.84342905000085,None,F,30.259890458008158,None,30.259890458008158,None,30.259890458008158,None,30.259890458008158,None,30.259890458008158,None,30.259890458008158,None,30.259890458008158,None,F,30.626637774999836,None,30.626637774999836,None,30.626637774999836,None,30.626637774999836,None,30.626637774999836,None,30.626637774999836,None,30.626637774999836,None,F,30.926608231995488,None,30.926608231995488,None,30.926608231995488,None,30.926608231995488,None,30.926608231995488,None,30.926608231995488,None,30.926608231995488,None,F,31.260887851996813,None,31.260887851996813,None,31.260887851996813,None,31.260887851996813,None,31.260887851996813,None,31.260887851996813,None,31.260887851996813,None,,,,,,,,,,,,,,,,k,0,1,0,1,1,2,2020_Jan_29_1435,body_behavioural,3.2.1,59.99333881693387,
