instruct_text,this_pic,rolePic,job,instruct_text2,Q1,Q2,Q3,Q4,D1,D2,roleName,instructText,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,loop3.thisRepN,loop3.thisTrialN,loop3.thisN,loop3.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,key_resp_8.keys,key_resp_8.rt,key_resp_2.keys,key_resp_2.rt,key_resp_6.keys,key_resp_6.rt,key_resp_14.keys,key_resp_14.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_4.keys,key_resp_4.rt,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,participant,session,date,expName,psychopyVersion,frameRate,
Welcome to the Job Simulator Task!,instructions_photos/pixel.png,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,8.249442469999849,,,,,,,,,,,,,,,,,,,,,,,021119_P1,001,2019_Feb_11_1404,part1_subjective_segmentation,3.0.3,59.93207789750313,
"In this task, you’ll first be introduced to the perspectives of 8 different jobs. ",instructions_photos/i1.png,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,9.487074004999158,,,,,,,,,,,,,,,,,,,,,,,021119_P1,001,2019_Feb_11_1404,part1_subjective_segmentation,3.0.3,59.93207789750313,
You’ll then learn 4 questions associated with each perspective. ,instructions_photos/i2.png,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,9.320505064999452,,,,,,,,,,,,,,,,,,,,,,,021119_P1,001,2019_Feb_11_1404,part1_subjective_segmentation,3.0.3,59.93207789750313,
"Subsequently, you will be asked to apply those perspectives and questions to 8 stories.",instructions_photos/i3.png,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,6.90347243999895,,,,,,,,,,,,,,,,,,,,,,,021119_P1,001,2019_Feb_11_1404,part1_subjective_segmentation,3.0.3,59.93207789750313,
"For each story you read, you will be asked to assume one of the perspectives. ",instructions_photos/i3.png,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,4.553365372999906,,,,,,,,,,,,,,,,,,,,,,,021119_P1,001,2019_Feb_11_1404,part1_subjective_segmentation,3.0.3,59.93207789750313,
"While reading, try to remember the perspective and the questions of that perspective. ",instructions_photos/i3.png,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,5.053334827998697,,,,,,,,,,,,,,,,,,,,,,,021119_P1,001,2019_Feb_11_1404,part1_subjective_segmentation,3.0.3,59.93207789750313,
"After you’re finished reading all the stories, you will be asked to recall the stories and answer questions about them. ",instructions_photos/i4.png,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,9.68711914999949,,,,,,,,,,,,,,,,,,,,,,,021119_P1,001,2019_Feb_11_1404,part1_subjective_segmentation,3.0.3,59.93207789750313,
Let’s begin! The 8 perspectives are as follows:,None,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.436539485001049,,,,,,,,,,,,,,,,,,,,,,,021119_P1,001,2019_Feb_11_1404,part1_subjective_segmentation,3.0.3,59.93207789750313,
,,jobphotos/acem.jpg,Airport Customer Experience Manager,,,,,,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.7866768479998427,,,,,,,,,,,,,,,,,,,,,021119_P1,001,2019_Feb_11_1404,part1_subjective_segmentation,3.0.3,59.93207789750313,
,,jobphotos/dean.jpg,Dean of Academic Studies,,,,,,,,,,,,,,0,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.4174277479996817,,,,,,,,,,,,,,,,,,,,,021119_P1,001,2019_Feb_11_1404,part1_subjective_segmentation,3.0.3,59.93207789750313,
