count,storyText,locationEvent,socialEvent,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story_presses.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,,,,0,0,0,0,0,0,0,0,,,,,[44 14 33 32 41 22 23 11 43 31 21 13 42 12 24 34],"['Social' 'Location' 'Location' 'Social' 'Location' 'Location' 'Social'
 'Social' 'Location' 'Location' 'Social' 'Social' 'Social' 'Location'
 'Location' 'Social']",[43 31 21 13 42 12 24 34],"['Location' 'Location' 'Social' 'Social' 'Social' 'Location' 'Location'
 'Social']",space,31.807783965,space,1.5532393479998063,space,0.9863574050000352,,,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
0,"Leon and  Ariana hurried into the classroom at the same time, and Leon did a double-take when he saw her. ",1,1,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,9,10.687738528999944,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
0,"This was his first day after transferring to this university, and he had assumed that he wouldn’t know anyone on campus, but he couldn't shake the nagging feeling  that he had seen her somewhere before. ",1,1,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,1,5.91770841799962,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
0,"They were both a bit late, so they quickly slid into seats next to each other in the back of the small classroom.",1,1,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,1,3.2032316649997483,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
0,"This room was usually used for small meetings, but had been rearranged with the table pushed to the side and chairs set up in rows to face the projector screen. ",1,1,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,1,15.070782367999982,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
0,"There were no windows in the room, since they were down in the sub-basement of the history department.",1,1,0,0,0,0,,,,,0,4,4,4,,,,,,,,,,,1,2.4861435729999357,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
0,"Leon, trying to figure out where he had seen her before, could not stop looking over at Ariana.",1,1,0,0,0,0,,,,,0,5,5,5,,,,,,,,,,,9,4.920127659999707,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
0,Ariana was oblivious to Leon’s gaze and was only focused on getting ready for class. ,1,1,0,0,0,0,,,,,0,6,6,6,,,,,,,,,,,1,2.252977650000048,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
0,"“Good afternoon class,” the professor began.",2,1,0,0,0,0,,,,,0,7,7,7,,,,,,,,,,,9,1.353054494999924,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
0,“Welcome to Egyptian Cultural Studies. ,2,1,0,0,0,0,,,,,0,8,8,8,,,,,,,,,,,1,4.3008873829999175,022619_p1,001,2019_Feb_26_1020,body_behavioural,3.0.4,59.94251979903637,
