count,storyText,locationEvent,socialEvent,story,locationEventSize,socialEventSize,socialAnswer,locationAnswer,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story_presses.rt,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,recall,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,questions time,key_resp_13.keys,key_resp_13.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,[23 41 21 43 32 34 12 14 13 11 22 42 24 33 44 31],"['Location' 'Location' 'Social' 'Social' 'Location' 'Social' 'Social'
 'Location' 'Social' 'Location' 'Location' 'Social' 'Social' 'Location'
 'Location' 'Social']",[13 11 22 42 24 33 44 31],"['Social' 'Location' 'Location' 'Social' 'Social' 'Location' 'Location'
 'Social']",space,14.556695937004406,space,3.4862588550022338,space,3.1027612920006504,,,,,,,,,,,,,,,,,,,,,,,050119_p1,001,2019_May_01_1231,body_behavioural_mayedit,3.0.4,59.95978137723138,
0,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.9362714549934026,,,,,,,,,,,,,,,,,,,,,,,050119_p1,001,2019_May_01_1231,body_behavioural_mayedit,3.0.4,59.95978137723138,
0,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,space,2.4698888499988243,,,,,,,,,,,,,,,,,,,,,,,050119_p1,001,2019_May_01_1231,body_behavioural_mayedit,3.0.4,59.95978137723138,
0,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,space,2.1197802100068657,,,,,,,,,,,,,,,,,,,,,,,050119_p1,001,2019_May_01_1231,body_behavioural_mayedit,3.0.4,59.95978137723138,
0,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.6028864450054243,,,,,,,,,,,,,,,,,,,,,,,050119_p1,001,2019_May_01_1231,body_behavioural_mayedit,3.0.4,59.95978137723138,
0,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.7696569450054085,,,,,,,,,,,,,,,,,,,,,,,050119_p1,001,2019_May_01_1231,body_behavioural_mayedit,3.0.4,59.95978137723138,
0,"Alex was a distracted, sweaty mess as he walked into the grocery store with Chloe; he was hoping that she wouldn't suspect that he was about to propose.",1.0,1.0,23.0,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,9,22.65546918999462,,,,,,,,,,,,,,,,,,,,,050119_p1,001,2019_May_01_1231,body_behavioural_mayedit,3.0.4,59.95978137723138,
0,The grocery store was brightly lit with singing pouring in through glass walls at the front of the store.,1.0,1.0,None,,,,,,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,6.352977825008566,,,,,,,,,,,,,,,,,,,,,050119_p1,001,2019_May_01_1231,body_behavioural_mayedit,3.0.4,59.95978137723138,
0,Also at the front of the store were large posters advertising thanksgiving promotions.,1.0,1.0,None,,,,,,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,9,5.786823817994446,,,,,,,,,,,,,,,,,,,,,050119_p1,001,2019_May_01_1231,body_behavioural_mayedit,3.0.4,59.95978137723138,
0,"The atmosphere was also buzzing because tomorrow was Thanksgiving, and most shoppers had carts piled high with turkey, stuffing, and pies.",1.0,1.0,None,,,,,,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,1,3.5857961360015906,,,,,,,,,,,,,,,,,,,,,050119_p1,001,2019_May_01_1231,body_behavioural_mayedit,3.0.4,59.95978137723138,
