instruct_text,rolePic,job,Q1,Q2,Q3,Q4,D1,D2,roleName,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,trials_11.thisRepN,trials_11.thisTrialN,trials_11.thisN,trials_11.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_12.thisRepN,trials_12.thisTrialN,trials_12.thisN,trials_12.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_9.keys,key_resp_9.rt,key_resp_8.keys,key_resp_8.rt,key_resp_15.keys,key_resp_15.rt,key_resp_16.keys,key_resp_16.rt,key_resp_17.keys,key_resp_17.rt,key_resp_2.keys,key_resp_2.rt,key_resp_14.keys,key_resp_14.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_4.keys,key_resp_4.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.434002449000218,,,,,,,,,,,,,,,,,,,,,,,061919_p1,001,2019_Jun_19_1710,part1_subjective_segmentation,3.0.4,59.9414900325823,
"In this experiment, you will be assuming the perspectives of various jobs while reading short stories.",,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,6.120832901999165,,,,,,,,,,,,,,,,,,,,,061919_p1,001,2019_Jun_19_1710,part1_subjective_segmentation,3.0.4,59.9414900325823,
There are 4 parts of the experiment. ,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.3508177519997844,,,,,,,,,,,,,,,,,,,,,061919_p1,001,2019_Jun_19_1710,part1_subjective_segmentation,3.0.4,59.9414900325823,
1,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.402699262999704,,,,,,,,,,,,,,,,,,,,,061919_p1,001,2019_Jun_19_1710,part1_subjective_segmentation,3.0.4,59.9414900325823,
"In the first part, you'll be introduced to the perspectives of 8 different jobs.",,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,4.503273581999565,,,,,,,,,,,,,,,,,,,,,061919_p1,001,2019_Jun_19_1710,part1_subjective_segmentation,3.0.4,59.9414900325823,
"For each short story, you'll be assigned one of these perspectives to assume while you read it. ",,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,5.41766420499971,,,,,,,,,,,,,,,,,,,,,061919_p1,001,2019_Jun_19_1710,part1_subjective_segmentation,3.0.4,59.9414900325823,
"In this first part of the experiment, you'll learn 4 questions associated with each perspective that you'll use when reading the stories with that particular perspective. ",,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,11.404030826999588,,,,,,,,,,,,,,,,,,,,,061919_p1,001,2019_Jun_19_1710,part1_subjective_segmentation,3.0.4,59.9414900325823,
The 4 questions for each perspective are learned with quizzes. ,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,6.935942597000576,,,,,,,,,,,,,,,,,,,,,061919_p1,001,2019_Jun_19_1710,part1_subjective_segmentation,3.0.4,59.9414900325823,
2,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,19.770200221000778,,,,,,,,,,,,,,,,,,,,,061919_p1,001,2019_Jun_19_1710,part1_subjective_segmentation,3.0.4,59.9414900325823,
"In the second part of the experiment, you will read 8 short stories. ",,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.5036282149994804,,,,,,,,,,,,,,,,,,,,,061919_p1,001,2019_Jun_19_1710,part1_subjective_segmentation,3.0.4,59.9414900325823,
