count,storyText,locationEvent,socialEvent,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story_presses.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,,,,0,0,0,0,0,0,0,0,,,,,[22 33 32 44 41 11 23 14 13 43 21 42 31 24 12 34],"['Social' 'Social' 'Location' 'Location' 'Social' 'Location' 'Location'
 'Social' 'Social' 'Location' 'Social' 'Social' 'Location' 'Location'
 'Location' 'Social']",[13 43 21 42 31 24 12 34],"['Social' 'Location' 'Social' 'Social' 'Location' 'Location' 'Location'
 'Social']",space,1.1218398949999937,space,0.3178540079999266,space,0.40320200500002557,,,111,001,2019_Feb_25_1630,body_behavioural,3.0.4,60.030673873445785,
0,"Sven and Isabel walked hurriedly from the cab into the Barcelona Airport after an incredible weekend with Isabel’s family, which had wiped away any doubts Sven had had about his decision to propose. ",1,1,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,1,1.117600580000044,111,001,2019_Feb_25_1630,body_behavioural,3.0.4,60.030673873445785,
0,"They were a little pressed for time, with only a little over an hour until their flight would take off to go back to the US, but they already had their online boarding passes and no checked luggage. ",1,1,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,9,0.05300921000002745,111,001,2019_Feb_25_1630,body_behavioural,3.0.4,60.030673873445785,
0,"When Isabel stopped to rummage through her purse looking for her phone, Sven turned his back to her and took the velvet box out of his backpack, opening it to look at the ring he bought her.",1,2,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,1,0.07032943499996236,111,001,2019_Feb_25_1630,body_behavioural,3.0.4,60.030673873445785,
0,"He had received her parents’ blessing during the trip, and he was almost giddy with excitement. ",1,2,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,9,0.03670138500001485,111,001,2019_Feb_25_1630,body_behavioural,3.0.4,60.030673873445785,
0,"He tilted the ring backward and forward, despite having already studied it daily since he had purchased it a few weeks ago. ",1,2,0,0,0,0,,,,,0,4,4,4,,,,,,,,,,,1,0.05289846700009093,111,001,2019_Feb_25_1630,body_behavioural,3.0.4,60.030673873445785,
0,"It was a simple design, with a clear, white diamond on a thin silver band.",1,2,0,0,0,0,,,,,0,5,5,5,,,,,,,,,,,9,0.0540418900000077,111,001,2019_Feb_25_1630,body_behavioural,3.0.4,60.030673873445785,
0,"“Sven, let’s go! ” Isabel said. ",1,2,0,0,0,0,,,,,0,6,6,6,,,,,,,,,,,1,0.0877602550000347,111,001,2019_Feb_25_1630,body_behavioural,3.0.4,60.030673873445785,
0,Sven discretely closed the box and put it in his pocket.,1,2,0,0,0,0,,,,,0,7,7,7,,,,,,,,,,,9,0.0032048869999243834,111,001,2019_Feb_25_1630,body_behavioural,3.0.4,60.030673873445785,
0," They entered the security line, weaving through the roped walkways to the front. ",2,2,0,0,0,0,,,,,0,8,8,8,,,,,,,,,,,1,0.053002109999965796,111,001,2019_Feb_25_1630,body_behavioural,3.0.4,60.030673873445785,
0,"When they were up, Isabel realized her laptop was buried somewhere in her duffle bag. ",2,2,0,0,0,0,,,,,0,9,9,9,,,,,,,,,,,9,0.05371025499994175,111,001,2019_Feb_25_1630,body_behavioural,3.0.4,60.030673873445785,
0,Sven had to hold the growing mound of objects she pulled from her bag until she unearthed the laptop.,2,2,0,0,0,0,,,,,0,10,10,10,,,,,,,,,,,1,0.15274295000006077,111,001,2019_Feb_25_1630,body_behavioural,3.0.4,60.030673873445785,
0,She set it into a bin and then had to unstrap her leather boots and put everything else into the bins.,2,2,0,0,0,0,,,,,0,11,11,11,,,,,,,,,,,9,0.05066001500006223,111,001,2019_Feb_25_1630,body_behavioural,3.0.4,60.030673873445785,
0,"Finally, she relieved Sven of his holding duties, and he hurriedly deposited his own backpack on the belt as the people behind them glared without shame. ",2,2,0,0,0,0,,,,,0,12,12,12,,,,,,,,,,,1,0.053103809999925033,111,001,2019_Feb_25_1630,body_behavioural,3.0.4,60.030673873445785,
0,"Sven went into the millimeter wave scanner after Isabel, put his hands up, and the metal bars whirled around him.",2,2,0,0,0,0,,,,,0,13,13,13,,,,,,,,,,,9,0.03674888800003373,111,001,2019_Feb_25_1630,body_behavioural,3.0.4,60.030673873445785,
0,"“Sir, please step to the side.",2,2,0,0,0,0,,,,,0,14,14,14,,,,,,,,,,,1,0.06942449199993916,111,001,2019_Feb_25_1630,body_behavioural,3.0.4,60.030673873445785,
0,"You need to empty your pockets,” the security guard said.",2,2,0,0,0,0,,,,,0,15,15,15,,,,,,,,,,,9,0.03659972800005562,111,001,2019_Feb_25_1630,body_behavioural,3.0.4,60.030673873445785,
0,"With a sinking feeling Sven realized the mistake he had made forgetting to put the ring back in his bag, as Isabel and the guard both looked at him expectantly.",2,2,0,0,0,0,,,,,0,16,16,16,,,,,,,,,,,1,0.053223389999971005,111,001,2019_Feb_25_1630,body_behavioural,3.0.4,60.030673873445785,
0,"Sven,  deciding he would make the best of the situation, grabbed Isabel's hand as he reached into his pocket.",2,2,0,0,0,0,,,,,0,17,17,17,,,,,,,,,,,1,0.11992924200001198,111,001,2019_Feb_25_1630,body_behavioural,3.0.4,60.030673873445785,
0,"He got down on one knee and, giggling slightly at her confused look, said, “Isabel, this isn't quite how I'd planned this, but - will you marry me?”",2,3,0,0,0,0,,,,,0,18,18,18,,,,,,,,,,,1,0.08655214500004149,111,001,2019_Feb_25_1630,body_behavioural,3.0.4,60.030673873445785,
0,The security guard gasped.,2,3,0,0,0,0,,,,,0,19,19,19,,,,,,,,,,,1,0.1192542249999633,111,001,2019_Feb_25_1630,body_behavioural,3.0.4,60.030673873445785,
0,All the people who were putting their shoes back on and gathering their belongings stopped what they were doing and walked closer to the couple.,2,3,0,0,0,0,,,,,0,20,20,20,,,,,,,,,,,9,0.1360041650000312,111,001,2019_Feb_25_1630,body_behavioural,3.0.4,60.030673873445785,
0,"Isabel was astonished, and far too shy to respond in front of the backup of passengers waiting behind them.",2,3,0,0,0,0,,,,,0,21,21,21,,,,,,,,,,,1,0.0865454199999931,111,001,2019_Feb_25_1630,body_behavioural,3.0.4,60.030673873445785,
0,"She attempted to stammer a response as she frantically grabbed her and Sven’s shoes, leaving Sven to retrieve their bags.",2,3,0,0,0,0,,,,,0,22,22,22,,,,,,,,,,,1,0.08819417499989868,111,001,2019_Feb_25_1630,body_behavioural,3.0.4,60.030673873445785,
0,"Both of them slipping in their socked feet, she fled onto the concourse with Sven trying to catch up behind her.",3,3,0,0,0,0,,,,,0,23,23,23,,,,,,,,,,,1,0.08849787199994807,111,001,2019_Feb_25_1630,body_behavioural,3.0.4,60.030673873445785,
0,"Everyone in the terminal was looking at them with confusion as Sven, holding the bags in one hand and the open ring box in the other, finally caught up to her.",3,3,0,0,0,0,,,,,0,24,24,24,,,,,,,,,,,9,0.07148279500006538,111,001,2019_Feb_25_1630,body_behavioural,3.0.4,60.030673873445785,
0,“Isabel?”,3,3,0,0,0,0,,,,,0,25,25,25,,,,,,,,,,,1,0.10509197299995776,111,001,2019_Feb_25_1630,body_behavioural,3.0.4,60.030673873445785,
0,"He watched her face as she turned, trying to read her expression.",3,3,0,0,0,0,,,,,0,26,26,26,,,,,,,,,,,9,0.08789302200000293,111,001,2019_Feb_25_1630,body_behavioural,3.0.4,60.030673873445785,
0,"Her eyes were wide, but she was smiling as she hyperventilated, “Of course yes, Sven, yes!” ",3,4,0,0,0,0,,,,,0,27,27,27,,,,,,,,,,,9,0.06981648199996471,111,001,2019_Feb_25_1630,body_behavioural,3.0.4,60.030673873445785,
0,"They dropped their belongings and hugged, and Sven slipped the ring onto Isabel’s finger. ",3,4,0,0,0,0,,,,,0,28,28,28,,,,,,,,,,,1,0.10540167499993913,111,001,2019_Feb_25_1630,body_behavioural,3.0.4,60.030673873445785,
0,"After getting their shoes back on, they practically skipped to the gate, filled with joy.",3,4,0,0,0,0,,,,,0,29,29,29,,,,,,,,,,,1,0.0865828150000425,111,001,2019_Feb_25_1630,body_behavioural,3.0.4,60.030673873445785,
0,Sven high-fived a confused shoe-shine attendant as they passed.,3,4,0,0,0,0,,,,,0,30,30,30,,,,,,,,,,,1,0.10323636800001168,111,001,2019_Feb_25_1630,body_behavioural,3.0.4,60.030673873445785,
0,"They sat down outside their gate, having actually made good time, until the attendant called for passengers.",3,4,0,0,0,0,,,,,0,31,31,31,,,,,,,,,,,9,0.13405258700004197,111,001,2019_Feb_25_1630,body_behavioural,3.0.4,60.030673873445785,
0,"They boarded, sitting together in first class, and had a glass of champagne to celebrate the departure into their new life together.",4,4,0,0,0,0,,,,,0,32,32,32,,,,,,,,,,,1,0.0864500399999315,111,001,2019_Feb_25_1630,body_behavioural,3.0.4,60.030673873445785,
0,"Some of their neighboring passengers who had witnessed the proposal congratulated them, and a woman next to them showed them that she had been live-tweeting the whole event and that it was already going viral online.",4,4,0,0,0,0,,,,,0,33,33,33,,,,,,,,,,,1,0.15262566199999128,111,001,2019_Feb_25_1630,body_behavioural,3.0.4,60.030673873445785,
0,"Isabel slid down in her seat with her hands over her face, both embarrassed and overjoyed at the same time.
",4,4,0,0,0,0,,,,,0,34,34,34,,,,,,,,,,,1,0.10284696499991242,111,001,2019_Feb_25_1630,body_behavioural,3.0.4,60.030673873445785,
0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,111,001,2019_Feb_25_1630,body_behavioural,3.0.4,60.030673873445785,
1,,,,0,1,1,1,0,0,0,0,,,,,,,,,space,0.7191881670000839,space,0.4029427799999894,space,0.5340226299999813,,,111,001,2019_Feb_25_1630,body_behavioural,3.0.4,60.030673873445785,
1,"Ms. Bianchi and Ms. Morrison walked into the grocery store at the same time, and, after a moment of mutual recognition, greeted each other and shook hands.",1,1,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,1,1.8198454050000237,111,001,2019_Feb_25_1630,body_behavioural,3.0.4,60.030673873445785,
1,"“Thank you again for inviting me here to discuss my business proposal,” said Ms. Bianchi, “And it’s a pleasure to be out of the office.” ",1,1,0,1,1,1,,,,,0,1,1,1,,,,,,,,,,,9,0.03628373300000476,111,001,2019_Feb_25_1630,body_behavioural,3.0.4,60.030673873445785,
1,"As a salesperson for an Italian cheese company that was trying to expand its outreach to more mainstream grocery stores, this meeting could be a big break for her.",1,1,0,1,1,1,,,,,0,2,2,2,,,,,,,,,,,9,0.10298119300000508,111,001,2019_Feb_25_1630,body_behavioural,3.0.4,60.030673873445785,
1,"Her sales target, Ms. Morrison,  who had a reputation for being a bit quirky, was a corporate buyer for a large chain grocery store. ",1,1,0,1,1,1,,,,,0,3,3,3,,,,,,,,,,,1,0.003843033000066498,111,001,2019_Feb_25_1630,body_behavioural,3.0.4,60.030673873445785,
1,"She was known for doing things unconventionally: for example, she said that she liked to make deals with suppliers in the place where the products were sold- “to keep their minds focused on what’s important.” ",1,1,0,1,1,1,,,,,0,4,4,4,,,,,,,,,,,9,0.20291933500004689,111,001,2019_Feb_25_1630,body_behavioural,3.0.4,60.030673873445785,
