count,storyText,locationEvent,socialEvent,story,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,key_resp_15.keys,key_resp_15.rt,key_resp_14.keys,key_resp_14.rt,story_presses.keys,story_presses.rt,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,[43 31 21 32 14 44 13 22 42 23 12 33 34 41 11 24],"['Location' 'Social' 'Location' 'Location' 'Location' 'Social' 'Social'
 'Social' 'Location' 'Social' 'Social' 'Location' 'Social' 'Social'
 'Location' 'Location']",[42 23 12 33 34 41 11 24],"['Location' 'Social' 'Social' 'Location' 'Social' 'Social' 'Location'
 'Location']",space,0.6724671000010858,space,0.3524742180015892,space,0.5671267399993667,,,,,,,,,,,,,,1,001,2019_Aug_22_1248,body_behavioural,3.0.4,60.059801063457755,
0,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,space,0.6361938049994933,,,,,,,,,,,,,,1,001,2019_Aug_22_1248,body_behavioural,3.0.4,60.059801063457755,
0,"Carina and Simon, both distracted in thought, nearly ran into each other as they walked into the grocery store. ",1,1,43.0,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,space,0.7193932000009227,space,3.503627988000517,1,1.9534113400004571,,,,,,,,1,001,2019_Aug_22_1248,body_behavioural,3.0.4,60.059801063457755,
0,She almost dropped the keys she was holding. ,1,1,None,,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,0.9694265449998056,,,,,,,,1,001,2019_Aug_22_1248,body_behavioural,3.0.4,60.059801063457755,
0,"The store they had entered looked like a warehouse, with high, black ceilings, industrial lights, and large packages of food. ",1,1,None,,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,1,0.4359821079997346,,,,,,,,1,001,2019_Aug_22_1248,body_behavioural,3.0.4,60.059801063457755,
0,"In the meat section, Carina and Simon were looking over the same cuts of meat, because they were both preparing for barbecues.",2,1,None,,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,1,0.9525977399989642,,,,,,,,1,001,2019_Aug_22_1248,body_behavioural,3.0.4,60.059801063457755,
0,"Simon had wanted to talk to Carina, and Carina had wanted to say something to Simon, but they felt embarrassed striking up a conversation with a stranger.",2,1,None,,0,0,0,0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,1,0.319633810000596,,,,,,,,1,001,2019_Aug_22_1248,body_behavioural,3.0.4,60.059801063457755,
0,"Carina mustered the courage, turned to Simon and, pointing at a Cornish hen, asked, “Isn’t this meat cute?”",2,2,None,,0,0,0,0,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,9,5.803380555000331,,,,,,,,1,001,2019_Aug_22_1248,body_behavioural,3.0.4,60.059801063457755,
0,"He laughed, and said, “It is very cute.",2,2,None,,0,0,0,0,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,9,0.1364193930003239,,,,,,,,1,001,2019_Aug_22_1248,body_behavioural,3.0.4,60.059801063457755,
0,"Probably the younger brother of this guy,” and he picked up a regular-sized chicken.",2,2,None,,0,0,0,0,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,9,0.08580069500021636,,,,,,,,1,001,2019_Aug_22_1248,body_behavioural,3.0.4,60.059801063457755,
0,"“Unlucky family,” she responded as she shook her head. ",2,2,None,,0,0,0,0,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,9,0.10296524800105544,,,,,,,,1,001,2019_Aug_22_1248,body_behavioural,3.0.4,60.059801063457755,
0,They chatted as they picked out a few last-minute groceries.,2,2,None,,0,0,0,0,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,9,0.2701825780004583,,,,,,,,1,001,2019_Aug_22_1248,body_behavioural,3.0.4,60.059801063457755,
0,"Simon helped Carina select the best ribs and his personal favorite barbecue sauce, and she helped him choose red peppers and spices for a vegetable kabob she recommended.",2,2,None,,0,0,0,0,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,9,0.06966009999996459,,,,,,,,1,001,2019_Aug_22_1248,body_behavioural,3.0.4,60.059801063457755,
0,"In the checkout area, there were three lines open, and they went to the one labeled “8.”",3,2,None,,0,0,0,0,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,9,0.08691570500013768,,,,,,,,1,001,2019_Aug_22_1248,body_behavioural,3.0.4,60.059801063457755,
0,"Carina and Simon made jokes about the magazine covers while waiting in line, and they were laughing so hard their stomachs hurt. ",3,2,None,,0,0,0,0,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,9,0.08667683499879786,,,,,,,,1,001,2019_Aug_22_1248,body_behavioural,3.0.4,60.059801063457755,
0,"Simon turned to face Carina and, while looking at her straight in the eyes, asked, “Would you like to go out to dinner with me?",3,3,None,,0,0,0,0,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,9,0.08655637700030638,,,,,,,,1,001,2019_Aug_22_1248,body_behavioural,3.0.4,60.059801063457755,
0,Next Saturday we could tour around Harvard Square and get something to eat.,3,3,None,,0,0,0,0,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,9,0.11988766299873532,,,,,,,,1,001,2019_Aug_22_1248,body_behavioural,3.0.4,60.059801063457755,
0,"There are a lot of great places around there, and it’s really nice during the summer.”",3,3,None,,0,0,0,0,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,9,0.10335787500116567,,,,,,,,1,001,2019_Aug_22_1248,body_behavioural,3.0.4,60.059801063457755,
0,"Carina smiled, “I’d love to.",3,3,None,,0,0,0,0,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,9,0.28706130199861946,,,,,,,,1,001,2019_Aug_22_1248,body_behavioural,3.0.4,60.059801063457755,
0,That sounds great!”,3,3,None,,0,0,0,0,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,9,0.1365873550003016,,,,,,,,1,001,2019_Aug_22_1248,body_behavioural,3.0.4,60.059801063457755,
0,The cashier scanned Carina’s groceries.,4,3,None,,0,0,0,0,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,9,0.15391733199976443,,,,,,,,1,001,2019_Aug_22_1248,body_behavioural,3.0.4,60.059801063457755,
0,"Simon lifted up the divider on the conveyor belt and said to the cashier, “Actually, these are together.",4,3,None,,0,0,0,0,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,9,0.11984754000150133,,,,,,,,1,001,2019_Aug_22_1248,body_behavioural,3.0.4,60.059801063457755,
0,"Carina, I’ve got it.",4,3,None,,0,0,0,0,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,9,0.11987139000120806,,,,,,,,1,001,2019_Aug_22_1248,body_behavioural,3.0.4,60.059801063457755,
0,This was kind-of a date today.”,4,3,None,,0,0,0,0,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,9,0.13593276299980062,,,,,,,,1,001,2019_Aug_22_1248,body_behavioural,3.0.4,60.059801063457755,
0,Carina blushed and laughed; she thought this was ridiculous but also very sweet. ,4,3,None,,0,0,0,0,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,9,0.13653457300097216,,,,,,,,1,001,2019_Aug_22_1248,body_behavioural,3.0.4,60.059801063457755,
0,"The cashier rolled her eyes when they weren’t looking, and she scanned the rest of his items. ",4,3,None,,0,0,0,0,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,9,0.33654688999922655,,,,,,,,1,001,2019_Aug_22_1248,body_behavioural,3.0.4,60.059801063457755,
0,"The total came to $52, and he paid with his credit card.",4,3,None,,0,0,0,0,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,9,0.12006064800152672,,,,,,,,1,001,2019_Aug_22_1248,body_behavioural,3.0.4,60.059801063457755,
0,"Seeing that it was 4:30 PM on her phone, Carina gasped because she realized she was late for her own barbecue. ",4,4,None,,0,0,0,0,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,9,0.18620249800005695,,,,,,,,1,001,2019_Aug_22_1248,body_behavioural,3.0.4,60.059801063457755,
0,Carina thanked Simon and took her groceries and ran. ,4,4,None,,0,0,0,0,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,,9,0.7353784349998023,,,,,,,,1,001,2019_Aug_22_1248,body_behavioural,3.0.4,60.059801063457755,
0,"“I hope her guests aren’t hungry,” the cashier remarked.",4,4,None,,0,0,0,0,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,,9,0.3524332899996807,,,,,,,,1,001,2019_Aug_22_1248,body_behavioural,3.0.4,60.059801063457755,
0,Simon was thoroughly charmed and barely heard the comment as he watched her go. ,4,4,None,,0,0,0,0,,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,,,,,9,0.3030118099995889,,,,,,,,1,001,2019_Aug_22_1248,body_behavioural,3.0.4,60.059801063457755,
0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Aug_22_1248,body_behavioural,3.0.4,60.059801063457755,
1,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,space,3.1533889199999976,space,0.5863822699993761,space,0.5514133950000542,,,,,,,,,,,,,,1,001,2019_Aug_22_1248,body_behavioural,3.0.4,60.059801063457755,
1,Mr. Shelton and Mr. Gordon shook hands inside the waiting area of the restaurant: lunch today was about big business. ,1,1,31.0,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,space,0.6525551869999617,space,0.8358345579999877,1,3.1870757270007744,,,,,,,,1,001,2019_Aug_22_1248,body_behavioural,3.0.4,60.059801063457755,
1,They were both in the airplane manufacturing industry.,1,1,None,,0,1,1,1,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,0.2858616670000629,,,,,,,,1,001,2019_Aug_22_1248,body_behavioural,3.0.4,60.059801063457755,
1,"Mr. Shelton was the CFO of a larger, well-established company and had been in the aviation business for decades.",1,1,None,,0,1,1,1,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,1,0.1030702449988894,,,,,,,,1,001,2019_Aug_22_1248,body_behavioural,3.0.4,60.059801063457755,
1,Mr. Gordon was the CEO of a smaller but technologically-advanced company that was projected to disrupt the airplane manufacturing market. ,1,1,None,,0,1,1,1,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,1,0.08622473300056299,,,,,,,,1,001,2019_Aug_22_1248,body_behavioural,3.0.4,60.059801063457755,
1,"They chose to meet at an old steakhouse with dark wood paneling on the floor and ceilings, taxidermy animals on the walls, and a candelabra on every table.",1,1,None,,0,1,1,1,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,1,0.0702567349999299,,,,,,,,1,001,2019_Aug_22_1248,body_behavioural,3.0.4,60.059801063457755,
1,The waitress seated them at their table in the back. ,2,1,None,,0,1,1,1,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,1,0.10307591499986302,,,,,,,,1,001,2019_Aug_22_1248,body_behavioural,3.0.4,60.059801063457755,
1,"She brought out the menus, and they briefly chatted about personal happenings. ",2,1,None,,0,1,1,1,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,1,0.1030451799997536,,,,,,,,1,001,2019_Aug_22_1248,body_behavioural,3.0.4,60.059801063457755,
1,"Mr. Gordon took out a picture of his daughter and talked about her recent engagement, and Mr. Gordon mentioned his purchase of a Tesla. ",2,1,None,,0,1,1,1,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,1,0.06918951499937975,,,,,,,,1,001,2019_Aug_22_1248,body_behavioural,3.0.4,60.059801063457755,
1,They also looked over the menus which were heavy and covered in felt.,2,1,None,,0,1,1,1,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,1,0.11968098000033933,,,,,,,,1,001,2019_Aug_22_1248,body_behavioural,3.0.4,60.059801063457755,
1,Flipping to the back of the menu brought one to a lengthy drink selection.,2,1,None,,0,1,1,1,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,1,0.08615287800057558,,,,,,,,1,001,2019_Aug_22_1248,body_behavioural,3.0.4,60.059801063457755,
1,Mr. Shelton got serious and brought the conversation around to business.,2,2,None,,0,1,1,1,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,1,0.13346729199838592,,,,,,,,1,001,2019_Aug_22_1248,body_behavioural,3.0.4,60.059801063457755,
1,"“Mr. Gordon, we really admire what you’re doing at your company.",2,2,None,,0,1,1,1,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,1,0.10106291500051157,,,,,,,,1,001,2019_Aug_22_1248,body_behavioural,3.0.4,60.059801063457755,
1,We think it’s genius; we want to support your vision and make this tiny company of yours internationally known.,2,2,None,,0,1,1,1,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,1,0.08616879700093705,,,,,,,,1,001,2019_Aug_22_1248,body_behavioural,3.0.4,60.059801063457755,
1,"But honestly, your company doesn’t have the resources to reach international markets right now.",2,2,None,,0,1,1,1,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,1,0.10312012299982598,,,,,,,,1,001,2019_Aug_22_1248,body_behavioural,3.0.4,60.059801063457755,
1,"Maybe in a few years you could, but by that time, other companies may have already filled your niche.",2,2,None,,0,1,1,1,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,1,0.2864152450001711,,,,,,,,1,001,2019_Aug_22_1248,body_behavioural,3.0.4,60.059801063457755,
1,I think we should join forces.”,2,2,None,,0,1,1,1,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,1,0.11978645799899823,,,,,,,,1,001,2019_Aug_22_1248,body_behavioural,3.0.4,60.059801063457755,
1,The waitress arrived and asked if they were ready to order.,3,2,None,,0,1,1,1,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,1,0.15247281000119983,,,,,,,,1,001,2019_Aug_22_1248,body_behavioural,3.0.4,60.059801063457755,
1,"Mr. Gordon chose the medium-rare steak and a martini, and Mr. Shelton ordered the veal and a manhattan. ",3,2,None,,0,1,1,1,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,1,0.11921260499912023,,,,,,,,1,001,2019_Aug_22_1248,body_behavioural,3.0.4,60.059801063457755,
1,"Then Mr. Shelton continued, “Look, I’ve talked to other members of the board, and we are prepared to offer $600 million to buy your company. ",3,2,None,,0,1,1,1,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,1,0.10308446800081583,,,,,,,,1,001,2019_Aug_22_1248,body_behavioural,3.0.4,60.059801063457755,
