count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,key_resp_14.keys,key_resp_14.rt,story_presses.keys,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,[11 42 13 44 32 34 23 21 41 31 14 24 33 43 12 22],"['Social' 'Location' 'Location' 'Social' 'Social' 'Location' 'Social'
 'Location' 'Social' 'Location' 'Social' 'Location' 'Social' 'Location'
 'Location' 'Social']",[41 31 14 24 33 43 12 22],"['Social' 'Location' 'Social' 'Location' 'Social' 'Location' 'Location'
 'Social']",space,1.0717551000000185,space,0.91965679000009,space,0.6672585999999683,,,,,,,,,,,2',001,2019_Feb_20_1435,body_behavioural,3.0.4,59.97097344911143,
0,"Thomas, dreading the conversation he was about to have, got to Annika’s Finer Diner early.",1,1,None,None,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,space,0.6191320699999778,None,,,,,,,,2',001,2019_Feb_20_1435,body_behavioural,3.0.4,59.97097344911143,
0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.28599364499996227,,,,,,,,,2',001,2019_Feb_20_1435,body_behavioural,3.0.4,59.97097344911143,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.976321896999934,space,0.786528737000026,,,,,2',001,2019_Feb_20_1435,body_behavioural,3.0.4,59.97097344911143,
,,,,,,The next task in the experiment is to recall each story to the best of your ability.,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,space,0.4678856900000028,,,2',001,2019_Feb_20_1435,body_behavioural,3.0.4,59.97097344911143,
,,,,,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,space,0.43686316999992414,,,2',001,2019_Feb_20_1435,body_behavioural,3.0.4,59.97097344911143,
,,,,,,Describe the story with as many details as you can remember in the space provided. ,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,space,0.4695838800000729,,,2',001,2019_Feb_20_1435,body_behavioural,3.0.4,59.97097344911143,
,,,,,,"When you are finished recalling one story, to move onto the next one hit ‘return’. ",,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,space,0.417356780000091,,,2',001,2019_Feb_20_1435,body_behavioural,3.0.4,59.97097344911143,
,,,,,,There is a 5 minute time limit to make your response. ,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,space,0.45282453499999065,,,2',001,2019_Feb_20_1435,body_behavioural,3.0.4,59.97097344911143,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.43684583999993265,,,,,,,
