count,storyText,locationEvent,socialEvent,storyEvent,locationEventSize,socialEventSize,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,recall,key_resp_3.keys,key_resp_3.rt,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,key_resp_6.keys,key_resp_6.rt,participant,session,date,expName,frameRate,
0,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,[43 12 13 34 24 31 42 21 11 23 22 14 44 32 41 33],"['Location' 'Location' 'Social' 'Location' 'Social' 'Social' 'Social'
 'Location' 'Social' 'Location' 'Social' 'Location' 'Social' 'Location'
 'Location' 'Social']",[11 23 22 14 44 32 41 33],"['Social' 'Location' 'Social' 'Location' 'Social' 'Location' 'Location'
 'Social']",space,50.285016495,space,2.9530028009999967,,,,,,,,,,,,,,,,,,,Tara,001,2019_Feb_05_1329,body_behavioural,60.155123943076184,
0,"Simon and Carina noticed each other as they walked into the grocery store at the same time, their carts nearly colliding as they squeezed into the entrance.",1,1,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,9,41.36562773099999,,,,,,,,,,,,,,,,,Tara,001,2019_Feb_05_1329,body_behavioural,60.155123943076184,
0,"They were both new to the Boston area, and this was their first time in this store. ",1,1,,,,,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,13.520049260000008,,,,,,,,,,,,,,,,,Tara,001,2019_Feb_05_1329,body_behavioural,60.155123943076184,
0,"It kind of looked like a large warehouse, with high unfurnished ceilings, industrial lights, and large packages of food. ",1,1,,,,,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,9,33.09511577699999,,,,,,,,,,,,,,,,,Tara,001,2019_Feb_05_1329,body_behavioural,60.155123943076184,
0,"They went off along separate routes, but soon ended up back together in the meat section. ",2,1,,,,,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,1,15.527063303000006,,,,,,,,,,,,,,,,,Tara,001,2019_Feb_05_1329,body_behavioural,60.155123943076184,
0,"They were both preparing for barbecues, so they were looking over the same cuts of meat. ",2,1,,,,,0,0,0,0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,1,11.793978039999985,,,,,,,,,,,,,,,,,Tara,001,2019_Feb_05_1329,body_behavioural,60.155123943076184,
0,"Simon really wanted to talk to Carina, and Carina really wanted to say something to Simon, but they felt embarrassed striking up a conversation with a stranger.",2,1,,,,,0,0,0,0,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,1,25.192974811,,,,,,,,,,,,,,,,,Tara,001,2019_Feb_05_1329,body_behavioural,60.155123943076184,
0,"Carina suddenly turned to Simon and, pointing at a Cornish hen, asked, “Isn’t this meat cute?”",2,2,,,,,0,0,0,0,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,1,5.002884525000013,,,,,,,,,,,,,,,,,Tara,001,2019_Feb_05_1329,body_behavioural,60.155123943076184,
0,"He laughed, and said, “It is very cute.",2,2,,,,,0,0,0,0,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,1,1.9023597510000059,,,,,,,,,,,,,,,,,Tara,001,2019_Feb_05_1329,body_behavioural,60.155123943076184,
0,"Probably the younger brother of this guy,” and he picked up a regular-sized chicken.",2,2,,,,,0,0,0,0,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,1,4.419515934999993,,,,,,,,,,,,,,,,,Tara,001,2019_Feb_05_1329,body_behavioural,60.155123943076184,
0,"“Unlucky family,” she responded. ",2,2,,,,,0,0,0,0,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,1,1.717548996000005,,,,,,,,,,,,,,,,,Tara,001,2019_Feb_05_1329,body_behavioural,60.155123943076184,
0,They continued to chat as they picked out their groceries.,2,2,,,,,0,0,0,0,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,1,4.1361958850000065,,,,,,,,,,,,,,,,,Tara,001,2019_Feb_05_1329,body_behavioural,60.155123943076184,
0,"Simon helped Carina pick out the best ribs and his personal favorite barbeque sauce, and she helped him gather the  peppers, onions, and spices for a vegetable kabob she recommended.",2,2,,,,,0,0,0,0,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,1,7.620308738999995,,,,,,,,,,,,,,,,,Tara,001,2019_Feb_05_1329,body_behavioural,60.155123943076184,
0,"When they were both finished shopping, they went to the checkout area.",3,2,,,,,0,0,0,0,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,9,5.336758398000029,,,,,,,,,,,,,,,,,Tara,001,2019_Feb_05_1329,body_behavioural,60.155123943076184,
0,"Simon was disappointed to see that the lines were short, since he had been hoping for an excuse to spend more time with Carina.",3,2,,,,,0,0,0,0,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,1,7.170293200999993,,,,,,,,,,,,,,,,,Tara,001,2019_Feb_05_1329,body_behavioural,60.155123943076184,
0,"They had real chemistry, and both of them could definitely see a future together despite having just met.",3,2,,,,,0,0,0,0,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,1,12.172029364000025,,,,,,,,,,,,,,,,,Tara,001,2019_Feb_05_1329,body_behavioural,60.155123943076184,
0,"“So you haven’t been around the city much?”, Simon asked. ",3,2,,,,,0,0,0,0,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,1,4.403347065999981,,,,,,,,,,,,,,,,,Tara,001,2019_Feb_05_1329,body_behavioural,60.155123943076184,
0,"“No, not really.",3,2,,,,,0,0,0,0,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,1,1.2336735570000315,,,,,,,,,,,,,,,,,Tara,001,2019_Feb_05_1329,body_behavioural,60.155123943076184,
0,I’ve mainly been working and setting up my apartment.”,3,2,,,,,0,0,0,0,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,1,6.2188489899999695,,,,,,,,,,,,,,,,,Tara,001,2019_Feb_05_1329,body_behavioural,60.155123943076184,
0,"Simon asked her, “Ok well, if you’d like I could pick you up next weekend, and we could go around Harvard Square and get dinner.",3,3,,,,,0,0,0,0,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,9,7.119820824000044,,,,,,,,,,,,,,,,,Tara,001,2019_Feb_05_1329,body_behavioural,60.155123943076184,
0,"There are a lot of great places around there, and it’s really nice during the summer.",3,3,,,,,0,0,0,0,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,1,2.4863456749999955,,,,,,,,,,,,,,,,,Tara,001,2019_Feb_05_1329,body_behavioural,60.155123943076184,
0,The Harvard campus is also beautiful.” ,3,3,,,,,0,0,0,0,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,1,1.3844784229999618,,,,,,,,,,,,,,,,,Tara,001,2019_Feb_05_1329,body_behavioural,60.155123943076184,
0,"Carina smiled, “I’d love to: that sounds great!”",3,3,,,,,0,0,0,0,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,1,1.7184600539999906,,,,,,,,,,,,,,,,,Tara,001,2019_Feb_05_1329,body_behavioural,60.155123943076184,
0,"She quickly entered her number in his phone, since they only had to wait a couple minutes in line.",3,3,,,,,0,0,0,0,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,1,2.8693814270000075,,,,,,,,,,,,,,,,,Tara,001,2019_Feb_05_1329,body_behavioural,60.155123943076184,
0,Then it was her turn to check out with the cashier. ,4,3,,,,,0,0,0,0,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,9,6.635321487999988,,,,,,,,,,,,,,,,,Tara,001,2019_Feb_05_1329,body_behavioural,60.155123943076184,
