instruct_text,instruct_text2,rolePic,job,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,loop3.thisRepN,loop3.thisTrialN,loop3.thisN,loop3.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Q1,Q2,Q3,Q4,D1,D2,roleName,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_14.keys,key_resp_14.rt,participant,session,date,expName,frameRate,
Welcome to the Job Simulator Task!,(press the space bar to continue),,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,space,41.06331616599982,,,,,alex,001,2019_Jan_25_1149,part1_subjective_segmentation,60.02484836639976,
"In this task, you will read 16 stories.",None,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,space,0.45325532600008955,,,,,alex,001,2019_Jan_25_1149,part1_subjective_segmentation,60.02484836639976,
"Before each story you will be assigned a perspective of a particular career to assume while reading that story.
",None,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,space,0.4853789889998552,,,,,alex,001,2019_Jan_25_1149,part1_subjective_segmentation,60.02484836639976,
You should read the story according to the designated perspective.,None,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,space,0.4828772400001071,,,,,alex,001,2019_Jan_25_1149,part1_subjective_segmentation,60.02484836639976,
The perspectives are as follows:,None,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,space,0.4506222430004527,,,,,alex,001,2019_Jan_25_1149,part1_subjective_segmentation,60.02484836639976,
,,jobphotos/dean.jpg,Dean of Academic Studies,,,,,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,space,1.8213996999998017,,,alex,001,2019_Jan_25_1149,part1_subjective_segmentation,60.02484836639976,
,,jobphotos/weddingplanner.jpg,Wedding Planner,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,space,0.28487197799995556,,,alex,001,2019_Jan_25_1149,part1_subjective_segmentation,60.02484836639976,
,,jobphotos/business_reporter.jpg,Business Reporter,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,space,0.1678829309998946,,,alex,001,2019_Jan_25_1149,part1_subjective_segmentation,60.02484836639976,
,,jobphotos/couples.jpeg,"Couples Therapist
",,,,,0,3,3,7,,,,,,,,,,,,,,,,,,,,,,space,0.10149429400007648,,,alex,001,2019_Jan_25_1149,part1_subjective_segmentation,60.02484836639976,
,,jobphotos/gscem.jpg,"Grocery Store Customer Experience Manager
",,,,,0,4,4,5,,,,,,,,,,,,,,,,,,,,,,space,0.20168505399988135,,,alex,001,2019_Jan_25_1149,part1_subjective_segmentation,60.02484836639976,
