count,storyText,locationEvent,socialEvent,story,locationEventSize,socialEventSize,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,order of stories,order of perspectives,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story_presses.rt,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,questions time,key_resp_13.keys,key_resp_13.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,[22 42 24 44 11 33 13 31],"['Social' 'Location' 'Location' 'Social' 'Social' 'Social' 'Location'
 'Location']",space,13.95590652199462,space,3.0195264450157993,space,2.3367259119986556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,031519_p3,001,2019_Mar_15_1513,body_behavioural,3.0.4,60.012032406309714,
0,"Sven and Isabel walked hurriedly from the cab into the Barcelona Airport after an incredible weekend with Isabel’s family, which had wiped away any doubts Sven had had about his decision to propose. ",1,1,22.0,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,13.053773486986756,,,,,,,,,,,,,,,,,,,,,,,,,,,,031519_p3,001,2019_Mar_15_1513,body_behavioural,3.0.4,60.012032406309714,
0,"They were a little pressed for time, with only a little over an hour until their flight would take off to go back to the US, but they already had their online boarding passes and no checked luggage. ",1,1,None,,,,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,10.037124524998944,,,,,,,,,,,,,,,,,,,,,,,,,,,,031519_p3,001,2019_Mar_15_1513,body_behavioural,3.0.4,60.012032406309714,
0,"When Isabel stopped to rummage through her purse looking for her phone, Sven turned his back to her and took the velvet box out of his backpack, opening it to look at the ring he bought her.",1,2,None,,,,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10.137024786963593,,,,,,,,,,,,,,,,,,,,,,,,,,,,031519_p3,001,2019_Mar_15_1513,body_behavioural,3.0.4,60.012032406309714,
0,"He had received her parents’ blessing during the trip, and he was almost giddy with excitement. ",1,2,None,,,,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.8865718449815176,,,,,,,,,,,,,,,,,,,,,,,,,,,,031519_p3,001,2019_Mar_15_1513,body_behavioural,3.0.4,60.012032406309714,
0,"He tilted the ring backward and forward, despite having already studied it daily since he had purchased it a few weeks ago. ",1,2,None,,,,0,0,0,0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6.7033869349979796,,,,,,,,,,,,,,,,,,,,,,,,,,,,031519_p3,001,2019_Mar_15_1513,body_behavioural,3.0.4,60.012032406309714,
0,"It was a simple design, with a clear, white diamond on a thin silver band.",1,2,None,,,,0,0,0,0,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2.9867172800004482,,,,,,,,,,,,,,,,,,,,,,,,,,,,031519_p3,001,2019_Mar_15_1513,body_behavioural,3.0.4,60.012032406309714,
0,"“Sven, let’s go! ” Isabel said. ",1,2,None,,,,0,0,0,0,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,7.017944923019968,,,,,,,,,,,,,,,,,,,,,,,,,,,,031519_p3,001,2019_Mar_15_1513,body_behavioural,3.0.4,60.012032406309714,
0,Sven discretely closed the box and put it in his pocket.,1,2,None,,,,0,0,0,0,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3.5198539900011383,,,,,,,,,,,,,,,,,,,,,,,,,,,,031519_p3,001,2019_Mar_15_1513,body_behavioural,3.0.4,60.012032406309714,
0," They entered the security line, weaving through the roped walkways to the front. ",2,2,None,,,,0,0,0,0,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,13.28742896701442,,,,,,,,,,,,,,,,,,,,,,,,,,,,031519_p3,001,2019_Mar_15_1513,body_behavioural,3.0.4,60.012032406309714,
