count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story_presses.rt,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,participant,session,date,expName,psychopyVersion,frameRate,
0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,[33 34 43 12 44 22 21 11 14 31 32 41 23 13 24 42],"['Social' 'Location' 'Location' 'Location' 'Social' 'Social' 'Location'
 'Social' 'Social' 'Location' 'Social' 'Social' 'Social' 'Location'
 'Location' 'Location']",[14 31 32 41 23 13 24 42],"['Social' 'Location' 'Social' 'Social' 'Social' 'Location' 'Location'
 'Location']",space,16.70552466501249,space,2.0370171219983604,space,3.453522073017666,,,,,,,,,,,,,,,,,,,,,,,,,,,031319_p1,001,2019_Mar_13_0952,body_behavioural,3.0.4,59.87191947423961,
0,"Ms. Bianchi and Ms. Morrison walked into the grocery store at the same time, and, after a moment of mutual recognition, greeted each other and shook hands.",1,1,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,9,25.138460437010508,,,,,,,,,,,,,,,,,,,,,,,,,031319_p1,001,2019_Mar_13_0952,body_behavioural,3.0.4,59.87191947423961,
0,"“Thank you again for inviting me here to discuss my business proposal,” said Ms. Bianchi, “And it’s a pleasure to be out of the office.” ",1,1,,,,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12.087257602019235,,,,,,,,,,,,,,,,,,,,,,,,,031319_p1,001,2019_Mar_13_0952,body_behavioural,3.0.4,59.87191947423961,
0,"As a salesperson for an Italian cheese company that was trying to expand its outreach to more mainstream grocery stores, this meeting could be a big break for her.",1,1,,,,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7.453666112996871,,,,,,,,,,,,,,,,,,,,,,,,,031319_p1,001,2019_Mar_13_0952,body_behavioural,3.0.4,59.87191947423961,
0,"Her sales target, Ms. Morrison,  who had a reputation for being a bit quirky, was a corporate buyer for a large chain grocery store. ",1,1,,,,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10.92058710200945,,,,,,,,,,,,,,,,,,,,,,,,,031319_p1,001,2019_Mar_13_0952,body_behavioural,3.0.4,59.87191947423961,
0,"She was known for doing things unconventionally: for example, she said that she liked to make deals with suppliers in the place where the products were sold- “to keep their minds focused on what’s important.” ",1,1,,,,0,0,0,0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,1,14.987406704982277,,,,,,,,,,,,,,,,,,,,,,,,,031319_p1,001,2019_Mar_13_0952,body_behavioural,3.0.4,59.87191947423961,
0,"They chatted a little in the front of the grocery store, which was surrounded by pumpkins and halloween decorations set up in special displays for the holiday season.",1,1,,,,0,0,0,0,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8.003508724999847,,,,,,,,,,,,,,,,,,,,,,,,,031319_p1,001,2019_Mar_13_0952,body_behavioural,3.0.4,59.87191947423961,
0,"Ms. Bianchi and Ms. Morrison walked to the cheese section, and Ms. Morrison picked up a block of parmesan.",2,1,,,,0,0,0,0,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12.887008341989713,,,,,,,,,,,,,,,,,,,,,,,,,031319_p1,001,2019_Mar_13_0952,body_behavioural,3.0.4,59.87191947423961,
0,“We have quite a selection here.,2,1,,,,0,0,0,0,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.0013960450014565,,,,,,,,,,,,,,,,,,,,,,,,,031319_p1,001,2019_Mar_13_0952,body_behavioural,3.0.4,59.87191947423961,
0,I don’t know that it needs an additional section for more gourmet cheeses.” ,2,1,,,,0,0,0,0,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6.337751977000153,,,,,,,,,,,,,,,,,,,,,,,,,031319_p1,001,2019_Mar_13_0952,body_behavioural,3.0.4,59.87191947423961,
