count,storyText,locationEvent,socialEvent,story,locationEventSize,socialEventSize,socialAnswer,locationAnswer,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,key_resp_15.keys,key_resp_15.rt,key_resp_14.keys,key_resp_14.rt,story_presses.keys,story_presses.rt,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,questions time,key_resp_13.keys,key_resp_13.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,[42 21 11 33 32 14 43 24 44 31 13 23 12 22 41 34],"['Location' 'Social' 'Location' 'Location' 'Social' 'Social' 'Social'
 'Location' 'Location' 'Location' 'Location' 'Social' 'Social' 'Location'
 'Social' 'Social']",[44 31 13 23 12 22 41 34],"['Location' 'Location' 'Location' 'Social' 'Social' 'Location' 'Social'
 'Social']",space,19.52564011499635,space,2.385538002999965,space,1.3196708470059093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,062619_p1,001,2019_Jun_26_1728,body_behavioural,3.0.4,59.97086771091615,
0,David saw Anna for the first time when she burst into the airport frazzled with her half-zipped bag skidding behind her.,1,1,42.0,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.653612281981623,space,2.270100777997868,9,12.874096601997735,,,,,,,,,,,,,,,,,,,,,,,,,,,,062619_p1,001,2019_Jun_26_1728,body_behavioural,3.0.4,59.97086771091615,
0,"He had three hours until his flight and was reading a book on the laptop he was holding in the entrance to the airport, but she had only 35 minutes and was hoping to spend as little time in the entrance as possible. ",1,1,None,,,,,,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10.43795999797294,,,,,,,,,,,,,,,,,,,,,,,,,,,,062619_p1,001,2019_Jun_26_1728,body_behavioural,3.0.4,59.97086771091615,
0,"Anna, a few strides into the airport, suddenly realized to her dismay that her shoes were untied, so she hunched over to tie them.",1,1,None,,,,,,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5.187457141990308,,,,,,,,,,,,,,,,,,,,,,,,,,,,062619_p1,001,2019_Jun_26_1728,body_behavioural,3.0.4,59.97086771091615,
0,"David, who had been intrigued by Anna, observed that someone with a tall cart of luggage was heading straight for where she was kneeling and that both her and the person driving the cart were oblivious to the impeding collision. ",1,1,None,,,,,,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8.936276464024559,,,,,,,,,,,,,,,,,,,,,,,,,,,,062619_p1,001,2019_Jun_26_1728,body_behavioural,3.0.4,59.97086771091615,
0,"After a few moment of deliberation, David decided to intervene, and he ran in front of the cart pushing her out of the way just in the nick of time, and they tumbled on the airport floor. ",1,2,None,,,,,,0,0,0,0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8.470542010007193,,,,,,,,,,,,,,,,,,,,,,,,,,,,062619_p1,001,2019_Jun_26_1728,body_behavioural,3.0.4,59.97086771091615,
0,"Anna, bewildered, looked up and saw the cart pass by and then looked at David. ",1,2,None,,,,,,0,0,0,0,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.2009027950116433,,,,,,,,,,,,,,,,,,,,,,,,,,,,062619_p1,001,2019_Jun_26_1728,body_behavioural,3.0.4,59.97086771091615,
0,He flashed a smile.,1,2,None,,,,,,0,0,0,0,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.869720521994168,,,,,,,,,,,,,,,,,,,,,,,,,,,,062619_p1,001,2019_Jun_26_1728,body_behavioural,3.0.4,59.97086771091615,
0,“Were you ever a gymnast?,1,2,None,,,,,,0,0,0,0,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6.953046217007795,,,,,,,,,,,,,,,,,,,,,,,,,,,,062619_p1,001,2019_Jun_26_1728,body_behavioural,3.0.4,59.97086771091615,
0," That was a nice tumble,” he said.",1,2,None,,,,,,0,0,0,0,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.536175724992063,,,,,,,,,,,,,,,,,,,,,,,,,,,,062619_p1,001,2019_Jun_26_1728,body_behavioural,3.0.4,59.97086771091615,
